id,restaurant_id,sendToDelivery,disable_until,email,notes,commission,rpd
6,114,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,0.00,0.00
",7",138,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",Don’t show up more than 25 minutes before the food needs to be at the door. ,12.00,0.00
",8",198,n,,"toyourhomedeliveries@outlook.com,mattmenuottawa2@gmail.com",,,
",9",203,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",11",377,n,,"toyourhomedeliveries@outlook.com,mattmenuottawa@gmail.com",,,
",12",378,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com",,,
",13",416,n,,toyourhomedeliveries@outlook.com,,,
",14",451,n,,toyourhomedeliveries@outlook.com,,,
",15",453,n,,toyourhomedeliveries@outlook.com,,,
",17",615,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa@gmail.com",,,
",18",652,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com",,,
",19",748,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa@gmail.com",,,
",20",749,n,,"menuottawa@geodispatch.ca,mattmenuottawa@gmail.com,matt@pmrd.net,marc@deliverydirect.ca",,,
",21",761,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa@gmail.com",,,
",22",774,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa@gmail.com",,,
",23",798,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa@gmail.com",,,
",26",828,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa@gmail.com",,,
",27",829,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa@gmail.com",,,
",28",843,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com",,,
",29",851,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",32",880,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com",,,
",34",885,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com",,0.00,
",36",888,n,,"deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com",,0.00,
",37",892,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",39",897,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com",,,
",41",906,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com",,,
",42",911,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com",Don’t show up more than 25 minutes before the food needs to be at the door. ,0.00,
",44",919,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",45",922,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com",,0.00,
",46",928,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",47",929,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com",,0.00,
",48",931,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",133",137,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",135",819,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,12.00,0.00
",137",450,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com",,0.00,
",138",938,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,12.00,0.00
",139",946,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,12.00,0.00
",140",945,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,12.00,0.00
",141",136,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,12.00,0.00
",143",760,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,12.00,0.00
",147",750,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com",,0.00,
",153",966,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com",,10.00,0.00
",154",969,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",155",970,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",156",967,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",193",255,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",196",362,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
",197",140,n,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,12.00,1.00
",211",956,y,,"Deliveryzonecanada@gmail.com,mattmenuottawa2@gmail.com,restozonedispatch@gmail.com",,15.00,0.00
