id,deliveryRadius,multipleDeliveryArea,sendToDelivery,sendToDailyDelivery,sendToGeodispatch,geodispatch_username,geodispatch_password,geodispatch_api_key,sendToDelivery_email,restaurant_delivery_charge,tookan_delivery,tookan_tags,tookan_restaurant_email,tookan_delivery_as_pickup,weDeliver,weDeliver_driver_notes,weDeliverEmail,deliveryServiceExtra,use_delivery_areas,delivery_restaurant_id,max_delivery_distance,disable_delivery_until,twilio_call
72,0,Y,n,N,N,ang303,ang303,,,,n,,,n,n,,,0.00,y,,,,y
73,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,n
79,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,n
81,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,n
82,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,n
87,0,N,n,N,N,,,,,0.00,n,,,n,n,,,0.00,y,,,,n
89,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,y
90,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,y
91,0,N,n,N,N,,,,,0.00,n,,,n,n,,,0.00,y,,,,n
92,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,n
93,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,n
94,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,y
95,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,y
96,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,n
101,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,n,0,8,,y
109,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,y
110,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,n
111,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,n
112,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,y
113,0,N,n,N,N,,,,,,n,,,n,n,,,0.00,y,,,,n
