id,restaurant_id,area_number,area_name,delivery_fee,min_order_value,is_complex,coords
7,1593,1,Area title,0,,n,"45.350856,-75.779732|45.349265,-75.780827|45.349612,-75.783069|45.350585,-75.785129|45.351746,-75.781674"
6,1593,0,Area title,0.00,,n,"45.351256,-75.780087|45.349921,-75.780902|45.350208,-75.783734|45.351369,-75.783767"
9,1593,2,Area title,10 < 30,,y,"45.349129,-75.779035|45.349386,-75.779529|45.349996,-75.780172"
11,1028,0,Area title,0,,n,"45.351798,-75.779658|45.350751,-75.77822|45.349725,-75.779936|45.34905,-75.779834|45.349189,-75.781449|45.348944,-75.782356|45.349106,-75.783713|45.349152,-75.785784|45.34974,-75.785022|45.350381,-75.785483|45.350683,-75.786202|45.351338,-75.785891|45.351617,-75.783938|45.351787,-75.782876|45.351746,-75.781996"
539,1336,1,Area title,2,10.00,n,"45.323668,-75.880165|45.408574,-75.860252|45.435081,-75.71228|45.368549,-75.633316|45.279718,-75.604134|45.243228,-75.743866"
538,1336,0,Area title,1,5.00,n,"45.365896,-75.827637|45.328737,-75.842657|45.31884,-75.78352|45.346234,-75.718975|45.393628,-75.769787"
17,1025,0,Area title,0,,n,"45.562140969056,-75.642242431641|45.447607208669,-75.665588378906|45.370478735402,-75.570831298828|45.375302350526,-75.381317138672|45.465909744215,-75.346984863281|45.594822101271,-75.364837646484|45.613076802161,-75.511779785156"
18,1025,1,Area title,0,,n,"45.604430579019,-75.702667236328|45.51789504294,-75.764465332031|45.353110314463,-75.704040527344|45.316426138192,-75.517272949219|45.315460444226,-75.286560058594|45.435080998385,-75.217895507812|45.606352077118,-75.248107910156|45.705220255673,-75.434875488281|45.686036207403,-75.574951171875"
552,1026,0,Area title,0,0.00,n,"45.306165,-75.918489|45.311477,-75.910635|45.304354,-75.891366|45.293637,-75.898876|45.294936,-75.918617"
20,1027,0,Area title,0,,n,"45.4025480471,-75.7521057129|45.40881511,-75.7339096069|45.4143584706,-75.7136535645|45.4206242231,-75.7035255432|45.4264073775,-75.6918525696|45.4295396721,-75.6858444214|45.4246002054,-75.6800079346|45.4207447115,-75.6715965271|45.4183951408,-75.6634426117|45.4021864646,-75.6673049927|45.3909461204,-75.6764888763|45.3791910907,-75.7007360458|45.383019279,-75.7101345062|45.3748200075,-75.7285881042|45.3783771904,-75.7497024536|45.3947132409,-75.7551956177|45.3957378542,-75.75922966|45.4006195802,-75.7561397552"
21,1030,0,Area title,0,,n,"45.2775439566,-75.8353614807|45.2908296877,-75.8436012268|45.2998863568,-75.8508110046|45.3051989295,-75.8549308777|45.2995241178,-75.8683204651|45.3107524505,-75.8762168884|45.3263235525,-75.88514328|45.3379085723,-75.8916664124|45.3478022334,-75.9009361267|45.3527484157,-75.9114074707|45.3566085502,-75.9167289734|45.3626394834,-75.9247970581|45.3656547089,-75.9308052063|45.3961597484,-75.9800720215|45.393748882,-75.9872817993|45.3892885079,-75.9943199158|45.3854908849,-75.9985256195|45.348526092,-75.9517478943|45.3421316879,-75.9440231323|45.3402011599,-75.9419631958|45.3357365616,-75.949344635|45.3289786622,-75.9522628784|45.3230648387,-75.9510612488|45.3170296886,-75.9457397461|45.3148568771,-75.9429931641|45.3122011056,-75.9448814392|45.3117182247,-75.938873291|45.3088208527,-75.9294319153|45.3076135707,-75.9201622009|45.3061647983,-75.9174156189|45.3027841854,-75.9235954285|45.3006108279,-75.9309768677|45.3041123074,-75.9356117249|45.3006108279,-75.9407615662|45.2951770694,-75.941619873|45.2930034202,-75.9421348572|45.2886558719,-75.9495162964|45.2846703265,-75.9551811218|45.277906336,-75.9558677673|45.274282438,-75.9515762329|45.2699334548,-75.9527778625|45.2647383993,-75.9544944763|45.2609928318,-75.9546661377|45.2585762054,-75.9467697144|45.2543468619,-75.9397315979|45.25084231,-75.9318351746|45.2445577444,-75.9287452698|45.2433490944,-75.9249687195|45.2373658981,-75.9231233597|45.2314425176,-75.9177589417|45.2287828398,-75.9066009521|45.2250953534,-75.8983612061|45.2276343041,-75.8844566345"
