id,restaurant_id,enable_call,phone,added_by,added_at,updated_by,updated_at
1,1595,n,6136639348,1,2024-02-27 06:28:45,45,2024-03-01 04:33:03
",8",1642,y,(819) 775-4343,45,2024-03-18 11:58:44,,
",9",1662,y,(819) 893-3434,45,2024-03-21 07:15:35,45,2024-03-21 07:15:47
",11",1660,y,(819) 617-3434,45,2024-03-25 12:23:31,,
",12",1659,n,(819) 986-2222,45,2024-03-25 12:53:54,1,2025-09-04 17:12:25
",13",1663,y,(819) 568-1109,45,2024-03-25 13:21:41,,
",14",1661,y,(819) 893-1555,45,2024-03-25 13:29:25,,
",15",1664,y,(819) 568-0000,45,2024-03-25 13:38:24,,
",16",1658,y,(819) 607-0712,45,2024-03-25 13:43:32,,
",17",1665,y,(613) 248-1111,45,2024-04-29 08:18:18,,
",18",1654,y,(613) 837-8000,45,2024-05-29 12:41:37,,
",19",1657,y,(450) 346-5535,45,2024-05-29 12:49:11,,
",20",1640,y,(514) 254-7002,45,2024-05-29 12:49:27,,
",21",1637,y,(613) 722-7777,45,2024-05-29 12:49:39,45,2025-01-07 02:21:58
",22",1171,y,(519) 576-9996,45,2024-05-29 12:50:08,45,2024-06-13 14:51:42
",23",1639,y,(613) 841-4999,45,2024-05-29 12:50:25,2,2024-06-13 14:46:13
",24",1656,n,6130000000,45,2024-05-29 12:50:36,2,2024-05-29 13:43:37
",26",1666,n,(819) 243-8181,45,2024-06-05 04:54:54,2,2024-06-12 18:34:45
",37",1674,y,(613) 680-8484,45,2025-02-06 09:29:01,,
