"id";"name";"display_name";"lat";"lng";"timezone";"province_id"
"1";"Ploiesti";"Ploiesti";"";"";"";""
"2";"Bucharest";"Bucharest";"";"";"";""
"3";"Baicoi";"Baicoi";"";"";"";""
"4";"Kanata";"Kanata";"45.301665";"-75.907341";"America/Toronto";"1"
"9";"Ottawa";"Ottawa";"45.411572";"-75.698194";"America/Toronto";"1"
"10";"Orleans";"Orleans";"45.466208";"-75.5424929";"America/Toronto";"1"
"11";"Downtown Ottawa";"Downtown-Ottawa";"45.411572";"-75.698194";"America/Toronto";"1"
"12";"Toronto";"Toronto";"43.653524";"-79.3839069";"America/Toronto";"1"
"13";"London";"London";"42.979398";"-81.246138";"America/Toronto";"1"
"14";"Almonte";"Almonte";"45.2255655";"-76.1940598";"America/Toronto";"1"
"15";"Stittsville";"Stittsville";"45.2585131";"-75.9207767";"America/Toronto";"1"
"16";"Ville de Qu̩bec";"Ville-de-Qu̩bec";"46.813878";"-71.207981";"America/Montreal";"2"
"17";"Nepean";"Nepean";"45.3349046";"-75.7241006";"America/Toronto";"1"
"18";"Vanier";"Vanier";"46.825032";"-71.266482";"America/Montreal";"2"
"20";"Montreal";"Montreal";"45.5086699";"-73.5539925";"America/Montreal";"2"
"21";"Gatineau";"Gatineau";"44.9001";"-76.021";"America/Montreal";"2"
"22";"Gloucester";"Gloucester";"45.4473421";"-75.5942867";"America/Toronto";"1"
"23";"Aylmer";"Aylmer";"42.7729381";"-80.9828842";"America/Toronto";"1"
"24";"Smiths Falls";"Smiths-Falls";"56.1191126";"-103.7404703";"America/Toronto";"1"
"25";"Kemptville";"Kemptville";"45.0163884";"-75.645947";"America/Toronto";"1"
"26";"Cornwall";"Cornwall";"45.1373";"-76.1399";"America/Toronto";"1"
"27";"Winchester";"Winchester";"45.0918057";"-75.3527847";"America/Toronto";"1"
"28";"Casselman";"Casselman";"45.3107048";"-75.0893653";"America/Toronto";"1"
"29";"Carleton Place";"Carleton-Place";"43.6796024";"-80.4301304";"America/Toronto";"1"
"30";"North York";"North-York";"43.7615377";"-79.4110794";"America/Toronto";"1"
"31";"Mississauga";"Mississauga";"43.5890452";"-79.6441198";"America/Toronto";"1"
"32";"Scarborough";"Scarborough";"43.7764258";"-79.2317521";"America/Toronto";"1"
"33";"Guelph";"Guelph";"43.5448048";"-80.2481666";"America/Toronto";"1"
"34";"Kitchener";"Kitchener";"43.434311";"-80.4777469";"America/Toronto";"1"
"35";"Bourget";"Bourget";"45.4349429";"-75.158034";"America/Toronto";"1"
"36";"Lachine";"Lachine";"45.444854";"-73.68492";"America/Montreal";"2"
"37";"Richmond";"Richmond";"49.1665898";"-123.133569";"America/Vancouver";"6"
"38";"Pierrefonds";"Pierrefonds";"45.484871";"-73.853109";"America/Montreal";"2"
"39";"Dorval";"Dorval";"45.45";"-73.75";"America/Montreal";"2"
"40";"Edmonton";"Edmonton";"53.544389";"-113.4909267";"America/Edmonton";"9"
"41";"Rosem̬re";"Rosem̬re";"45.638974";"-73.785008";"America/Montreal";"2"
"42";"Charny";"Charny";"46.7146359";"-71.2604518";"America/Montreal";"2"
"43";"Terrebonne";"Terrebonne";"45.6929818";"-73.6331102";"America/Montreal";"2"
"44";"Longueuil";"Longueuil";"45.5369442";"-73.5107131";"America/Montreal";"2"
"45";"Calgary";"Calgary";"51.0453246";"-114.0581012";"America/Edmonton";"9"
"46";"Vancouver";"Vancouver";"49.261226";"-123.1139268";"America/Vancouver";"6"
"47";"Saint-Jean-sur-Richelieu";"Saint-Jean-sur-Richelieu";"45.305771";"-73.2544903";"America/Montreal";"2"
"48";"Greenfield Park";"Greenfield-Park";"45.485707";"-73.462088";"America/Montreal";"2"
"49";"Saint-Constant";"Saint-Constant";"45.379181";"-73.5644913";"America/Montreal";"2"
"50";"Saint-Hyacinthe";"Saint-Hyacinthe";"45.6306875";"-72.9563391";"America/Montreal";"2"
"51";"Alfred";"Alfred";"45.5586094";"-74.8803744";"America/Toronto";"1"
