"1222","Aahar The Taste of India","727 Churchill Ave"
"1609","Aahar The Taste of India","727 Churchill Avenue"
"1678","Al-s Drive In","5474 Osgoode Main Street"
"1625","Aroy Thai","1 Rideaucrest Drive, Barrhaven, ON"
"1629","Asia Garden Ottawa","886 Dynes Road, Ottawa, On"
"1093","Aylmer BBQ","134, rue Principale"
"1266","Beneci Pizza","4 Lorry Greenberg Dr"
"1069","Bobbie's Pizza & Subs","1443 Ogilvie Rd"
"1670","Capital Bites","34 Grenfell Crescent"
"1674","Capri Pizza","4000 Bridle Path Drive"
"1148","Carlo's Pizza","60 Harmer Ave"
"1096","Cathay Restaurants","1423 Woodroffe Ave"
"1155","Centertown Donair & Pizza","422 Bronson Ave"
"1659","Chicco Pizza & Shawarma Buckingham","1009 Chemin de Masson"
"1661","Chicco Pizza Maloney","842 Boulevard Maloney Est"
"1660","Chicco Pizza Shawarma Anger","1096 Chemin de Montréal Ouest"
"1664","Chicco Pizza St-Louis","1783 Rue Saint-Louis"
"1658","Chicco Shawarma Cantley","435 Montée de la Source"
"1662","Chicco Shawarma Maloney","922 Boulevard Maloney Est"
"1631","China Moon","273 Boulevard Saint-René Ouest"
"1221","Colonnade Pizza","461 Hazeldean Rd"
"1654","Cosenza","6505 Jeanne d'Arc Boulevard North"
"1657","Cuisine Bombay Indienne","120 Rue Richelieu"
"1052","Eastview Pizza","251 Montreal Rd"
"1536","Egg Roll Factory","261 Centrepointe drive"
"1236","Erman Pizza","3628, av des Églises "
"1129","Ginkgo Garden","600 Terry Fox Drive"
"1617","Ginkgo Garden","2225 Saint Laurent Boulevard"
"1544","HaNoi Pho","4312 Innes Road"
"1184","Hong Kong Chinese Food Takeout","800 Hunt Club Rd"
"1046","House of Lasagna","984 Merivale Rd"
"1143","Hung Mein","2567 Baseline Rd"
"1504","iCook Pho You","2006 Robertson Rd"
"1031","Imilio's Pizzeria","110 Bearbrook Road"
"1205","Indian Punjabi Clay Oven","6-4055 Carling Ave."
"1353","JN Pizza","1663 Cyrville Rd"
"1068","Kiki Lebanese Pineview Pizza","2045 Meadowbrook Rd"
"1637","Kirkwood Pizza","1078 Merivale Road"
"1626","La Maison Pho","4 Rue Belmont"
"1642","La Nawab","1 Rue Cholette"
"1516","Light of India","730 Bank St"
"1668","Little Gyros Greek Grill","1606 Battler Road"
"1101","Lorenzo's Pizzeria - Vanier","94 Montreal Rd"
"1292","Lucky Fortune","1970 Trim Rd"
"1199","Lucky King Take Out","1134 Cadboro Rd"
"1032","Lucky Star Chinese Food","1615 Orleans Blvd."
"1036","Mama Rosa","375 Des Epinettes Ave"
"1072","Merivale Pizza & Wings","1610 Merivale Rd"
"1655","Merivale Pizza & Wings","1610 Merivale Road"
"1043","Milano","1143 Baxter Rd"
"1055","Milano","876 Montreal Rd."
"1079","Milano","1078 Merivale Rd"
"1081","Milano","3848 Innes Rd"
"1083","Milano","385 Tompkins Ave"
"1091","Milano","2 Woodfield Dr"
"1099","Milano","2430 Bank St"
"1112","Milano","14 Main St E"
"1113","Milano","777 Principale St"
"1114","Milano","3796 Champlain Rd"
"1115","Milano","339 Dalhousie St"
"1116","Milano","2241 St Laurent Blvd"
"1117","Milano","990 River Rd"
"1118","Milano","44 Seneca St"
"1119","Milano","3050 Woodroffe Ave"
"1121","Milano","2600 County Rd 43"
"1122","Milano","335 Montreal Rd"
"1147","Milano","26 Bridge St"
"1150","Milano","471 Hazeldean Rd"
"1215","Milano","5925 Perth St."
"1276","Milano","50 Main Street S"
"1290","Milano","2 Pembroke St ( Highway 17 )"
"1374","Milano","5516 Osgoode Main S"
"1375","Milano","506 Main St W"
"1230","Mont Liban Bakery & Shawarma","351 Montreal Rd"
"1071","Mr Mozzarella - Nepean","1433 Woodroffe Ave"
"1540","Napolis","81 Richmond Rd"
"1527","New Hong Kong","1433 Woodroffe Ave"
"1039","New Mee Fung Restaurant","350 Booth St"
"1259","New Mukut Restaurant Indian Cuisine","1968 Portobello Blvd"
"1089","Number One Chinese Take Out","988 Wellington St"
"1270","Orchid Sushi","445 Laurier Ave W"
"1671","Pachino Pizza","3515 Albion Road South"
"1546","Palermo Pizzeria","25 Tapiola Cres"
"1565","Papa Grecque des Flandres","22 rue des flandres #7"
"1462","Papa Joe's Fried Chicken - Downtown","527 Bronson Ave"
"1037","Papa Joe's Pizza - Downtown","527 Bronson Ave"
"1094","Papa Pizza - Hull","574, boul Saint-Joseph"
"1224","Pho Bo Ga King - Somerset","778 Somerset St W"
"1171","Pho Dau Bo Restaurant - Kitchener","685 Fischer Hallman Rd, Unit G"
"1163","Pizza Bravo","108, boul Lorrain"
"1532","Pizza Lovers Hunt Club","800 Hunt Club Road"
"1509","Pizza Maisonneuve","574, boul Saint-Joseph"
"1672","Pizza Marie","4 Rue d'Orléans"
"1673","Pizza Marie","4 Rue d'Orléans"
"1522","Rangoli","2491 St-Joseph Blvd"
"1133","Restaurant Chez Gerry","600 Terry Fox Drive"
"1130","Restaurant Le Choix","600 Terry Fox Drive"
"1639","River Pizza","4042 Innes Road"
"1157","Riverside Pizzeria","3679 Riverside Dr"
"1675","Riverside Pizzeria","3679 Riverside Drive"
"1401","Sachi Sushi","4931, rue Beaubien E"
"1627","Sala Thai","2666 Alta Vista Dr, Ottawa, ON"
"1107","Season's Pizza","826 Somerset St W"
"1294","Shaan Tandoori","2550, boul Lapinière"
"1285","Sushi Presse","6497, rue Beaubien Est"
"1108","The Original Georgie's","1661 Carling Ave"
"1628","Ting's Kitchen","3-701 Eagleson Road"
"1167","Tony's Pizza","7772 Jeanne d'Arc Blvd"
"1616","Tony's Pizza","7772 Jeanne d'Arc Boulevard North"
"1643","Tony's Pizza","Jeanne-d' Arc Boulevard"
"1086","Vanier Pizza & Subs","201 Marier Ave"
"1641","Wandee Thai","40 Beech Street"
"1392","Xtreme Pizza","125 Preston St"
"1406","Yorgo's - Nepean","1356 Clyde Ave"
