name, dish_items_count
"Aahar The Taste of India","215"
"Aahar The Taste of India","215"
"Aroy Thai","39"
"Asia Garden Ottawa","156"
"Aylmer BBQ","440"
"Beneci Pizza","64"
"Bobbie's Pizza & Subs","138"
"Carlo's Pizza","103"
"Cathay Restaurants","150"
"Centertown Donair & Pizza","68"
"China Moon","314"
"Colonnade Pizza","472"
"Colonnade Pizza","472"
"Colonnade Pizza","472"
"Colonnade Pizza","472"
"Colonnade Pizza","472"
"Eastview Pizza","149"
"Egg Roll Factory","103"
"Erman Pizza","102"
"Ginkgo Garden","147"
"HaNoi Pho","81"
"Hong Kong Chinese Food Takeout","180"
"House of Lasagna","86"
"Hung Mein","178"
"iCook Pho You","195"
"Imilio's Pizzeria","138"
"Indian Punjabi Clay Oven","116"
"JN Pizza","163"
"Kiki Lebanese Pineview Pizza","176"
"Kirkwood Pizza","85"
"La Maison Pho","135"
"Light of India","66"
"Little Gyros Greek Grill","113"
"Lorenzo's Pizzeria - Vanier","147"
"Lucky Fortune","197"
"Lucky King Take Out","144"
"Lucky Star Chinese Food","138"
"Mama Rosa","131"
"Merivale Pizza & Wings","113"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Milano","9075"
"Mont Liban Bakery & Shawarma","123"
"Mr Mozzarella - Nepean","213"
"Napolis","91"
"New Hong Kong","185"
"New Mee Fung Restaurant","221"
"New Mukut Restaurant Indian Cuisine","95"
"Number One Chinese Take Out","122"
"Orchid Sushi","140"
"Palermo Pizzeria","153"
"Papa Grecque des Flandres","49"
"Papa Joe's Fried Chicken - Downtown","28"
"Papa Joe's Pizza - Downtown","125"
"Papa Pizza - Hull","166"
"Pho Bo Ga King - Somerset","174"
"Pho Dau Bo Restaurant - Kitchener","225"
"Pizza Bravo","65"
"Pizza Lovers Hunt Club","86"
"Pizza Maisonneuve","226"
"Pizza Maisonneuve","226"
"Rangoli","139"
"Restaurant Chez Gerry","166"
"Restaurant Le Choix","205"
"Riverside Pizzeria","119"
"Sachi Sushi","360"
"Sala Thai","94"
"Season's Pizza","168"
"Shaan Tandoori","231"
"The Original Georgie's","109"
"Ting's Kitchen","192"
"Tony's Pizza","209"
"Vanier Pizza & Subs","155"
"Xtreme Pizza","113"
"Yorgo's - Nepean","135"
