combo_group_id,ingredient_group_id,modifier_type,pricing_rules
1,1,custom_ingredients,"{""32"": 2.0, ""33"": 1.0}"
2,7,custom_ingredients,"{""278"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""281"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""282"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""283"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""284"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""285"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""286"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""287"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""288"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""289"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""290"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""291"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""292"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""293"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""294"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""295"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""296"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""297"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""298"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""299"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}}"
2,8,extras,"{""312"": {""S"": 3.0, ""M"": 4.0, ""L"": 5.0}}"
2,4,bread,"{""279"": 0.0, ""280"": 0.0}"
3,5,sauces,"{""304"": 0.0, ""305"": 0.0, ""306"": 0.0, ""307"": 0.0}"
4,7,custom_ingredients,"{""278"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""281"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""282"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""283"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""284"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""285"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""286"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""287"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""288"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""289"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""290"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""291"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""292"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""293"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""294"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""295"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""296"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""297"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""298"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}, ""299"": {""S"": 2.0, ""M"": 3.0, ""L"": 4.0}}"
4,8,extras,"{""312"": {""S"": 3.0, ""M"": 4.0, ""L"": 5.0}}"
4,4,bread,"{""279"": 0.0, ""280"": 0.0}"
5,12,sauces,"{""241"": 0.79, ""242"": 0.79, ""243"": 0.79, ""244"": 0.79, ""245"": 0.79, ""246"": 0.99}"
15,25,custom_ingredients,"{""379"": 0.0, ""380"": 0.0, ""381"": 1.0, ""382"": 0.0, ""383"": 0.0, ""384"": 0.0, ""385"": 0.0, ""386"": 0.0, ""388"": 0.0, ""389"": 0.0, ""390"": 0.0, ""391"": 0.0, ""392"": 0.0, ""393"": 0.0, ""394"": 0.0, ""395"": 0.0, ""396"": 0.0, ""397"": 0.0, ""398"": 0.0, ""399"": 0.0, ""400"": 0.0, ""401"": 0.0, ""402"": 0.0, ""403"": 0.0, ""404"": 0.0, ""405"": 0.49, ""406"": 0.49, ""407"": 0.49, ""408"": 0.99, ""409"": {""S"": 1.19, ""M"": 2.49}}"
15,24,extras,"{""448"": 0.0, ""449"": 0.0, ""451"": 0.0, ""452"": 0.0, ""453"": 0.0, ""454"": 0.0, ""455"": 0.0, ""456"": 0.0, ""457"": 0.0, ""458"": 0.0, ""459"": 0.0, ""461"": 0.0, ""462"": 0.0}"
15,20,bread,"{""377"": 0.0, ""378"": 0.0}"
16,27,custom_ingredients,"{""463"": 0.0, ""464"": 0.0, ""465"": 0.0, ""466"": 0.0, ""470"": 0.0, ""471"": 0.0, ""483"": 0.0}"
16,28,sauces,"{""480"": 0.0, ""482"": 0.0, ""485"": 0.0}"
18,27,custom_ingredients,"{""463"": 0.0, ""464"": 0.0, ""465"": 0.0, ""466"": 0.0, ""470"": 0.0, ""471"": 0.0, ""483"": 0.0}"
18,31,extras,"{""489"": 0.0, ""490"": 0.0}"
18,28,sauces,"{""480"": 0.0, ""482"": 0.0, ""485"": 0.0}"
19,32,custom_ingredients,"{""491"": 0.0, ""492"": {""S"": 1.25, ""M"": 1.75, ""L"": 2.25, ""XL"": 3.25}, ""493"": {""S"": 1.25, ""M"": 1.75, ""L"": 2.25, ""XL"": 3.25}, ""494"": {""S"": 1.25, ""M"": 1.75, ""L"": 2.25, ""XL"": 3.25}, ""495"": {""S"": 1.25, ""M"": 1.75, ""L"": 2.25, ""XL"": 3.25}, ""496"": {""S"": 1.25, ""M"": 1.75, ""L"": 2.25, ""XL"": 3.25}, ""497"": {""S"": 1.25, ""M"": 1.75, ""L"": 2.25, ""XL"": 3.25}, ""498"": {""S"": 1.25, ""M"": 1.75, ""L"": 2.25, ""XL"": 3.25}, ""499"": {""S"": 1.25, ""M"": 1.75, ""L"": 2.25, ""XL"": 3.25}, ""500"": {""S"": 1.25, ""M"": 1.75, ""L"": 2.25, ""XL"": 3.25}, ""501"": {""S"": 1.25, ""M"": 1.75, ""L"": 2.25, ""XL"": 3.25}, ""502"": {""S"": 1.25, ""M"": 1.75, ""L"": 2.25, ""XL"": 3.25}, ""503"": {""S"": 1.25, ""M"": 1.75, ""L"": 2.25, ""XL"": 3.25}, ""504"": {""S"": 1.25, ""M"": 1.75, ""L"": 2.25, ""XL"": 3.25}, ""505"": {""S"": 1.25, ""M"": 1.75, ""L"": 2.25, ""XL"": 3.25}, ""506"": {""S"": 1.75, ""M"": 2.5, ""L"": 3.25, ""XL"": 4.25}, ""507"": {""S"": 1.75, ""M"": 2.5, ""L"": 3.25, ""XL"": 4.25}, ""508"": {""S"": 1.75, ""M"": 2.5, ""L"": 3.25, ""XL"": 4.25}, ""509"": {""S"": 1.75, ""M"": 2.5, ""L"": 3.25, ""XL"": 4.25}, ""510"": {""S"": 1.75, ""M"": 2.5, ""L"": 3.25, ""XL"": 4.25}, ""511"": {""S"": 1.75, ""M"": 2.5, ""L"": 3.25, ""XL"": 4.25}, ""512"": {""S"": 1.75, ""M"": 2.5, ""L"": 3.25, ""XL"": 4.25}, ""513"": {""S"": 1.75, ""M"": 2.5, ""L"": 3.25, ""XL"": 4.25}, ""514"": {""S"": 1.75, ""M"": 2.5, ""L"": 3.25, ""XL"": 4.25}, ""515"": {""S"": 1.75, ""M"": 2.5, ""L"": 3.25, ""XL"": 4.25}, ""516"": {""S"": 1.75, ""M"": 2.5, ""L"": 3.25, ""XL"": 4.25}, ""517"": {""S"": 1.75, ""M"": 2.5, ""L"": 3.25, ""XL"": 4.25}, ""518"": {""S"": 1.75, ""M"": 2.5, ""L"": 3.25, ""XL"": 4.25}, ""519"": {""S"": 1.75, ""M"": 2.5, ""L"": 3.25, ""XL"": 4.25}}"
19,35,bread,"{""531"": 0.0, ""532"": 0.0}"
21,37,custom_ingredients,"{""551"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""552"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""553"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""554"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""555"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""556"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""557"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""558"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""559"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""560"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""561"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""562"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""563"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""564"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""565"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""566"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""567"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""568"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""569"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""570"": {""S"": 1.5, ""M"": 2.4, ""L"": 2.95, ""XL"": 3.5}, ""571"": {""S"": 1.5, ""M"": 2.4, ""L"": 2.95, ""XL"": 3.5}, ""580"": 1.0, ""585"": 0.0}"
21,40,bread,"{""586"": 0.0, ""587"": 0.0}"
22,37,custom_ingredients,"{""551"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""552"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""553"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""554"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""555"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""556"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""557"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""558"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""559"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""560"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""561"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""562"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""563"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""564"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""565"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""566"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""567"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""568"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""569"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""570"": {""S"": 1.5, ""M"": 2.4, ""L"": 2.95, ""XL"": 3.5}, ""571"": {""S"": 1.5, ""M"": 2.4, ""L"": 2.95, ""XL"": 3.5}, ""580"": 1.0, ""585"": 0.0}"
22,40,bread,"{""586"": 0.0, ""587"": 0.0}"
23,37,custom_ingredients,"{""551"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""552"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""553"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""554"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""555"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""556"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""557"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""558"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""559"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""560"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""561"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""562"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""563"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""564"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""565"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""566"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""567"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""568"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""569"": {""S"": 1.0, ""M"": 1.5, ""L"": 2.0, ""XL"": 2.5}, ""570"": {""S"": 1.5, ""M"": 2.4, ""L"": 2.95, ""XL"": 3.5}, ""571"": {""S"": 1.5, ""M"": 2.4, ""L"": 2.95, ""XL"": 3.5}, ""580"": 1.0, ""585"": 0.0}"
23,40,bread,"{""586"": 0.0, ""587"": 0.0}"
24,40,bread,"{""586"": 0.0, ""587"": 0.0}"
24,38,sauces,"{""572"": 0.0, ""573"": 0.0, ""574"": 0.0, ""575"": 0.0, ""576"": 0.0, ""577"": 0.0, ""578"": 0.0}"
25,40,bread,"{""586"": 0.0, ""587"": 0.0}"
26,38,sauces,"{""572"": 0.0, ""573"": 0.0, ""574"": 0.0, ""575"": 0.0, ""576"": 0.0, ""577"": 0.0, ""578"": 0.0}"
29,55,custom_ingredients,"{""603"": 0.0, ""604"": 0.0, ""605"": 0.0, ""606"": 0.0, ""607"": 0.0, ""608"": 0.0, ""609"": 0.0, ""610"": 0.0, ""611"": 0.0, ""612"": 0.0, ""613"": 0.0, ""614"": 0.0, ""615"": 0.0, ""616"": 0.0, ""617"": 0.0, ""618"": 0.0, ""619"": 0.0, ""620"": 0.0, ""622"": 0.0, ""623"": 0.0, ""624"": 0.0, ""625"": 0.0, ""626"": 0.0}"
29,62,bread,"{""652"": 0.0, ""653"": 0.0, ""654"": 0.0, ""655"": 0.0, ""656"": 0.0, ""657"": 0.0}"
30,47,dressing,"{""644"": 0.0, ""645"": 0.0, ""646"": 0.0, ""647"": 0.0, ""648"": 0.0, ""649"": 0.0}"
31,46,sauces,"{""628"": 1.0, ""631"": 1.0, ""632"": 1.0, ""633"": 1.0, ""639"": 0.0, ""640"": 0.0, ""641"": 0.0, ""642"": 0.0, ""643"": 0.0, ""659"": 0.0}"
32,59,sauces,"{""650"": 0.0, ""651"": 0.0}"
