"id","name","restaurant"
"2","Create Your Own","48"
"3","wings","48"
"4","Create your own 2","48"
"5","dips","47"
"10","2 entrees","43"
"15","pita combo","51"
"16","pita ","53"
"18","trio sandwich","53"
"19","twin pizza","54"
"20","2 subs","54"
"21","2 pizza 1 top","55"
"22","2 pizza 2 top","55"
"23","2 pizza 3 top","55"
"24","pizza sp","55"
"25","2  pizza sp","55"
"26","15 wings","55"
"29","large 3 topping","56"
"30","2 salads","56"
"31","Wings","56"
"32","Donair","56"
"33","salad sides","57"
"34","rice fries","57"
"35","chicken pork beef skewer","57"
"37","chicken pork 2","57"
"38","chicken pork 3","57"
"39","chicken pork 4","57"
"40","lamb beef gyros 2","57"
"41","lamb beef gyros 3","57"
"42","lamb beef gyros 4","57"
"43","2x 1 top","60"
"44","2 x 2 top","60"
"45","3 x 3top","60"
"48","Sunday February 5","56"
"49","feb 5 wings","56"
"50","3 Sandwich Deal","65"
"51","donair platter","65"
"52","2 Donair and 2 Cans of Pop","65"
"53","2xlg donnair with pop bottle","65"
"54","Two Pizza Deal","67"
"55","1 topping x 2","69"
"56","2 toppings x 2","69"
"57","3 toppings x 2","69"
"61","wings","69"
"62","2 toppings x 1","69"
"64","2 for 1 Specialty Pizzas","69"
"65","dips","56"
"66","12 wings","56"
"67","Cheo Pizza","56"
"68","3small pizzas","56"
"69","3 dips","56"
"70","Pasta Pairs","56"
"71","2 small pizza","71"
"74","1 small pizza 3 top","71"
"75","6 Chicken Wings","71"
"76","medium pizza 3 top","71"
"77","10 Chicken Wings","71"
"79","aasdasd","71"
"80","tttttttttt","56"
"81","2 x 1 topping","74"
"82","pizza dips","74"
"83","2 x2 toppig","74"
"84","2 x 3 toppings","74"
"85","wings sauce","74"
"86","Large 3 Tops Pizza","77"
"87","12 Wings","77"
"90","Large 3 toppings","74"
"92","med three topping plus","56"
"93","large salad","81"
"94","3 topping pizza.","81"
"95","2 med 2 top","81"
"96","20 wings","81"
"97","2 med 3 top","81"
"98","change me","81"
"99","2 donair","81"
"100","4 reg sand.","82"
"101","12 Wings","85"
"102","Medium 3 topping pizza","85"
"103","Large 3 topping pizza","85"
"104","2 beef donair","85"
"105","2 medium pizzas","85"
"107","Noodle chicken broth med.","87"
"108","drinks","87"
"109","Vermicelli","87"
"110","Rice dish","87"
"111","Stir fry","87"
"112","fried rice egg noodle (old)","87"
"113","rice noodle in beef broth new CD1","87"
"114","noodle in chicken broth new CD2","87"
"115","Vermicelli new CD3","87"
"116","white rice dish new CD4","87"
"117","stir fry new CD5","87"
"118","fried rice egg noodle new CD6","87"
"119","Med. 3 Topping pizza","89"
"120","Wings Sauces","89"
"122","Donair sauce","89"
"123","2 Medium pizza 3 toppings","89"
"124","Chef Salad Dressing & Extras","89"
"125","soup","79"
"126","2 main dishes","79"
"127","fried rice","79"
"128","3 main dishes","79"
"129","4 main dishes","79"
"130","5 main dishes","79"
"131","6 main dishes","79"
"132","1 Item From A","91"
"133","2 Items From A","91"
"134","1 Item From B","91"
"135","Special Offers - 2 for 1 (1 topping)","94"
"136","Special Offers Dip","94"
"137","Special Offers - 2 for 1 (2 toppings)","94"
"138","Special Offers - 2 for 1 (3 toppings)","94"
"139","Special Offer Wings Sauce","94"
"140","Special Offer Mama's Meal Deal Pizza toppings","94"
"141","Pasta Deal","96"
"142","2 Pizza Deal 1 Topping","95"
"143","2 Pizza Deal 2 Toppings","95"
"144","2 Pizza Deal 3 Toppings","95"
"145","2 Pizza Deal 1 Topping","97"
"146","2 Pizza Deal 2 Toppings","97"
"147","2 Pizza Deal 3 Toppings","97"
"148","2 Pizza Deal 1 Topping","98"
"149","2 Pizza Deal 2 Toppings","98"
"150","2 Pizza Deal 3 Toppings","98"
"151","2 for 1 Pizza 1 Topping","96"
"152","Dips","96"
"153","2 for 1 pizza 2 toppings","96"
"154","2 for 1 pizza 3 toppings","96"
"155","Wing Flavour","96"
"157","Monday deal Pizza toppings","96"
"158","Pizza 1,2,3 toppings -DIPS","96"
"159","2 Pizza Deal 1 Topping","99"
"160","2 Pizza Deal 2 Toppings","99"
"161","2 Pizza Deal 3 Toppings","99"
"162","2 Pizza Deal 1 Topping","100"
"163","2 Pizza Deal 2 Toppings","100"
"164","2 Pizza Deal 3 Toppings","100"
"165","Pizza deal #1 -toppings","96"
"166","Pizza deal #2 - toppings","96"
"167","2 Pizza Deal 1 Topping","102"
"168","2 Pizza Deal 2 Toppings","102"
"169","2 Pizza Deal 3 Toppings","102"
"170","2 Pizza Deal 1 Topping","103"
"171","2 Pizza Deal 2 Toppings","103"
"172","2 Pizza Deal 3 Toppings","103"
"173","2 Pizza Deal 1 Topping","104"
"174","2 Pizza Deal 2 Toppings","104"
"175","2 Pizza Deal 3 Toppings","104"
"176","2 Subs deal","95"
"177","2 Subs Deal","104"
"178","2 Subs Deal","102"
"179","2 Subs Deal","103"
"180","2 Pizza Deal 1 Topping","105"
"181","2 Pizza Deal 2 Toppings","105"
"182","2 Pizza Deal 3 Toppings","105"
"183","2 Subs deal","105"
"184","2 Pizza Deal 1 Topping","106"
"185","2 Pizza Deal 2 Toppings","106"
"186","2 Pizza Deal 3 Toppings","106"
"187","2 Subs deal","106"
"188","2 Pizza Deal 1 Topping","107"
"189","2 Pizza Deal 2 Toppings","107"
"190","2 Pizza Deal 3 Toppings","107"
"191","2 Subs deal","107"
"192","2 Pizza Deal 1 Topping","108"
"193","2 Pizza Deal 2 Toppings","108"
"194","2 Pizza Deal 3 Toppings","108"
"195","2 Subs deal","108"
"196","Family deal -Chef salad or fries","95"
"197","Family deal- Large pizza with Fries","95"
"198","Family deal- Wings sauce","95"
"199","Large pizza deal - pizza toppings","95"
"200","Pizza Dips upsell","95"
"201","Pizza Combos Small - 3 toppings pizza","95"
"202","Pizza Combos - Wings Sauces","95"
