combo_group_id,dish_id,display_order
2,827,0
4,827,0
5,677,0
10,416,0
16,1143,0
16,1144,1
16,1145,2
16,1146,3
16,1147,4
16,1148,5
20,1262,0
20,1263,1
20,1264,2
20,1265,3
20,1266,4
20,1267,5
20,1268,6
20,1269,7
20,1270,8
20,1271,9
20,1272,10
20,1273,11
20,1274,12
20,1275,13
20,1276,14
20,1277,15
20,1278,16
24,1329,0
25,1329,0
33,1514,0
33,1515,1
34,1550,0
34,1551,1
37,1576,0
37,1577,1
38,1576,0
38,1577,1
39,1576,0
39,1577,1
40,1578,0
40,1579,1
40,1580,2
41,1578,0
41,1579,1
41,1580,2
42,1578,0
42,1579,1
42,1580,2
49,1915,0
64,2199,0
64,2200,1
64,2201,2
64,2202,3
64,2203,4
64,2204,5
64,2205,6
70,1467,0
70,1468,1
70,1469,2
70,1470,3
70,1471,4
70,1472,5
71,2262,0
86,2934,0
100,3293,0
100,3294,1
100,3295,2
100,3296,3
100,3297,4
100,3298,5
100,3299,6
108,3772,0
108,3773,1
108,3774,2
108,3775,3
108,3776,4
108,3777,5
108,3778,6
108,3779,7
109,3670,0
109,3671,1
109,3672,2
109,3673,3
109,3674,4
109,3675,5
109,3676,6
109,3677,7
109,3678,8
110,3680,0
110,3681,1
110,3682,2
110,3683,3
110,3684,4
110,3685,5
110,3686,6
110,3687,7
110,3688,8
110,3689,9
110,3690,10
111,3691,0
111,3692,1
111,3693,2
111,3694,3
111,3695,4
111,3696,5
111,3697,6
111,3698,7
111,3699,8
111,3700,9
111,3701,10
111,3702,11
111,3703,12
111,3704,13
111,3705,14
111,3706,15
111,3707,16
111,3708,17
111,3709,18
111,3710,19
112,3712,0
112,3713,1
112,3714,2
112,3715,3
112,3716,4
112,3717,5
112,3718,6
112,3719,7
112,3720,8
112,3721,9
112,3722,10
115,3824,0
115,3825,1
115,3826,2
115,3827,3
115,3828,4
115,3829,5
115,3830,6
115,3831,7
115,3832,8
116,3834,0
116,3835,1
116,3836,2
116,3837,3
116,3838,4
116,3839,5
116,3840,6
116,3841,7
116,3842,8
116,3843,9
116,3844,10
117,3845,0
117,3846,1
117,3847,2
117,3848,3
117,3849,4
117,3850,5
117,3851,6
117,3852,7
117,3853,8
117,3854,9
117,3855,10
117,3856,11
117,3857,12
117,3858,13
117,3859,14
117,3860,15
117,3861,16
117,3862,17
117,3863,18
117,3864,19
118,3865,0
118,3866,1
118,3867,2
118,3868,3
118,3869,4
118,3870,5
118,3871,6
118,3872,7
118,3873,8
118,3874,9
118,3875,10
125,4141,0
125,4142,1
125,4143,2
125,4144,3
126,4145,0
126,4146,1
126,4147,2
126,4148,3
126,4149,4
126,6124,5
126,6125,6
126,3008,7
126,3009,8
126,3011,9
126,3018,10
126,3460,11
126,3462,12
126,3034,13
126,3036,14
126,3483,15
126,3489,16
126,3065,17
126,3076,18
126,3509,19
126,3513,20
126,3062,21
127,3089,0
127,3090,1
128,4145,0
128,4146,1
128,4147,2
128,4148,3
128,4149,4
128,6124,5
128,6125,6
128,3008,7
128,3009,8
128,3011,9
128,3018,10
128,3460,11
128,3462,12
128,3034,13
128,3036,14
128,3483,15
128,3489,16
128,3065,17
128,3076,18
128,3509,19
128,3513,20
128,3062,21
129,4145,0
129,4146,1
129,4147,2
129,4148,3
129,4149,4
129,6124,5
129,6125,6
129,3008,7
129,3009,8
129,3011,9
129,3018,10
129,3460,11
129,3462,12
129,3034,13
129,3036,14
129,3483,15
129,3489,16
129,3065,17
129,3076,18
129,3509,19
129,3513,20
129,3062,21
130,4145,0
130,4146,1
130,4147,2
130,4148,3
130,4149,4
130,6124,5
130,6125,6
130,3008,7
130,3009,8
130,3011,9
130,3018,10
130,3460,11
130,3462,12
130,3034,13
130,3036,14
130,3483,15
130,3489,16
130,3065,17
130,3076,18
130,3509,19
130,3513,20
130,3062,21
131,4145,0
131,4146,1
131,4147,2
131,4148,3
131,4149,4
131,6124,5
131,6125,6
131,3008,7
131,3009,8
131,3011,9
131,3018,10
131,3460,11
131,3462,12
131,3034,13
131,3036,14
131,3483,15
131,3489,16
131,3065,17
131,3076,18
131,3509,19
131,3513,20
131,3062,21
132,4287,0
132,4288,1
132,4289,2
132,4290,3
132,4291,4
132,71704,5
132,71705,6
132,71706,7
133,4287,0
133,4288,1
133,4289,2
133,4290,3
133,4291,4
133,71704,5
133,71705,6
133,71706,7
134,4292,0
134,4293,1
134,4294,2
134,4295,3
134,4296,4
141,4664,2
141,4665,3
176,4626,0
176,4627,1
176,4628,2
176,4629,3
176,4630,4
176,4631,5
176,4632,6
176,4633,7
176,4634,8
176,4635,9
176,4636,10
176,4637,11
177,5376,0
177,5377,1
177,5378,2
177,5379,3
177,5380,4
177,5381,5
177,5382,6
177,5383,7
177,5384,8
177,5385,9
177,5386,10
177,5387,11
178,5230,0
178,5231,1
178,5232,2
178,5233,3
178,5234,4
178,5235,5
178,5236,6
178,5237,7
178,5238,8
178,5239,9
178,5240,10
178,5241,11
179,5303,0
179,5304,1
179,5305,2
179,5306,3
179,5307,4
179,5308,5
179,5309,6
179,5310,7
179,5311,8
179,5312,9
179,5313,10
179,5314,11
183,4626,0
183,4627,1
183,4628,2
183,4629,3
183,4630,4
183,4631,5
183,4632,6
183,4633,7
183,4634,8
183,4635,9
183,4636,10
183,4637,11
187,4626,0
187,4627,1
187,4628,2
187,4629,3
187,4630,4
187,4631,5
187,4632,6
187,4633,7
187,4634,8
187,4635,9
187,4636,10
187,4637,11
191,4626,0
191,4627,1
191,4628,2
191,4629,3
191,4630,4
191,4631,5
191,4632,6
191,4633,7
191,4634,8
191,4635,9
191,4636,10
191,4637,11
195,4626,0
195,4627,1
195,4628,2
195,4629,3
195,4630,4
195,4631,5
195,4632,6
195,4633,7
195,4634,8
195,4635,9
195,4636,10
195,4637,11
229,4626,0
229,4627,1
229,4628,2
229,4629,3
229,4630,4
229,4631,5
229,4632,6
229,4633,7
229,4634,8
229,4635,9
229,4636,10
229,4637,11
246,4626,0
246,4627,1
246,4628,2
246,4629,3
246,4630,4
246,4631,5
246,4632,6
246,4633,7
246,4634,8
246,4635,9
246,4636,10
246,4637,11
266,6110,2
266,6111,3
267,6185,0
267,6186,1
274,6110,2
274,6111,3
274,6112,4
275,6185,0
275,6186,1
324,7208,0
324,7209,1
324,7210,2
324,7211,3
324,7212,4
324,7213,5
324,7214,6
349,7208,0
349,7209,1
349,7210,2
349,7211,3
349,7212,4
349,7213,5
349,7214,6
371,8037,0
371,8038,1
371,8049,2
371,8050,3
371,8051,4
371,8055,5
371,8061,6
371,8072,7
407,8767,0
407,8768,1
528,10117,0
528,10118,1
529,10120,0
529,10122,1
529,10078,3
529,10079,4
550,9541,11
550,9542,12
550,9543,13
550,9544,14
550,9545,15
550,9546,16
550,9547,17
551,9553,4
552,9585,0
554,10160,0
554,10161,1
554,10162,2
554,10163,3
554,10164,4
554,10165,5
554,10166,6
554,10167,7
554,10168,8
554,10169,9
554,10170,10
554,10171,11
611,10371,0
611,10372,1
622,9541,11
622,9542,12
622,9543,13
622,9544,14
622,9545,15
622,9546,16
622,9547,17
623,9553,4
624,9585,0
626,10160,0
626,10161,1
626,10162,2
626,10163,3
626,10164,4
626,10165,5
626,10166,6
626,10167,7
626,10168,8
626,10169,9
626,10170,10
626,10171,11
643,9541,11
643,9542,12
643,9543,13
643,9544,14
643,9545,15
643,9546,16
643,9547,17
644,9553,4
645,9585,0
647,10160,0
647,10161,1
647,10162,2
647,10163,3
647,10164,4
647,10165,5
647,10166,6
647,10167,7
647,10168,8
647,10169,9
647,10170,10
647,10171,11
664,9541,11
664,9542,12
664,9543,13
664,9544,14
664,9545,15
664,9546,16
664,9547,17
665,9553,4
666,9585,0
668,10160,0
668,10161,1
668,10162,2
668,10163,3
668,10164,4
668,10165,5
668,10166,6
668,10167,7
668,10168,8
668,10169,9
668,10170,10
668,10171,11
685,9541,11
685,9542,12
685,9543,13
685,9544,14
685,9545,15
685,9546,16
685,9547,17
686,9553,4
687,9585,0
689,10160,0
689,10161,1
689,10162,2
689,10163,3
689,10164,4
689,10165,5
689,10166,6
689,10167,7
689,10168,8
689,10169,9
689,10170,10
689,10171,11
706,9541,11
706,9542,12
706,9543,13
706,9544,14
706,9545,15
706,9546,16
706,9547,17
707,9553,4
708,9585,0
710,10160,0
710,10161,1
710,10162,2
710,10163,3
710,10164,4
710,10165,5
710,10166,6
710,10167,7
710,10168,8
710,10169,9
710,10170,10
710,10171,11
727,9541,11
727,9542,12
727,9543,13
727,9544,14
727,9545,15
727,9546,16
727,9547,17
728,9553,4
729,9585,0
731,10160,0
731,10161,1
731,10162,2
731,10163,3
731,10164,4
731,10165,5
731,10166,6
731,10167,7
731,10168,8
731,10169,9
731,10170,10
731,10171,11
789,9346,0
789,9347,1
789,9349,4
790,11188,1
790,11189,2
790,11190,3
790,11191,4
790,11192,5
790,11193,6
790,11194,7
790,11195,8
790,11196,9
790,11197,10
790,11198,11
790,11199,12
790,11200,13
790,11201,14
822,11752,0
822,11753,1
840,9409,0
862,11977,0
862,11996,1
862,12001,2
862,12002,3
862,12006,4
862,12010,5
862,12015,6
862,12022,7
862,12034,8
862,12035,9
862,12056,10
862,12057,11
959,13352,0
959,13353,1
959,13354,2
959,13355,3
959,13356,4
959,13357,5
959,13358,6
1024,13754,0
1024,13755,1
1038,14264,0
1038,14265,1
1038,14266,2
1038,14267,3
1038,14268,4
1038,14269,5
1038,14270,6
1038,14271,7
1038,14272,8
1038,14273,9
1038,14274,10
1038,14275,11
1038,14276,12
1038,14277,13
1038,14278,14
