combo_group_id,combo_rules
1,"{""item_count"": 1, ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 1, ""max"": 1, ""free_quantity"": 1, ""display_order"": 1}}}"
2,"{""item_count"": 2, ""show_pizza_icons"": true, ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 1, ""max"": 100, ""free_quantity"": 1, ""display_order"": 2, ""display_header"": """"}, ""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 3, ""display_header"": """"}}}"
3,"{""item_count"": 1}"
4,"{""item_count"": 2, ""show_pizza_icons"": true, ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 2, ""max"": 100, ""free_quantity"": 2, ""display_order"": 2, ""display_header"": """"}, ""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 7, ""display_header"": """"}}}"
5,"{""item_count"": 1}"
10,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""111;2222""}"
15,"{""item_count"": 1, ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 2}, ""extras"": {""enabled"": true, ""min"": 1, ""max"": 1, ""free_quantity"": 0, ""display_order"": 7}}}"
16,"{""item_count"": 4, ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 2}}}"
18,"{""item_count"": 1, ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 2}, ""extras"": {""enabled"": true, ""min"": 1, ""max"": 1, ""free_quantity"": 0, ""display_order"": 7}}}"
19,"{""item_count"": 2, ""show_pizza_icons"": true, ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 0, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": """"}}}"
20,"{""item_count"": 2}"
21,"{""item_count"": 2, ""show_pizza_icons"": true, ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 1, ""max"": 0, ""free_quantity"": 1, ""display_order"": 2, ""display_header"": """"}}}"
22,"{""item_count"": 2, ""show_pizza_icons"": true, ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 2, ""max"": 0, ""free_quantity"": 2, ""display_order"": 2, ""display_header"": """"}}}"
23,"{""item_count"": 3, ""show_pizza_icons"": true, ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 0, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": """"}}}"
24,"{""item_count"": 1, ""show_pizza_icons"": true, ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 3, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": """"}}}"
25,"{""item_count"": 2, ""show_pizza_icons"": true, ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 3, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": """"}}}"
26,"{""item_count"": 1}"
29,"{""item_count"": 1, ""show_pizza_icons"": true, ""display_header"": """", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 0, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": ""Choose 3 Toppings""}}}"
30,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Choose your salad""}"
