id,dish,group,order
389,3241,99,0
390,3243,99,0
392,3244,99,0
393,3245,99,0
399,3307,100,0
741,4851,148,0
742,4852,149,0
743,4853,150,0
744,5005,162,0
745,5006,163,0
746,5007,164,0
748,4933,160,0
749,4934,161,0
751,4932,159,0
752,5401,173,0
753,5402,174,0
754,5403,175,0
755,5255,167,0
756,5256,168,0
757,5257,169,0
758,5328,170,0
759,5329,171,0
760,5330,172,0
769,5405,177,0
771,5406,178,0
772,5407,179,0
773,5700,192,0
774,5478,180,0
775,5626,188,0
776,5627,189,0
777,5628,190,0
778,5479,181,0
779,5480,182,0
780,5701,193,0
781,5702,194,0
782,5481,183,0
784,5629,191,0
785,5703,195,0
884,6026,252,0
885,6027,252,0
886,6027,253,0
887,6029,255,0
890,6030,256,0
891,6030,253,0
892,6033,259,0
897,6021,248,0
898,6021,249,0
909,6028,254,0
910,6028,253,0
923,5930,240,0
924,5930,234,0
925,5930,236,0
929,6031,257,0
930,6031,251,0
931,6031,253,0
934,6032,258,0
936,5905,229,0
937,6006,246,0
944,6003,243,0
945,6003,251,0
946,6004,244,0
947,6004,251,0
948,6005,245,0
949,6005,251,0
950,5902,226,0
951,5902,234,0
952,5903,227,0
953,5903,234,0
954,5904,228,0
955,5904,234,0
976,6022,250,0
985,6277,269,8
986,6278,270,0
987,6279,271,0
988,6274,268,0
990,6281,273,0
992,6282,274,0
994,6301,275,0
1042,6419,295,0
1043,6419,296,0
1429,7464,369,0
1430,7464,370,0
1480,8396,377,0
1481,8396,378,0
1506,8489,384,0
1507,8489,385,0
1547,8492,386,0
1548,8492,373,0
1549,8494,388,0
1550,8494,373,0
1551,8494,381,0
1552,8493,387,0
1553,8493,373,0
1554,8493,381,0
1555,8352,372,0
1556,8352,373,0
1557,8353,374,0
1558,8353,373,0
1559,8354,375,0
1560,8354,373,0
1561,8355,376,0
1562,8355,373,0
1563,8358,372,0
1564,8358,373,0
1565,8359,372,0
1566,8359,373,0
1567,8360,372,0
1568,8360,373,0
1569,8361,372,0
1570,8361,373,0
1571,8362,372,0
1572,8362,373,0
1573,8363,372,0
1574,8363,373,0
1575,8364,372,0
1576,8364,373,0
1577,8365,372,0
1578,8365,373,0
1581,8367,372,0
1582,8367,373,0
1583,8366,372,0
1584,8366,373,0
1585,8368,372,0
1586,8368,373,0
1587,8369,372,0
1588,8369,373,0
1589,8370,372,0
1590,8370,373,0
1591,8371,372,0
1592,8371,373,0
1593,8448,379,0
1594,8449,379,0
1595,8450,379,0
1596,8451,379,0
1597,8452,379,0
1598,8454,379,0
1599,8455,379,0
1600,8458,379,0
1601,8459,379,0
1602,8460,379,0
1604,8462,379,0
1605,8463,379,0
1606,8461,379,0
1678,9010,419,0
1679,9010,420,0
1704,9038,432,0
1705,9038,431,0
1708,9039,433,0
1709,9039,424,0
1710,9048,434,0
1711,9032,421,0
1712,9032,424,0
1715,9033,422,0
1716,9033,424,0
1740,9251,437,0
1741,9035,425,0
1742,9035,426,0
1743,9035,424,0
1744,9035,438,0
1745,9036,427,0
1746,9036,428,0
1747,9036,438,0
1748,9037,429,0
1749,9037,430,0
1750,9037,438,0
1798,9034,423,0
1799,9034,424,0
2578,11751,821,0
2579,11751,809,0
2592,11747,810,0
2593,11747,812,0
2594,11747,811,0
2598,11748,813,0
2599,11748,814,0
2600,11748,811,0
2604,11749,815,0
2605,11749,816,0
2606,11749,811,0
2617,11750,817,0
2618,11750,819,0
2619,11750,818,0
2620,11750,820,0
2621,11750,825,0
2622,11661,804,0
2623,11661,807,0
2624,11662,805,0
2625,11662,807,0
2628,11663,806,0
2629,11663,807,0
2634,11664,808,0
2635,11664,809,0
2640,11787,829,0
2641,11787,814,0
2642,11787,809,0
2827,11791,832,0
2828,11791,819,0
2829,11791,820,0
2830,11791,833,0
2831,11791,809,0
2934,12307,889,0
2935,12307,892,0
2936,12307,893,0
2940,12309,891,0
2941,12309,892,0
2942,12309,893,0
2985,12386,906,0
2986,12386,912,0
2987,12386,913,0
2988,12386,893,0
2993,12387,907,0
2994,12387,912,0
2995,12387,913,0
2996,12387,893,0
3001,12388,908,0
3002,12388,912,0
3003,12388,913,0
3004,12388,893,0
3009,12389,909,0
3010,12389,912,0
3011,12389,913,0
3012,12389,893,0
3232,13900,964,0
3233,13900,965,0
3234,13901,966,0
3235,13901,969,0
3236,13901,970,0
3237,13901,965,0
3238,13902,967,0
3239,13902,969,0
3240,13902,970,0
3241,13902,965,0
3250,13905,964,0
3251,13905,965,0
3254,13907,964,0
3255,13907,965,0
3256,13908,964,0
3257,13908,965,0
3258,13909,964,0
3259,13909,965,0
3262,13911,964,0
3263,13911,965,0
3264,13912,964,0
3265,13912,965,0
3266,13913,964,0
3267,13913,965,0
3268,13914,964,0
3269,13914,965,0
3270,13915,964,0
3271,13915,965,0
3272,13916,964,0
3273,13916,965,0
3274,13903,968,0
3275,13903,969,0
3276,13903,970,0
3277,13903,965,0
3295,13918,971,0
3296,13918,974,0
3297,13918,965,0
3298,13919,972,0
3299,13919,974,0
3300,13919,965,0
3301,13920,973,0
3302,13920,974,0
3303,13920,965,0
3381,3176,97,0
3382,3176,969,0
3383,3176,970,0
3384,3176,978,0
3389,13955,975,0
3390,13955,974,0
3391,13955,965,0
3392,13955,977,0
3393,13954,975,0
3394,13954,974,0
3395,13954,965,0
3396,13954,976,0
3413,3174,95,0
3414,3174,969,0
3415,3174,970,0
3416,3174,978,0
3417,3174,96,0
3418,13904,964,0
3419,13904,965,0
3420,13906,964,0
3421,13906,965,0
3422,13910,964,0
3423,13910,965,0
3433,13957,97,0
3434,13957,981,0
3435,13957,982,0
3436,13957,978,0
3437,13957,96,0
3438,13957,979,0
3633,14307,1015,0
3634,14307,1016,0
3635,14308,1015,0
3636,14308,1016,0
3637,14309,1015,0
3638,14309,1016,0
3639,14310,1015,0
3640,14310,1016,0
4524,6434,299,0
4525,6434,300,0
4528,6436,299,0
4529,6436,300,0
4530,6438,299,0
4531,6438,300,0
4532,6440,299,0
4533,6440,300,0
4534,6442,299,0
4535,6442,300,0
4536,6444,299,0
4537,6444,300,0
4538,6446,299,0
4539,6446,300,0
4540,6448,299,0
4541,6448,300,0
4542,16563,299,0
4543,16563,300,0
4544,6450,299,0
4545,6450,300,0
4546,6452,299,0
4547,6452,300,0
4550,6454,299,0
4551,6454,300,0
4552,6456,299,0
4553,6456,300,0
4554,6458,299,0
4555,6458,300,0
4556,6460,299,0
4557,6460,300,0
4558,6462,299,0
4559,6462,300,0
4564,6464,301,0
4565,6464,300,0
4566,6466,301,0
4567,6466,300,0
4568,6468,301,0
4569,6468,300,0
4570,6470,301,0
4571,6470,300,0
4572,6472,301,0
4573,6472,300,0
4574,6474,301,0
4575,6474,300,0
4576,6476,301,0
4577,6476,300,0
4580,16568,301,0
4581,16568,300,0
4593,8486,380,0
4594,8486,381,0
4595,8487,382,0
4596,8487,381,0
4597,8488,383,0
4598,8488,381,0
4620,12308,890,0
4621,12308,892,0
4622,12308,893,0
4668,17132,1234,0
4669,17132,1235,0
4670,17133,1234,0
4671,17133,1235,0
4672,17134,1234,0
4673,17134,1235,0
4674,17135,1234,0
4675,17135,1235,0
4696,17324,1241,0
4697,17325,1242,0
5568,17302,1237,0
5569,17302,1240,0
5570,17302,1353,0
5571,17303,1238,0
5572,17303,1240,0
5573,17303,1353,0
5574,17304,1239,0
5575,17304,1240,0
5576,17304,1353,0
5577,17351,1248,0
5578,17351,1251,0
5579,17351,1353,0
5580,17351,1234,0
5581,17351,1235,0
5582,17352,1249,0
5583,17352,1252,0
5584,17352,1353,0
5585,17352,1234,0
5586,17352,1235,0
5587,17353,1250,0
5588,17353,1253,0
5589,17353,1353,0
5590,17353,1234,0
5591,17353,1235,0
5592,17348,1243,0
5593,17348,1246,0
5594,17348,1247,0
5595,17348,1353,0
5596,17349,1244,0
5597,17349,1246,0
5598,17349,1247,0
5599,17349,1353,0
5600,17350,1245,0
5601,17350,1246,0
5602,17350,1247,0
5603,17350,1353,0
5964,18901,1426,0
5965,18901,1427,0
5966,18901,1428,0
5971,18905,1429,0
5972,18905,1434,0
5973,18905,1435,0
5974,18905,1423,0
5979,18906,1432,0
5980,18906,1434,0
5981,18906,1435,0
5982,18906,1423,0
5987,18907,1433,0
5988,18907,1434,0
5989,18907,1435,0
5990,18907,1423,0
6002,18909,1437,0
6003,18909,1438,0
6004,18909,1428,0
6005,18909,1436,0
6012,18910,1437,0
6013,18910,1438,0
6014,18910,1428,0
6015,18908,1426,0
6016,18908,1427,0
6017,18908,1428,0
6018,18908,1436,0
6022,18911,1437,0
6023,18911,1438,0
6024,18911,1428,0
6035,18912,1439,0
6036,18912,1440,0
6037,18912,1441,0
6038,18912,1436,0
6039,18913,1439,0
6040,18913,1440,0
6041,18913,1441,0
6042,18972,1422,0
6043,18972,1423,0
6044,18973,1442,0
6045,18973,1443,0
6779,10937,724,0
6780,10937,725,0
6781,10937,744,0
6788,10938,726,0
6789,10938,725,0
6790,10938,744,0
6791,11031,739,0
6792,11031,742,0
6793,11031,743,0
6794,11031,744,0
6795,11032,740,0
6796,11032,742,0
6797,11032,743,0
6798,11032,744,0
6799,11033,741,0
6800,11033,742,0
6801,11033,743,0
6802,11033,744,0
6815,21153,1581,0
6816,21153,1582,0
6817,21153,1583,0
6859,21512,1597,0
6860,21512,1598,0
6861,21512,1595,0
6871,21513,1594,0
6872,21513,1595,0
6873,21513,1593,0
6877,21514,1599,0
6878,21518,1600,0
6879,21520,1601,0
6880,21521,1602,0
6970,21529,1597,0
6971,21529,1598,0
6972,21529,1595,0
6973,21529,1611,0
6979,21530,1606,0
6980,21530,1607,0
6981,21530,1608,0
6982,21530,1595,0
6983,21530,1611,0
6992,21524,1609,0
6993,21524,1595,0
6994,21524,1610,0
7017,21528,1612,0
7018,21528,1595,0
7019,21528,1611,0
7020,21528,1610,0
7021,21527,1609,0
7022,21527,1595,0
7023,21527,1610,0
7028,21526,1609,0
7029,21526,1595,0
7030,21526,1610,0
7031,21526,1611,0
7032,21525,1609,0
7033,21525,1595,0
7034,21525,1611,0
7035,21522,1603,0
7036,21522,1604,0
7037,21522,1605,0
7038,21522,1595,0
7039,21523,1606,0
7040,21523,1607,0
7041,21523,1608,0
7042,21523,1595,0
7151,21856,1626,0
7152,21858,1630,0
7153,21858,1626,0
7154,21860,1629,0
7155,21860,1631,0
7156,21860,1627,0
7157,21871,1630,0
7158,21871,1629,0
7159,21871,1627,0
7162,23099,1638,0
7163,23099,1639,0
7164,23099,1640,0
7168,23100,1641,0
7169,23100,1639,0
7170,23100,1640,0
7175,23217,1642,0
7176,23217,1645,0
7177,23217,1646,0
7178,23217,1640,0
7187,23220,1643,0
7188,23220,1645,0
7189,23220,1646,0
7190,23220,1640,0
7195,23221,1644,0
7196,23221,1645,0
7197,23221,1646,0
7198,23221,1640,0
7207,23226,1648,0
7208,23226,1651,0
7209,23226,1640,0
7210,23226,1647,0
7215,23227,1649,0
7216,23227,1652,0
7217,23227,1640,0
7218,23227,1647,0
7222,23229,1650,0
7223,23229,1653,0
7224,23229,1640,0
7225,23232,1654,0
7363,23096,1636,0
7364,23096,1637,0
7365,23096,1683,0
7777,24602,1750,0
7837,25173,1752,0
7838,25173,1758,0
7840,25174,1755,0
7841,25174,1759,0
7842,25175,1753,0
7843,25175,1758,0
7844,25176,1756,0
7845,25176,1759,0
7846,25177,1754,0
7847,25177,1758,0
7848,25178,1755,0
7849,25178,1759,0
7893,18714,1388,0
7894,18714,1389,0
7895,18714,1387,0
7896,18714,1390,0
7897,18718,1391,0
7898,18718,1392,0
7899,18718,1387,0
7900,18718,1390,0
7901,18724,1393,0
7902,18724,1394,0
7903,18724,1387,0
7904,18724,1390,0
8055,18737,1395,0
8056,18737,1396,0
8057,18737,1397,0
8058,18737,1387,0
8059,18738,1398,0
8060,18738,1396,0
8061,18738,1397,0
8062,18738,1387,0
8063,18739,1399,0
8064,18739,1396,0
8065,18739,1397,0
8066,18739,1387,0
8067,18639,1385,0
8068,18639,1386,0
8069,18639,1387,0
8072,25539,1785,0
8073,25539,809,0
8164,25326,1764,0
8165,25326,1763,0
8166,25327,1765,0
8167,25327,1766,0
8168,25328,1767,0
8169,25328,1768,0
8170,25328,1766,0
8171,25329,1767,0
8172,25329,1769,0
8173,25331,1771,0
8174,25331,1767,0
8175,25331,1768,0
8176,25331,1772,0
8177,25331,1766,0
8178,25334,1776,0
8179,25334,1773,0
8180,25334,1770,0
8181,25347,1776,0
8182,25347,1773,0
8183,25347,1770,0
8184,25384,1784,0
8185,25384,1770,0
8186,25325,1762,0
8187,25325,1763,0
8188,26137,1810,0
8234,26465,1829,0
8235,26466,1829,0
8236,26467,1829,0
8237,26468,1829,0
8238,26469,1829,0
8239,26470,1829,0
8240,26471,1829,0
8241,26472,1829,0
8242,26473,1829,0
8243,26474,1829,0
8244,26475,1829,0
8245,26476,1829,0
8246,26477,1829,0
8247,26478,1830,0
8248,26479,1831,0
8249,26480,1832,0
8310,26591,1847,0
8325,26599,1850,0
8326,26600,1852,0
8327,26598,1848,0
8339,26605,1858,0
8340,26605,1860,0
8341,26604,1857,0
8342,26604,1859,0
8343,26606,1857,0
8344,26606,1861,0
8345,26608,1858,0
8346,26608,1862,0
8347,26609,1863,0
8348,26609,1864,0
8359,26611,1865,0
8360,26611,1866,0
8361,26618,1871,0
8362,26619,1871,0
8363,26620,1871,0
8364,26621,1871,0
8365,26622,1871,0
8366,26623,1871,0
8367,26624,1871,0
8368,26625,1871,0
8369,26626,1871,0
8370,26627,1871,0
8371,26628,1871,0
8372,26629,1871,0
8373,26630,1871,0
8374,26631,1872,0
8375,26632,1873,0
8376,26633,1874,0
8380,26665,1875,0
8381,26665,1877,0
8382,26665,1876,0
8386,26670,1878,0
8387,26670,1877,0
8388,26670,1876,0
8392,26671,1879,0
8393,26671,1877,0
8394,26671,1876,0
8396,26712,1881,0
8398,26713,1882,0
8399,26714,1883,0
8400,26714,1887,0
8401,26715,1884,0
8402,26715,1888,0
8403,26716,1885,0
8404,26716,1889,0
8405,26717,1886,0
8406,26717,1890,0
8415,26741,1895,0
8416,26742,1896,0
8417,26744,1897,0
8418,26745,1898,0
8419,26748,1883,0
8420,26751,1884,0
8421,26758,1883,0
8422,26758,1899,0
8423,26761,1884,0
8424,26761,1900,0
8533,27512,1924,0
8534,27512,1925,0
8535,27512,1926,0
8539,26711,1880,0
8540,26711,1927,0
8541,26719,1883,0
8542,26719,1891,0
8543,26719,1928,0
8544,26721,1884,0
8545,26721,1892,0
8546,26721,1928,0
8547,26722,1885,0
8548,26722,1893,0
8549,26722,1928,0
8550,26723,1886,0
8551,26723,1894,0
8552,26723,1928,0
8553,26579,1840,0
8554,26579,1929,0
8555,26581,1842,0
8556,26582,1843,0
8557,26612,1857,0
8558,26612,1867,0
8559,26612,1930,0
8560,26614,1858,0
8561,26614,1868,0
8562,26614,1930,0
8563,26615,1863,0
8564,26615,1869,0
8565,26615,1930,0
