Phase 4.3: ingredient_groups Deserialization Errors
==================================================

Group 1: Empty BLOB data (item or price)
Group 3: Empty BLOB data (item or price)
Group 4: Empty BLOB data (item or price)
Group 5: Empty BLOB data (item or price)
Group 6: Empty BLOB data (item or price)
Group 7: Empty BLOB data (item or price)
Group 8: Empty BLOB data (item or price)
Group 9: Empty BLOB data (item or price)
Group 12: Empty BLOB data (item or price)
Group 13: Empty BLOB data (item or price)
Group 14: Empty BLOB data (item or price)
Group 15: Empty BLOB data (item or price)
Group 16: Empty BLOB data (item or price)
Group 17: Empty BLOB data (item or price)
Group 19: Empty BLOB data (item or price)
Group 20: Empty BLOB data (item or price)
Group 21: Empty BLOB data (item or price)
Group 22: Empty BLOB data (item or price)
Group 23: Empty BLOB data (item or price)
Group 24: Empty BLOB data (item or price)
Group 25: Empty BLOB data (item or price)
Group 26: Empty BLOB data (item or price)
Group 27: Empty BLOB data (item or price)
Group 28: Empty BLOB data (item or price)
Group 29: Empty BLOB data (item or price)
Group 31: Empty BLOB data (item or price)
Group 33: Empty BLOB data (item or price)
Group 34: Empty BLOB data (item or price)
Group 35: Empty BLOB data (item or price)
Group 36: Empty BLOB data (item or price)
Group 37: Empty BLOB data (item or price)
Group 38: Empty BLOB data (item or price)
Group 39: Empty BLOB data (item or price)
Group 40: Empty BLOB data (item or price)
Group 41: Empty BLOB data (item or price)
Group 44: Empty BLOB data (item or price)
Group 45: Empty BLOB data (item or price)
Group 46: Empty BLOB data (item or price)
Group 47: Empty BLOB data (item or price)
Group 48: Empty BLOB data (item or price)
Group 49: Empty BLOB data (item or price)
Group 50: Empty BLOB data (item or price)
Group 51: Empty BLOB data (item or price)
Group 52: Empty BLOB data (item or price)
Group 53: Empty BLOB data (item or price)
Group 54: Empty BLOB data (item or price)
Group 55: Empty BLOB data (item or price)
Group 56: Empty BLOB data (item or price)
Group 57: Empty BLOB data (item or price)
Group 58: Empty BLOB data (item or price)
Group 59: Empty BLOB data (item or price)
Group 60: Empty BLOB data (item or price)
Group 61: Empty BLOB data (item or price)
Group 62: Empty BLOB data (item or price)
Group 63: Empty BLOB data (item or price)
Group 64: Empty BLOB data (item or price)
Group 65: Empty BLOB data (item or price)
Group 66: Empty BLOB data (item or price)
Group 67: Empty BLOB data (item or price)
Group 68: Empty BLOB data (item or price)
Group 70: Empty BLOB data (item or price)
Group 71: Empty BLOB data (item or price)
Group 72, Ingredient 528: Invalid price '123'
Group 72, Ingredient 547: Invalid price '321'
Group 162: Invalid BLOB structure (not dict/array)
Group 277: No price for ingredient 1871
Group 277: No price for ingredient 1872
Group 277: No price for ingredient 1873
Group 277: No price for ingredient 1874
Group 278: No price for ingredient 1851
Group 278: No price for ingredient 1852
Group 278: No price for ingredient 1853
Group 278: No price for ingredient 1854
Group 278: No price for ingredient 1855
Group 278: No price for ingredient 1856
Group 278: No price for ingredient 1857
Group 278: No price for ingredient 1858
Group 278: No price for ingredient 1859
Group 278: No price for ingredient 1860
Group 278: No price for ingredient 1861
Group 278: No price for ingredient 1862
Group 278: No price for ingredient 1863
Group 278: No price for ingredient 1864
Group 278: No price for ingredient 1865
Group 278: No price for ingredient 1866
Group 278: No price for ingredient 1867
Group 278: No price for ingredient 1868
Group 278: No price for ingredient 1869
Group 278: No price for ingredient 1870
Group 279: No price for ingredient 1875
Group 279: No price for ingredient 1876
Group 279: No price for ingredient 1877
Group 279: No price for ingredient 1878
Group 280: No price for ingredient 1880
Group 280: No price for ingredient 1881
Group 281: No price for ingredient 1882
Group 282: No price for ingredient 1883
Group 282: No price for ingredient 1884
Group 282: No price for ingredient 1885
Group 282: No price for ingredient 1886
Group 283: No price for ingredient 1887
Group 283: No price for ingredient 1888
Group 284: No price for ingredient 1905
Group 284: No price for ingredient 1889
Group 284: No price for ingredient 1890
Group 284: No price for ingredient 1891
Group 285: No price for ingredient 1892
Group 286: No price for ingredient 1893
Group 287: No price for ingredient 1906
Group 287: No price for ingredient 1878
Group 288: No price for ingredient 1896
Group 289: No price for ingredient 1902
Group 289: No price for ingredient 1903
Group 289: No price for ingredient 1851
Group 289: No price for ingredient 1862
Group 289: No price for ingredient 1866
Group 289: No price for ingredient 1898
Group 289: No price for ingredient 1899
Group 289: No price for ingredient 1900
Group 289: No price for ingredient 1901
Group 290: No price for ingredient 1903
Group 290: No price for ingredient 1862
Group 290: No price for ingredient 1866
Group 290: No price for ingredient 1898
Group 290: No price for ingredient 1899
Group 290: No price for ingredient 1900
Group 291: No price for ingredient 1903
Group 291: No price for ingredient 1904
Group 291: No price for ingredient 1862
Group 291: No price for ingredient 1866
Group 291: No price for ingredient 1898
Group 291: No price for ingredient 1899
Group 291: No price for ingredient 1900
Group 292: No price for ingredient 1862
Group 292: No price for ingredient 1866
Group 292: No price for ingredient 1898
Group 292: No price for ingredient 1899
Group 292: No price for ingredient 1900
Group 293: No price for ingredient 1927
Group 293: No price for ingredient 1928
Group 293: No price for ingredient 1929
Group 293: No price for ingredient 1930
Group 294: No price for ingredient 1907
Group 294: No price for ingredient 1908
Group 294: No price for ingredient 1909
Group 294: No price for ingredient 1910
Group 294: No price for ingredient 1911
Group 294: No price for ingredient 1912
Group 294: No price for ingredient 1913
Group 294: No price for ingredient 1914
Group 294: No price for ingredient 1915
Group 294: No price for ingredient 1916
Group 294: No price for ingredient 1917
Group 294: No price for ingredient 1918
Group 294: No price for ingredient 1919
Group 294: No price for ingredient 1920
Group 294: No price for ingredient 1921
Group 294: No price for ingredient 1922
Group 294: No price for ingredient 1923
Group 294: No price for ingredient 1924
Group 294: No price for ingredient 1925
Group 294: No price for ingredient 1926
Group 295: No price for ingredient 1931
Group 295: No price for ingredient 1932
Group 295: No price for ingredient 1933
Group 295: No price for ingredient 1934
Group 296: No price for ingredient 1936
Group 296: No price for ingredient 1937
Group 297: No price for ingredient 1938
Group 298: No price for ingredient 1939
Group 298: No price for ingredient 1940
Group 298: No price for ingredient 1941
Group 298: No price for ingredient 1942
Group 299: No price for ingredient 1943
Group 299: No price for ingredient 1944
Group 300: No price for ingredient 1961
Group 300: No price for ingredient 1945
Group 300: No price for ingredient 1946
Group 300: No price for ingredient 1947
Group 301: No price for ingredient 1948
Group 302: No price for ingredient 1949
Group 303: No price for ingredient 1962
Group 303: No price for ingredient 1934
Group 304: No price for ingredient 1952
Group 305: No price for ingredient 1958
Group 305: No price for ingredient 1959
Group 305: No price for ingredient 1907
Group 305: No price for ingredient 1918
Group 305: No price for ingredient 1922
Group 305: No price for ingredient 1954
Group 305: No price for ingredient 1955
Group 305: No price for ingredient 1956
Group 305: No price for ingredient 1957
Group 306: No price for ingredient 1959
Group 306: No price for ingredient 1918
Group 306: No price for ingredient 1922
Group 306: No price for ingredient 1954
Group 306: No price for ingredient 1955
Group 306: No price for ingredient 1956
Group 307: No price for ingredient 1959
Group 307: No price for ingredient 1960
Group 307: No price for ingredient 1918
