id,name,type,course,dish,restaurant,lang,useincombo,isglobal
1,ci,ci,56,0,32,en,N,N
3,Pizza Ingrediants,ci,193,0,48,en,N,N
4,Breads,br,193,0,48,en,N,N
5,Wings sauces,sa,213,0,48,en,N,N
6,Donair sauce,sa,216,0,48,en,N,N
7,Create Your Own,ci,207,0,48,en,N,N
8,Extra cheese,e,207,0,48,en,N,N
9,Chris dressing,dr,56,0,32,en,N,N
12,dips,sa,0,0,47,en,N,N
13,drinks,d,0,0,47,en,N,N
14,wings 2,sa,218,0,48,en,N,N
15,Drinks 1,d,0,0,32,en,N,N
16,Drinks 2,d,0,0,32,en,N,N
17,drinks,d,0,0,48,en,N,N
19,Drink cans combo,d,0,0,51,en,N,N
20,breads,br,0,0,51,en,N,N
21,dressings,dr,0,0,51,en,N,N
22,salad extras,e,0,0,51,en,N,N
23,salad ingrediants,ci,0,0,51,en,N,N
24,pita combo extras,e,0,0,51,en,N,N
25,Pita ingrediants,ci,0,0,51,en,N,N
26,ci2,ci,0,0,32,en,N,N
27,Sandwich Ingrediants,ci,0,0,53,en,N,N
28,Sauces Sandwich,sa,0,0,53,en,N,N
29,drinks,d,0,0,53,en,N,N
31,Fries and Salad,e,0,0,53,en,N,N
32,Pizza Ing.,ci,0,0,54,en,N,N
33,Sauce Wings,sa,268,0,54,en,N,N
34,Dressings salad,dr,273,0,54,en,N,N
35,Pizza Crust,br,0,0,54,en,N,N
36,Canned Drinks,d,0,0,54,en,N,N
37,Pizza Ing.,ci,0,0,55,en,N,N
38,Wings sauce,sa,0,0,55,en,N,N
39,Donair Sauce,sa,0,0,55,en,N,N
40,crust,br,0,0,55,en,N,N
41,Can pop,d,0,0,55,en,N,N
44,extra meat,e,0,0,55,en,N,N
45,dressings,dr,0,0,55,en,N,N
46,Wings,sa,0,0,56,en,N,N
47,Salads,dr,0,0,56,en,N,N
48,Spaghetti,e,0,0,56,en,N,N
49,Fettuccini,e,0,0,56,en,N,N
50,Gabe spaghetti,e,0,0,56,en,N,N
51,pop 591 ml,d,0,0,56,en,N,N
52,pop can,d,0,0,56,en,N,N
53,pop 2 litre,d,0,0,56,en,N,N
54,juice,d,0,0,56,en,N,N
55,Pizza Ing.,ci,0,0,56,en,N,N
56,pizza dips,sa,0,0,56,en,N,N
57,crust,br,0,0,56,en,N,N
58,Cheese Bacon ,e,0,0,56,en,N,N
59,Donair ,sa,0,0,56,en,N,N
60,add cheese,e,0,0,56,en,N,N
61,Chicken,e,0,0,56,en,N,N
62,crust no med glut,br,0,0,56,en,N,N
63,side salads,e,0,0,57,en,N,N
64,salad dressings,dr,0,0,58,en,N,N
65,burger ingredients,ci,0,0,58,en,N,N
66,burger sides,sd,0,0,58,en,N,N
67,burger pattys,e,0,0,58,en,N,N
68,Poutine cheese ,e,0,0,58,en,N,N
69,Sandwich Sides&footlong,sd,0,0,58,en,N,N
70,lunch beverages,d,0,0,59,en,N,N
71,lunch extras,e,0,0,59,en,N,N
72,test,d,263,0,54,en,N,N
73,nachos,e,0,0,59,en,N,N
75,pizza top,ci,0,0,60,en,N,N
76,cooking,cm,0,0,60,en,N,N
77,salad extras,e,0,0,61,en,N,N
78,vermicelli dish & roll your own,ci,0,0,61,en,N,N
79,rice dish,ci,0,0,61,en,N,N
80,pho,ci,0,0,61,en,N,N
81,noodles,br,0,0,61,en,N,N
82,wok rice and noodle,br,0,0,61,en,N,N
83,sauce,sa,0,0,61,en,N,N
84,HU TIEU Chicken noodle soup,ci,0,0,61,en,N,N
85,wok meats,ci,0,0,61,en,N,N
86,wok spice 0-10,sa,0,0,61,en,N,N
87,totilla,br,0,0,61,en,N,N
88,sides,sd,0,0,61,en,N,N
90,Bruschetta,ci,0,0,62,en,N,N
91,Crostini,ci,0,0,62,en,N,N
92,pop pepsi os d pepsi 2l,d,0,0,56,en,N,N
93,pop cans,d,0,0,65,en,N,N
94,Shawarma sauce,sa,0,0,65,en,N,N
95,Combo 1 side,sd,0,0,65,en,N,N
96,Plate sauce,sa,0,0,65,en,N,N
97,green or tabouleh,sd,0,0,65,en,N,N
99,rice potato,e,0,0,65,en,N,N
100,Sandwich Shawarma,e,0,0,65,en,N,N
101,donair sauce,sa,0,0,65,en,N,N
102,fries or spicy potatos,sd,0,0,65,en,N,N
103,pop bottle,d,0,0,65,en,N,N
104,wings sauce,sa,0,0,65,en,N,N
105,dressings,dr,0,0,67,en,N,N
106,wing sauce,sa,0,0,67,en,N,N
107,pizza toppings,ci,0,0,67,en,N,N
108,crust,br,0,0,67,en,N,N
109,Sand Sides Fries Orings,sd,0,0,67,en,N,N
110,extra skewer,e,0,0,68,en,N,N
111,pop,d,0,0,68,en,N,N
112,sandwiche,sd,0,0,68,en,N,N
113,topping,ci,0,0,69,en,N,N
116,wing sauce,sa,0,0,69,en,N,N
117,Cheo Pizza,sd,0,0,56,en,N,N
118,cheese or meatballs,e,0,0,56,en,N,N
119,anchovie,ci,0,0,60,en,N,N
120,anchovie 2,e,0,0,60,en,N,N
122,Crust,br,0,0,71,en,N,N
123,Pizza Sauce,sa,0,0,71,en,N,N
124,Pizza Toppings,ci,0,0,71,en,N,N
125,Garlic strips extras,e,0,0,71,en,N,N
126,dipping sauce,sa,0,0,71,en,N,N
128,drizzle of sauce,sa,0,0,71,en,N,N
129,dipping cup,sa,0,0,71,en,N,N
130,BBQ chicken sauce,ci,0,0,71,en,N,N
131,shawarma pizza,ci,0,0,71,en,N,N
132,Bacon cheeseburger pizza,dr,0,0,71,en,N,N
133,beef or chicken,ci,0,0,71,en,N,N
134,mild or hot,sa,0,0,71,en,N,N
135,burger toppings,ci,0,0,71,en,N,N
136,bacon or cheese,e,0,0,71,en,N,N
137,Burger side,sd,0,0,71,en,N,N
138,salad toppings,ci,0,0,71,en,N,N
139,shawarma sauce,sa,0,0,71,en,N,N
140,chow mein,e,0,0,72,en,N,N
141,dragon roll,ci,0,0,73,en,N,N
142,noodle type,br,0,0,73,en,N,N
143,pizza toppings,ci,0,0,74,en,N,N
144,pizza dips,sa,0,0,74,en,N,N
145,wing sauces,sa,0,0,74,en,N,N
146,Pizza Toppings,ci,0,0,75,en,N,N
147,Pizza toppings( items ),ci,0,0,75,en,N,N
148,wings sauce,sa,0,0,75,en,N,N
149,Pizza Toppings,ci,0,0,77,en,N,N
150,Pizza Dip,sa,0,0,77,en,N,N
151,Bread,br,0,0,77,en,N,N
152,Can Drinks,d,0,0,77,en,N,N
153,Wings Sauce,sa,0,0,77,en,N,N
154,Poutine Cheese,ci,0,0,77,en,N,N
155,Salad Dressing,dr,0,0,77,en,N,N
156,2L pop,d,0,0,77,en,N,N
157,Pizza Topings,ci,0,0,78,en,N,N
158,Pizza sauce,sa,0,0,78,en,N,N
160,b or g olives,br,0,0,78,en,N,N
161,Dressings,dr,0,0,78,en,N,N
162,Pizza,ci,0,0,80,en,N,N
164,Pizza Crust,br,0,0,81,en,N,N
165,wings sauce,sa,0,0,81,en,N,N
167,extra cheese,e,0,0,81,en,N,N
