"id","restaurant","availableFor","name","price","lang","type","order"
159,0,"","White","0","en","br","0"
160,0,"","Whole Wheat","0","en","br","0"
161,0,"","Italian","0","en","dr","0"
162,0,"","Italian Light","0","en","dr","0"
163,0,"","Ranch","0","en","dr","0"
164,0,"","Thousand Islands","0","en","dr","0"
165,0,"","Pita Pit's Special Greek","0","en","dr","0"
166,0,"","French","0","en","dr","0"
167,0,"","Caesar Light","0","en","dr","0"
177,0,"","Dressing","0","en","dr","0"
178,0,"","Honey Garlic Sauce","0","en","dr","0"
179,0,"","Hot Sauce","0","en","dr","0"
180,0,"","Medium Sauce","0","en","dr","0"
181,0,"","Mild Sauce","0","en","dr","0"
182,0,"","Suicide Sauce","0","en","dr","0"
183,0,"","Garlic","0","en","dr","0"
184,0,"","Hummas","0","en","dr","0"
185,0,"","Sweet","0","en","dr","0"
1182,72,"","Hot Sauce","0.00","en","ci","0"
1183,72,"","Chow Mein","0.25","en","ex","0"
1184,72,"","Chicken","2.25","en","ex","0"
1185,73,"0","Salmon","0.00","en","ci","0"
1186,73,"0","Tuna","0.00","en","ci","0"
1187,73,"0","Avocado","0.00","en","ci","0"
1188,73,"0","Eel","0.00","en","ci","0"
1189,73,"","Thick Noodle","0.00","en","br","0"
1190,73,"","Thin Noodle","0.00","en","br","0"
1359,81,"0","Mushrooms","1.00,1.50,2.00","en","ci","0"
1360,81,"0","Green Peppers","1.00,1.50,2.00","en","ci","0"
1361,81,"0","Onions","1.00,1.50,2.00","en","ci","0"
1362,81,"0","Black olives","1.00,1.50,2.00","en","ci","0"
1363,81,"0","Green olives","1.00,1.50,2.00","en","ci","0"
1364,81,"0","Hot Peppers","1.00,1.50,2.00","en","ci","0"
1365,81,"0","Zucchini","1.00,1.50,2.00","en","ci","0"
1366,81,"0","Sliced Tomatoes","1.00,1.50,2.00","en","ci","0"
1367,81,"0","Pineapple","1.00,1.50,2.00","en","ci","0"
1368,81,"0","Italian Sausage","1.00,1.50,2.00","en","ci","0"
1369,81,"0","Salami","1.00,1.50,2.00","en","ci","0"
1370,81,"0","Bacon","1.00,1.50,2.00","en","ci","0"
1371,81,"0","Ham","1.00,1.50,2.00","en","ci","0"
1372,81,"0","Donair Meat","1.00,1.50,2.00","en","ci","0"
1373,81,"0","Shrimp","1.00,1.50,2.00","en","ci","0"
1374,81,"0","Chicken","1.00,1.50,2.00","en","ci","0"
1375,81,"0","Ground Beef","1.00,1.50,2.00","en","ci","0"
1376,81,"0","Anchovies","1.00,1.50,2.00","en","ci","0"
1377,81,"0","Parmesan cheese","1.00,1.50,2.00","en","ci","0"
1378,81,"0","Extra Cheese","1.50,2.00,2.50","en","ci","0"
1379,81,"","Thin Crust","0.00","en","br","0"
1380,81,"","Thick Crust","0.00","en","br","0"
1381,81,"","Mild","0.00","en","sa","0"
1382,81,"","Medium","0.00","en","sa","0"
1383,81,"","Hot","0.00","en","sa","0"
1384,81,"","Honey Garlic","0.00","en","sa","0"
1385,81,"","Extra Cheese","2.00,3.00,4.00","en","ex","0"
1386,81,"","Marinara","1.00","en","sa","0"
1387,81,"","Cheddar","1.00","en","sa","0"
1388,81,"","Creamy Garlic","0.00","en","sa","0"
1389,81,"","Garlic Sauce","0.00","en","sa","0"
1390,81,"","Sweet and Sour Sauce","0.00","en","sa","0"
1391,81,"","Hot Sauce","0.00","en","sa","0"
1395,82,"","Coke can","0.00","en","dk","0"
1396,82,"","Diet Coke can","0.00","en","dk","0"
1397,82,"","Sprite Can","0.00","en","dk","0"
1398,82,"","Dr. Pepper Can","0.00","en","dk","0"
1399,82,"","Diet Dr. Pepper","0.00","en","dk","0"
1400,82,"0","Lettuce","0.00","en","ci","1"
1401,82,"0","Tomato","0.00","en","ci","2"
1402,82,"0","Pickle","0.00","en","ci","3"
1403,82,"0","Turnip","0.00","en","ci","4"
1404,82,"0","Onion","0.00","en","ci","5"
1405,82,"0","Hot Peppers","0.00","en","ci","6"
1406,82,"","Light Garlic Sauce","0.00","en","sa","0"
1407,82,"","Strong Garlic sauce","0.00","en","sa","0"
1408,82,"","Sweet Sauce","0.00","en","sa","0"
1409,82,"","House Dressing","0.00","en","sa","0"
1410,82,"","Tahini","0.00","en","sa","0"
1411,82,"0","All Dressed","0.00","en","ci","0"
1413,73,"","Sushi Winter","0.00","en","br","0"
1471,87,"","Grilled Chicken","3.50","en","ex","37"
1472,87,"","Grilled Beef","3.50","en","ex","38"
1473,87,"","Grilled Pork","3.50","en","ex","39"
1475,87,"","Grilled Shrimp","4.00","en","ex","40"
1476,87,"","Rice","1.50","en","ex","41"
1477,87,"","Vermicelli","1.50","en","ex","42"
1478,87,"","Rare Beef","3.00","en","ex","43"
1479,87,"","Tender Brisket","3.00","en","ex","44"
1480,87,"","Beef Tendon","3.00","en","ex","45"
1481,87,"","Beef Balls","3.00","en","ex","46"
1482,87,"","BBQ Pork","3.50","en","ex","47"
1483,87,"","Shrimp","4.00","en","ex","48"
1485,87,,"Coke","0.00","en","dk","0"
1486,87,,"Diet Coke","0.00","en","dk","1"
1487,87,,"Pepsi","0.00","en","dk","2"
1488,87,,"Gingerale","0.00","en","dk","4"
1489,87,,"Sprite","0.00","en","dk","5"
1490,87,,"7UP","0.00","en","dk","6"
1491,87,,"Orange Crush","0.00","en","dk","7"
1492,87,,"Diet Pepsi","0.00","en","dk","3"
1493,87,"","Egg Noodle","1.50","en","ex","35"
1494,87,"","Seafood","3.00","en","ex","36"
1495,87,,"(64) Coke","0.00","en","dk",
1496,87,,"(64) Diet Coke","0.00","en","dk",
1497,87,,"(64) Pepsi","0.00","en","dk",
1498,87,,"(64) Diet Pepsi","0.00","en","dk",
1499,87,,"(64) Gingerale","0.00","en","dk",
1500,87,,"(64) Sprite","0.00","en","dk",
1501,87,,"(64) 7UP","0.00","en","dk",
1502,87,,"(64) Orange Crush","0.00","en","dk",
1503,89,,"Gluten Free thin crust med.","5.25","en","br","6"
1504,89,,"Regular Crust","0.00","en","br","2"
1505,89,,"Thin Crust","0.00","en","br","3"
1507,89,,"Coke","0.00","en","dk",
1508,89,,"Diet Coke","0.00","en","dk",
1509,89,,"Pepsi ","0.00","en","dk",
1510,89,,"D Pepsi","0.00","en","dk",
1511,89,,"Brisk Ice Tea","0.00","en","dk",
1512,89,,"Gingerale","0.00","en","dk",
1513,89,,"Dr. Pepper","0.00","en","dk",
1514,89,,"Mountain Dew","0.00","en","dk",
1515,89,,"Orange Crush","0.00","en","dk",
1516,89,,"Cream Soda","0.00","en","dk",
1517,89,,"Grape Crush","0.00","en","dk",
1518,89,"0","Ground Beef","1.65,3.25,4.05,5.05","en","ci","35"
1519,89,"0","Hot Sausage","1.65,3.25,4.05,5.05","en","ci","36"
1520,89,"0","Ham","1.65,3.25,4.05,5.05","en","ci","37"
1521,89,"0","Salami","1.65,3.25,4.05,5.05","en","ci","38"
1522,89,"0","Bacon Strips","1.95,3.55,4.25,5.75","en","ci","58"
1523,89,"0","Pepperoni","1.65,3.25,4.05,5.05","en","ci","39"
1525,89,"0","Donair Meat","1.65,3.25,4.05,5.05","en","ci","40"
1526,89,"0","Meatballs","1.65,3.25,4.05,5.05","en","ci","41"
1527,89,"0","Roast Beef","1.65,3.25,4.05,5.05","en","ci","42"
1528,89,"0","Smoked Meat","1.65,3.25,4.05,5.05","en","ci","43"
1529,89,"0","Anchovies","1.65,3.25,4.05,5.05","en","ci","44"
1530,89,"0","Green Peppers","1.65,3.25,4.05,5.05","en","ci","45"
1531,89,"0","Tomatoes","1.65,3.25,4.05,5.05","en","ci","46"
1532,89,"0","Onions","1.65,3.25,4.05,5.05","en","ci","47"
1533,89,"0","Hot Peppers","1.65,3.25,4.05,5.05","en","ci","48"
1534,89,"0","Mushrooms","1.65,3.25,4.05,5.05","en","ci","49"
1535,89,"0","Black Olives","1.65,3.25,4.05,5.05","en","ci","51"
1536,89,"0","Green Olives","1.65,3.25,4.05,5.05","en","ci","50"
1537,89,"0","Artichoke","1.65,3.25,4.05,5.05","en","ci","52"
1538,89,"0","Jalapenos","1.65,3.25,4.05,5.05","en","ci","53"
1539,89,"0","Pineapple","1.65,3.25,4.05,5.05","en","ci","54"
1540,89,"0","Garlic","1.65,3.25,4.05,5.05","en","ci","55"
1541,89,"0","Chicken Breast","1.95,3.55,4.25,5.75","en","ci","56"
1542,89,"0","Fajita Beef","1.95,3.55,4.25,5.75","en","ci","57"
1543,89,"0","Feta","2.25,4.25,5.25,7.25","en","ci","59"
1544,89,"0","Mozzarella","2.25,4.25,5.25,7.25","en","ci","60"
1545,89,"0","Brick Cheese","2.25,4.25,5.25,7.25","en","ci","61"
1546,89,,"Imilio's Homemade Sauce","0.00","en","sa","0"
1547,89,,"Mexican","0.00","en","sa","1"
1548,89,,"Homemade dressing","0.00","en","dr","3"
1549,89,,"Italian dressing","0.00","en","dr","4"
1550,89,,"French dressing","0.00","en","dr","5"
1551,89,,"No dressing","0.00","en","dr","0"
1553,89,"0","Extra Cheese","1.25,2.00","en","ci","25"
1554,89,"","Extra Chicken","3.00","en","ex",
1555,89,,"Fries","0.00","en","sd","0"
1556,89,,"Rice","0.00","en","sd","1"
1557,89,,"Soft Tortillas","0.00","en","br","0"
1558,89,,"Crispy Tortillas","0.00","en","br","1"
1559,89,"0","Chicken Fajitas","0.00","en","ci","27"
1560,89,"0","Beef Fajitas","0.00","en","ci","28"
1561,89,"0","Beef","0.00","en","ci","29"
1562,89,"0","Chicken","0.00","en","ci","30"
1563,89,,"Garlic Sauce","0.00","en","sa","2"
1564,89,,"Sweet and Sour Sauce","0.00","en","sa","3"
1565,89,,"Sweet Sauce","0.00","en","sa","4"
1566,89,"","Extra chicken skewer","0.00","en","ex",
1567,89,"","Extra pork skewer","0.00","en","ex",
1568,89,,"Plum Sauce","0.00","en","sa","5"
1569,89,,"Medium","0.00","en","sa","6"
1570,89,,"Mild","0.00","en","sa","7"
1571,89,,"Hot","0.00","en","sa","8"
1572,89,,"Honey Garlic","0.00","en","sa","9"
1573,89,,"Suicide","0.00","en","sa","10"
1574,89,,"No Sauce","0.00","en","sa","14"
1575,89,,"Sour Cream","0.00","en","sa","11"
1576,89,,"Salsa","0.00","en","sa","12"
1577,89,,"Pizza Sauce","0.00","en","sa","13"
1578,89,,"7Up","0.00","en","dk",
1579,89,,"Root Beer","0.00","en","dk",
1580,90,,"Bacon","0.00","en","ci",
1581,90,"","Chow Mein","0.25","en","ex",
1582,90,,"Garlic","0.00","en","ci",
1583,87,"","Beef","3.00","en","ex","3"
1584,87,"","Egg Quiche","1.50","en","ex","4"
1585,87,"","Chicken","3.00","en","ex","5"
1586,87,"","Fried Egg","1.50","en","ex","6"
1587,87,"","Noodles","1.50","en","ex","7"
1588,87,"","Pork Chop","3.00","en","ex","8"
1589,87,"","Quail Egg","1.50","en","ex","9"
1590,87,"","Shredded Pork","3.00","en","ex","10"
1591,87,"","Shrimp Cake","1.50","en","ex","11"
1592,87,"","Tofu","1.50","en","ex","12"
1593,87,"","Veggie","3.00","en","ex","13"
1594,87,"","Wonton","3.00","en","ex","14"
1595,89,"0","Lettuce","0.00","en","ci","31"
1596,89,"0","Pickle","0.00","en","ci","32"
1597,89,"0","Ketchup","0.00","en","ci","33"
1598,89,"0","Mustard","0.00","en","ci","34"
1599,89,"0","Plain","0.00","en","ci","26"
1600,89,"0","All dressed","0.00","en","ci","23"
1601,90,,"Sweet and Sour Sauce","1.50","en","sa",
1602,90,,"Garlic Sauce","1.50","en","sa",
1603,90,,"Almond Sauce","1.50","en","sa",
1604,90,,"Pineapple Sauce","1.50","en","sa",
1605,90,,"Plum Sauce","1.50","en","sa",
1606,90,,"Lemon Sauce","1.50","en","sa",
1607,90,,"Plain","0.00","en","ci",
1608,91,,"Black Bean Sauce","0.00","en","sa",
1609,91,,"Garlic Sauce","0.00","en","sa",
1610,91,,"Oyster Sauce","0.00","en","sa",
1611,91,,"Peanut Sauce","0.00","en","sa",
1612,91,,"Sweet and Sour Sauce","0.00","en","sa",
1613,91,,"Crispy Dry Noodles","0.00","en","sd",
1614,91,"0","Pineapple","0.00","en","ci",
1615,92,,"Whole Grain Regular ","0.00","en","br",
1616,92,,"Whole Grain Thin ","0.00","en","br",
1617,92,,"White  Regular ","0.00","en","br",
1618,92,,"White  Thin","0.00","en","br",
1619,92,"0","Mushrooms","0.00","en","ci","17"
1620,92,"0","Hot banana peppers","0.00","en","ci","18"
1621,92,"0","Chopped Garlic","0.00","en","ci","19"
1622,92,"0","Butter Garlic","0.00","en","ci","20"
1623,92,"0","Green Peppers","0.00","en","ci","21"
1624,92,"0","Tomatoes","0.00","en","ci","22"
1625,92,"0","Red Onion","0.00","en","ci","23"
1626,92,"0","White Onion","0.00","en","ci","24"
1627,92,"0","Pineapple","0.00","en","ci","25"
