id,course,restaurant,sku,name,ingredients,price,order,quantity,hascustomisation,ciheader,minci,maxci,freeci,displayorderci,hassidedish,sidedishheader,minsd,maxsd,freesd,displayordersd,hasdrinks,drinksheader,mindrink,maxdrink,freedrink,displayorderdrink,hasextras,extraheader,minextras,maxextras,freeextra,displayorderextras,issidedish,showsdinmenu,isdrink,hasbread,breadheader,displayorderbread,hasdressing,dressingheader,mindressing,maxdressing,freedressing,displayorderdressing,hassauce,sauceheader,minsauce,maxsauce,freesauce,displayordersauce,hascookmethod,cmheader,mincm,maxcm,freecm,displayordercm,iscombo,usesteps,mincombo,maxcombo,displayordercombo,menutype,image,lang,showinmenu,showpizzaicons,checkoutitems,upsell
15,47,25,,Tuna Wrap,"Light tuna with black olives, green onions,red peppers and mayo,romain lettuce and tomatoes in a who",$4.99,0,,N,,0,0,0,2,N,,0,0,0,5,N,,0,0,0,6,N,,0,0,0,7,,N,,N,,1,N,,0,0,0,3,N,,0,0,0,4,N,,0,1,0,0,N,Y,0,0,8,,,en,Y,N,N,n
16,47,25,,Chicken Avocado Wrap,"Fajita strips with guacamoli, swiss cheese, romain lettuce and tomatoe in a spinach wrap.",$4.99,0,,N,,0,0,0,2,N,,0,0,0,5,N,,0,0,0,6,N,,0,0,0,7,N,N,N,N,,1,N,,0,0,0,3,N,,0,0,0,4,N,,0,1,0,0,N,Y,0,0,8,,,en,Y,N,N,n
18,50,25,,Thai Pasta Salad,"Fusili tricolore,with fresh vegies, and a sesamee thai dressing",28.50,0,,N,,0,0,0,2,N,,0,0,0,5,N,,0,0,0,6,N,,0,0,0,7,,N,,N,,1,N,,0,0,0,3,N,,0,0,0,4,N,,0,1,0,0,N,Y,0,0,8,,,en,Y,N,N,n
19,50,25,,Mixed bean salad,Mixed Beans with peppers and red onion tossed in olive oil and lemon juice.,28.50,0,,N,,0,0,0,2,N,,0,0,0,5,N,,0,0,0,6,N,,0,0,0,7,,N,,N,,1,N,,0,0,0,3,N,,0,0,0,4,N,,0,1,0,0,N,Y,0,0,8,,,en,Y,N,N,n
20,47,25,,Club Wrap,"Chiken Fajita strips with bacon lettuce, tomato, and a hint of mayo.",4.99,0,,N,,0,0,0,2,N,,0,0,0,5,N,,0,0,0,6,N,,0,0,0,7,,N,,N,,1,N,,0,0,0,3,N,,0,0,0,4,N,,0,1,0,0,N,Y,0,0,8,,,en,Y,N,N,n
21,52,25,,Filter Coffee Classic,Gourmet filtered coffee.Classic mild blend.,13.50,0,10,N,,0,0,0,2,N,,0,0,0,5,N,,0,0,0,6,N,,0,0,0,7,N,N,N,N,,1,N,,0,0,0,3,N,,0,0,0,4,N,,0,1,0,0,N,Y,0,0,8,,,en,Y,N,N,n
22,52,25,,Filtered Coffee Imperial,Gourmet filtered coffee. Dark French roast.,13.50,0,10,N,,0,0,0,2,N,,0,0,0,5,N,,0,0,0,6,N,,0,0,0,7,N,N,N,N,,1,N,,0,0,0,3,N,,0,0,0,4,N,,0,1,0,0,N,Y,0,0,8,,,en,Y,N,N,n
248,0,0,,,,,0,,N,,0,0,0,2,N,,0,0,0,5,N,,0,0,0,6,N,,0,0,0,7,N,N,N,N,,1,N,,0,0,0,3,N,,0,0,0,4,N,,0,1,0,0,N,Y,0,0,8,,,,Y,N,N,n
2364,467,72,,Combination No.1,"Egg Roll, Chicken Fried Rice, Sweet and Sour Chicken Balls, Chicken Chop Suey",10.70,0,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
2365,467,72,,Combination No.2,"Egg Roll, Chicken Fried Rice, Garlic Spare Ribs, Chicken Chop Suey",10.70,0,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
2366,467,72,,Combination No.3,"Egg Roll, Chicken Fried Rice, Almond Guy Ding, Sweet and Sour Chicken Balls",10.70,0,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
2367,467,72,,Combination No.4,"Egg Roll, Chicken Fried Rice, Garlic Spare Ribs, Sweet and Sour Chicken Balls",10.70,0,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
2368,467,72,,Combination No.5,"Egg Roll, Chicken Fried Rice, Chicken Chop Suey, Pineapple Chicken Balls",10.70,0,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
2369,467,72,,Combination No.6,"Egg Roll, Chicken Fried Rice, Almond Guy Ding, Garlic Spare Ribs",10.70,0,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
2370,466,72,,Dinner for Two - A,"2 Egg rolls, Sweet and Sour Chicken Balls, Chicken Chow Mein, Chicken Fried Rice",28.65,1,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
2371,466,72,,Dinner for Two - B,"2 Egg Rolls, Garlic Spare Ribs, Chicken Chow Mein, Chicken Fried Rice",28.65,2,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
2372,466,72,,Dinner for Three.,"3 Egg Rolls, Moo Goo Guy Pan, Chicken Chow Mein, Garlic Spare Ribs, Chicken Fried Rice, Almond Cooki",38.95,3,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
2373,466,72,,Dinner for Four,"4 Egg Rolls, Almond Guy Ding, Garlic Spare Ribs, Sweet and Sour Chicken Balls, Chicken Fried Rice, A",47.10,4,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
2374,466,72,,Dinner for Five,"5 Egg Rolls, Moo Goo Guy Kew, Garlic Spare Ribs, Breaded Shrimps, Chicken Chow Mein, 2 Chicken Fried",60.00,5,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
2375,466,72,,Dinner for Six,"6 Egg Rolls, Sweet and Sour Chicken Balls, Almond Chicken Soo Guy, Shrimp Almond Guy Ding, Beef Chow",71.10,6,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
2376,451,72,,Almond/Cookies,,0.70,0,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
2377,451,72,,Egg Roll,,1.40,0,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
2378,451,72,,Dozen Egg Roll Special,,14.00,0,,N,Custom Ingredients,0,0,0,2,N,Side Dish,1,1,0,5,N,Drinks,1,1,0,6,N,Extras,1,1,0,7,N,N,N,N,Bread Selection,1,N,Dressing,1,1,0,3,N,Sauces,1,1,0,4,N,Cooking Method,0,1,0,8,N,Y,0,0,8,,,en,Y,N,N,n
