id,availability_schedule
6115,"{""available_days"": [""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
6116,"{""available_days"": [""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
6187,"{""available_days"": [""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
6275,"{""available_days"": [""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
6276,"{""available_days"": [""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
6301,"{""available_days"": [""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
8490,"{""available_days"": [""tuesday"", ""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
10014,"{""available_days"": [""wednesday"", ""thursday"", ""friday"", ""saturday""], ""source"": ""v1_hideOnDays""}"
10015,"{""available_days"": [""wednesday"", ""thursday"", ""friday"", ""saturday""], ""source"": ""v1_hideOnDays""}"
10315,"{""available_days"": [""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
10316,"{""available_days"": [""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
10317,"{""available_days"": [""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
11031,"{""available_days"": [""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
11032,"{""available_days"": [""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
11033,"{""available_days"": [""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
16001,"{""available_days"": [""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
16002,"{""available_days"": [""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
16003,"{""available_days"": [""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
17861,"{""available_days"": [""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
17862,"{""available_days"": [""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
17863,"{""available_days"": [""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
17864,"{""available_days"": [""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
17935,"{""available_days"": [""tuesday"", ""wednesday"", ""thursday"", ""friday"", ""saturday""], ""source"": ""v1_hideOnDays""}"
20967,"{""available_days"": [""tuesday"", ""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
20968,"{""available_days"": [""monday"", ""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
20969,"{""available_days"": [""monday"", ""tuesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
20970,"{""available_days"": [""monday"", ""tuesday"", ""wednesday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
20971,"{""available_days"": [""monday"", ""tuesday"", ""wednesday"", ""thursday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
20972,"{""available_days"": [""monday"", ""tuesday"", ""wednesday"", ""thursday"", ""friday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
20973,"{""available_days"": [""monday"", ""tuesday"", ""wednesday"", ""thursday"", ""friday"", ""saturday""], ""source"": ""v1_hideOnDays""}"
21034,"{""available_days"": [""monday"", ""tuesday"", ""wednesday"", ""thursday""], ""source"": ""v1_hideOnDays""}"
21104,"{""available_days"": [""tuesday"", ""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
21524,"{""available_days"": [""monday"", ""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
23397,"{""available_days"": [""thursday"", ""friday"", ""saturday""], ""source"": ""v1_hideOnDays""}"
23398,"{""available_days"": [""thursday"", ""friday"", ""saturday""], ""source"": ""v1_hideOnDays""}"
23399,"{""available_days"": [""thursday"", ""friday"", ""saturday""], ""source"": ""v1_hideOnDays""}"
29319,"{""available_days"": [""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
29614,"{""available_days"": [""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
29821,"{""available_days"": [""tuesday"", ""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
30378,"{""available_days"": [""tuesday"", ""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
30800,"{""available_days"": [""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
32476,"{""available_days"": [""tuesday"", ""wednesday"", ""thursday"", ""friday"", ""saturday"", ""sunday""], ""source"": ""v1_hideOnDays""}"
33159,"{""available_days"": [""thursday"", ""friday"", ""saturday""], ""source"": ""v1_hideOnDays""}"
