combo_group_v2_id,dish_v2_id,step,suffix,display_order
45,973,1,0,0
45,974,1,0,1
55,973,1,0,0
55,974,1,0,1
55,900,2,,2
55,901,2,,3
56,917,1,0,0
56,918,1,0,1
56,919,1,0,2
56,920,1,0,3
56,921,1,0,4
56,922,1,0,5
56,923,1,0,6
56,924,1,0,7
56,925,1,0,8
56,926,1,0,9
56,927,1,0,10
56,928,1,0,11
56,917,2,0,12
56,918,2,0,13
56,919,2,0,14
56,920,2,0,15
56,921,2,0,16
56,922,2,0,17
56,923,2,0,18
56,924,2,0,19
56,925,2,0,20
56,926,2,0,21
56,927,2,0,22
56,928,2,0,23
57,936,1,0,0
57,937,1,0,1
57,938,1,0,2
57,939,1,0,3
57,940,1,0,4
57,941,1,0,5
57,942,1,0,6
57,943,1,0,7
57,944,1,0,8
57,945,1,0,9
57,946,1,0,10
57,947,1,0,11
58,915,1,0,0
58,916,1,0,1
58,917,1,0,2
58,918,1,0,3
58,919,1,0,4
58,920,1,0,5
58,921,1,0,6
58,922,1,0,7
58,923,1,0,8
58,924,1,0,9
58,925,1,0,10
58,926,1,0,11
58,927,1,0,12
58,928,1,0,13
67,1369,1,,0
75,1385,1,1,0
75,1386,1,1,1
75,1387,1,1,2
75,1388,1,1,3
75,1389,1,1,4
75,1390,1,1,5
75,1391,1,1,6
75,1392,1,1,7
75,1393,1,1,8
75,1394,1,1,9
75,1395,1,1,10
75,1396,1,1,11
75,1397,1,1,12
75,1398,1,1,13
75,1399,1,1,14
75,1385,2,1,15
75,1386,2,1,16
75,1387,2,1,17
75,1388,2,1,18
75,1389,2,1,19
75,1390,2,1,20
75,1391,2,1,21
75,1392,2,1,22
75,1393,2,1,23
75,1394,2,1,24
75,1395,2,1,25
75,1396,2,1,26
75,1397,2,1,27
75,1398,2,1,28
75,1399,2,1,29
84,2076,1,,0
84,2076,2,,1
90,2465,1,0,0
90,2466,1,0,1
90,2467,1,0,2
90,2468,1,0,3
90,2469,1,0,4
90,2470,1,0,5
90,2471,1,0,6
90,2472,1,0,7
91,2465,1,1,0
91,2466,1,1,1
91,2467,1,1,2
91,2468,1,1,3
91,2469,1,1,4
91,2470,1,1,5
91,2471,1,1,6
91,2472,1,1,7
92,2465,1,2,0
92,2466,1,2,1
92,2467,1,2,2
92,2468,1,2,3
92,2469,1,2,4
92,2470,1,2,5
92,2471,1,2,6
92,2472,1,2,7
109,7416,1,0,0
109,7432,1,,1
109,7433,1,,2
109,7435,1,1,3
109,7452,1,,4
109,7416,2,1,5
109,7432,2,,6
109,7433,2,,7
109,7435,2,1,8
109,7452,2,,9
124,7721,1,,0
124,7722,1,,1
124,7723,1,,2
124,7724,1,,3
124,7725,1,,4
124,7726,1,,5
124,7727,1,,6
124,7728,1,,7
124,7729,1,,8
124,7730,1,,9
124,7731,1,,10
124,7732,1,,11
124,7733,1,,12
124,7734,1,,13
124,7721,2,,14
124,7722,2,,15
124,7723,2,,16
124,7724,2,,17
124,7725,2,,18
124,7726,2,,19
124,7727,2,,20
124,7728,2,,21
124,7729,2,,22
124,7730,2,,23
124,7731,2,,24
124,7732,2,,25
124,7733,2,,26
124,7734,2,,27
125,7663,1,,0
125,7664,1,,1
125,7666,1,,2
125,7668,1,,3
125,7670,1,,4
125,7663,2,,5
125,7664,2,,6
125,7666,2,,7
125,7668,2,,8
125,7670,2,,9
130,150,1,0,0
130,150,1,1,1
130,176,1,1,2
131,7838,1,0,0
132,7838,1,0,0
134,7916,1,0,0
139,8515,1,,0
140,8516,1,,0
141,8517,1,,0
142,8513,1,,0
142,8537,2,1,1
146,8513,1,,0
147,8514,1,,0
148,8515,1,,0
149,8516,1,,0
210,9552,1,,0
210,9553,1,,1
210,9554,1,,2
210,9555,1,,3
210,9556,1,,4
210,9557,1,,5
210,9552,2,,6
210,9553,2,,7
210,9554,2,,8
210,9555,2,,9
210,9556,2,,10
210,9557,2,,11
211,9552,1,,0
211,9553,1,,1
211,9554,1,,2
211,9555,1,,3
211,9556,1,,4
211,9557,1,,5
211,9552,2,,6
211,9553,2,,7
211,9554,2,,8
211,9555,2,,9
211,9556,2,,10
211,9557,2,,11
211,9552,3,,12
211,9553,3,,13
211,9554,3,,14
211,9555,3,,15
211,9556,3,,16
211,9557,3,,17
211,9552,4,,18
211,9553,4,,19
211,9554,4,,20
211,9555,4,,21
211,9556,4,,22
211,9557,4,,23
212,9574,1,,0
212,9576,1,,1
212,9578,1,,2
212,9580,1,,3
212,9582,1,,4
212,9574,2,,5
212,9576,2,,6
212,9578,2,,7
212,9580,2,,8
212,9582,2,,9
213,9574,1,,0
213,9576,1,,1
213,9578,1,,2
213,9580,1,,3
213,9582,1,,4
213,9574,2,,5
213,9576,2,,6
213,9578,2,,7
213,9580,2,,8
213,9582,2,,9
213,9574,3,,10
213,9576,3,,11
213,9578,3,,12
213,9580,3,,13
213,9582,3,,14
213,9574,4,,15
213,9576,4,,16
213,9578,4,,17
213,9580,4,,18
213,9582,4,,19
