id,restaurant_type,name,description,language_id,enabled,added_at,added_by,disabled_at,disabled_by
1,1,Appetizers,,1,y,2017-03-17 12:20:55,24,,
2,1,Wings,,1,y,2017-03-17 12:21:14,24,,
3,1,Southern Fried Chicken,,1,y,2017-03-17 12:21:26,24,,
4,1,Salads,,1,y,2017-03-17 12:21:31,24,,
5,1,Sandwiches,,1,y,2017-03-17 12:21:37,24,,
6,1,Shawarma,,1,y,2017-03-17 12:21:50,24,,
7,1,Hot Subs,,1,y,2017-03-17 12:21:58,24,,
8,1,Cold Subs,,1,y,2017-03-17 12:22:06,24,,
9,1,Donairs,,1,y,2017-03-17 12:22:14,24,,
10,1,Poutine,,1,y,2017-03-17 12:22:21,24,,
11,1,Pizza and Free 591ml Beverage,,1,y,2017-03-17 12:22:39,24,,
12,1,Gourmet Pizza and 591ml Beverage,,1,y,2017-03-17 12:22:53,24,,
13,1,Pasta,,1,y,2017-03-17 12:23:00,24,,
14,1,Platters,,1,y,2017-03-17 12:23:06,24,,
15,1,Shawarma Platters,,1,y,2017-03-17 12:23:17,24,,
16,1,Desserts,,1,y,2017-03-17 12:23:23,24,,
17,1,Drinks,,1,y,2017-03-17 12:23:29,24,,
18,2,indan course 1,,1,n,2021-01-26 15:37:36,24,2021-01-26 15:39:07,24
19,2,indan course 2,,1,n,2021-01-26 15:38:16,24,2021-01-26 15:39:36,24
20,2,test,,1,y,2021-01-26 15:44:40,1,,
21,2,kjhgf,,1,y,2021-01-26 15:44:51,1,,
22,3,test,,1,y,2021-01-26 15:50:28,40,,
23,2,indian 1,,1,y,2021-01-26 16:26:58,24,,
24,3,Appetizers,,1,y,2022-02-21 16:59:10,44,,
25,3,Soups,,1,y,2022-02-21 16:59:24,44,,
26,3,Fried Rice,,1,y,2022-02-21 16:59:30,44,,
27,3,Seafood,,1,y,2022-02-21 17:00:08,44,,
28,3,Chicken,,1,y,2022-02-21 17:00:28,44,,
29,3,Beef,,1,y,2022-02-21 17:00:40,44,,
30,3,Egg Foo Young,,1,y,2022-02-21 17:02:14,44,,
31,3,Side Orders,,1,y,2022-02-21 17:02:23,44,,
32,3,Family Dinners,,1,y,2022-02-21 17:02:33,44,,
33,3,Combination Plates,,1,y,2022-02-23 19:53:32,44,,
