"id","name","type","language_id","restaurant_type","enabled","added_by","added_at","disabled_by","disabled_at"
1,"  Mug Root Beer","drink",1,,"y",,,,
2," Gluten Free Spaghetti","crust",1,,"n",,,1,"2016-11-30 19:49:03"
3," Marinara","sauce",2,,"y",,,,
4," Real Maple Syrup","sauce",1,,"y",,,,
5," Smokey BBQ Sauce","sauce",1,,"y",,,,
6," Sweet Potato Poutine instead","extra",1,,"n",,,1,"2016-11-28 21:12:46"
7,"!!!Caesar Salad","side_dish",1,,"y",,,,
8,"(64) 7UP","drink",1,,"y",,,,
9,"(64) Coke","drink",1,,"y",,,,
10,"(64) Diet Coke","drink",1,,"y",,,,
11,"(64) Diet Pepsi","drink",1,,"y",,,,
12,"(64) Gingerale","drink",1,,"y",,,,
13,"(64) Orange Crush","drink",1,,"y",,,,
14,"(64) Pepsi","drink",1,,"y",,,,
15,"(64) Sprite","drink",1,,"y",,,,
16,"004. Deep Fried Shrimp Wonton (6)","sauce",1,,"y",,,,
17,"1 Moyenne Frite","side_dish",2,,"y",,,,
18,"1 Petit Frite","side_dish",2,,"y",,,,
19,"1 Platter","custom_ingredient",1,,"n",,,2,"2016-12-06 13:52:04"
20,"1 Roll","extra",1,,"y",,,,
21,"1 Souvlaki Pita avec Frites","custom_ingredient",2,,"y",,,,
22,"1 Spring Roll","custom_ingredient",1,,"n",,,2,"2016-12-06 13:52:05"
23,"1 Wing","extra",1,,"y",,,,
24,"1. Egg Roll","side_dish",1,,"y",,,,
25,"1.Spring Roll","side_dish",1,,"y",,,,
26,"1/2 Pickle","extra",1,,"y",,,,
27,"1/2 Rack of Ribs","extra",1,,"y",,,,
28,"1/4 lb Beer Battered Shrimp","side_dish",1,,"y",,,,
29,"1/4lb Beer Battered Shrimp","side_dish",1,,"y",,,,
30,"10 Ailes","custom_ingredient",2,,"y",,,,
31,"10 Ailes Aigre-Douce","custom_ingredient",2,,"y",,,,
32,"10 Ailes BarBQ","custom_ingredient",2,,"y",,,,
33,"10 Ailes BBQ","side_dish",2,,"y",,,,
34,"10 Ailes Black Jack - Teriyaki et BarBQ","custom_ingredient",2,,"y",,,,
35,"10 Ailes Buffalo","custom_ingredient",2,,"y",,,,
36,"10 Ailes Chiquita - Red Hot et Miel et Ail","custom_ingredient",2,,"y",,,,
37,"10 Ailes de Poulet avec Sauce Maison","custom_ingredient",2,,"y",,,,
38,"10 Ailes Épicé","custom_ingredient",2,,"y",,,,
39,"10 Ailes Marguerita - Ceasar et Parmesan","custom_ingredient",2,,"y",,,,
40,"10 Ailes Miel et Ail","custom_ingredient",2,,"y",,,,
41,"10 Ailes Noir et Blanc - Poivre et Sel","custom_ingredient",2,,"y",,,,
42,"10 Ailes Red Hot","custom_ingredient",2,,"y",,,,
43,"10 Ailes Suicide - Red Hot et Piment Cayenne","custom_ingredient",2,,"y",,,,
44,"10 Ailes Sweet Chili","custom_ingredient",2,,"y",,,,
45,"10 Ailes Teriyaki","custom_ingredient",2,,"y",,,,
46,"10 Ailes Texas Tequila - Buffalo et Ranch","custom_ingredient",2,,"y",,,,
47,"10 Ailes Tokyo - Sweet Chili et Teriyaki","custom_ingredient",2,,"y",,,,
48,"10 Ailes Whiskey Bar - Red Hot et Sauce à L’ail","custom_ingredient",2,,"y",,,,
49,"10 Boneless Wings","custom_ingredient",1,,"y",,,,
50,"10 Chicken Wings","custom_ingredient",1,,"y",,,,
51,"10 Crocquettes de Poulet avec Frites","custom_ingredient",2,,"y",,,,
52,"10 Wings - Blue Cheese","side_dish",1,,"y",,,,
53,"10 Wings - Honey Garlic","side_dish",1,,"y",,,,
54,"10 Wings - Hot","side_dish",1,,"y",,,,
55,"10 Wings - Medium","side_dish",1,,"y",,,,
56,"10 Wings - Mild","side_dish",1,,"y",,,,
57,"10. La Grecque","custom_ingredient",2,,"y",,,,
58,"100 gr","extra",1,,"y",,,,
59,"1000 Island","dressing",1,,"y",,,,
60,"1000's Islands","dressing",1,,"y",,,,
61,"10oz gravy","side_dish",1,,"y",,,,
62,"11. Wonton Soup","custom_ingredient",1,,"n",,,2,"2016-12-06 13:52:08"
63,"110. Beef","custom_ingredient",1,,"n",,,2,"2016-12-06 13:52:11"
64,"112. Beef","custom_ingredient",1,,"n",,,2,"2016-12-06 13:52:12"
65,"112.Naan","crust",2,,"y",,,,
