"id","restaurant_id","language_id","group_name","enabled","added_by","added_at","disabled_by","disabled_at"
7,1595,1,"group 1 - no dishes","y",1,"2018-06-29 03:35:17",,
8,1595,1,"group 2 - dishes","y",1,"2018-06-29 03:39:02",,
9,1595,1,"sauces","y",1,"2018-07-03 01:15:16",,
10,1597,1,"One Topping Pizza WRONG","n",24,"2019-05-01 07:59:37",1,"2019-05-07 11:15:23"
11,1597,1,"One Topping Pizza","y",24,"2019-05-01 08:01:32",,
12,1597,1,"Large Pizza 3 Toppings","y",24,"2019-05-01 08:30:57",,
13,1597,1,"Medium Pizza & Wings","y",24,"2019-05-02 06:07:41",,
40,1597,1,"123","n",1,"2019-05-07 10:08:34",1,"2019-05-07 11:13:52"
41,1603,1,"2 Spaghetti with Meat Sauce","y",24,"2020-01-13 13:28:27",,
42,1603,1,"2 Lasagna with Cheese","y",24,"2020-01-13 13:38:43",,
43,1603,1,"Our Perfect Combo Deals","y",24,"2020-01-23 07:27:02",,
44,1604,1,"Pizza & Wings Deal","y",24,"2020-04-21 08:46:01",,
45,1605,1,"Large Pizza 3 Toppings","y",24,"2020-09-04 06:57:37",,
55,1605,1,"2 Large Pizza 3 Toppings Each","y",24,"2020-09-11 08:48:45",,
56,1605,1,"Two 7\"" Subs","y",24,"2020-09-16 10:27:56",,
57,1605,1,"Combo 1 Pizza Customization","y",24,"2020-09-17 07:02:00",,
58,1605,1,"Combo 1 - Sub Selection","y",24,"2020-09-17 07:03:31",,
59,1605,1,"Medium Pizza 3 Toppings","y",24,"2020-09-25 11:05:05",,
60,1605,1,"Wings Sauces","y",24,"2020-09-25 11:07:12",,
61,1615,1,"Small Pizza 3 Toppings","n",40,"2022-01-10 15:39:10",40,"2022-01-21 06:41:33"
62,1615,1,"10 Wings","n",40,"2022-01-10 15:40:35",40,"2022-01-21 06:40:27"
63,1615,1,"12 Wings","n",44,"2022-01-18 12:51:49",40,"2022-01-21 06:40:34"
64,1615,1,"Medium Pizza 3 Toppings","n",44,"2022-01-18 12:57:56",40,"2022-01-21 06:41:28"
65,1615,1,"2 For 1 Special by G","n",40,"2022-01-18 13:09:12",40,"2022-01-21 06:40:44"
66,1615,1,"2 For 1 Special by Yanni","n",44,"2022-01-18 13:09:36",40,"2022-01-21 06:41:05"
67,1615,1,"2 Medium Pizza 3 Toppings","n",44,"2022-01-18 13:21:11",40,"2022-01-21 06:41:12"
68,1615,1,"Small Pizza 5 toppings","n",40,"2022-01-19 13:44:31",40,"2022-01-21 06:41:44"
69,1615,1,"Small Pizza 3 Toppings","y",40,"2022-01-21 06:43:17",,
70,1615,1,"Dips","y",40,"2022-01-21 06:44:11",,
71,1615,1,"Wings Sauces","y",40,"2022-01-21 06:44:56",,
72,1615,1,"Medium Pizza 3 Toppings","y",40,"2022-01-21 06:46:04",,
73,1615,1,"Large Pizza 3 Toppings","y",40,"2022-01-21 06:47:21",,
74,1615,1,"2-4-1 Special","y",40,"2022-01-21 06:56:55",,
75,1615,1,"2 Large Subs","y",40,"2022-01-21 07:35:58",,
76,1618,1,"Large Pizza 3 Toppings","y",44,"2022-01-21 11:10:34",,
77,1618,1,"Wing Sauces","y",44,"2022-01-21 11:28:53",,
78,1618,1,"4 Pop Cans","y",44,"2022-01-21 11:31:38",,
79,1618,1,"2 Large Pizzas 6 Toppings","y",44,"2022-01-21 11:38:15",,
80,1618,1,"2 Gyro Wraps","y",44,"2022-01-21 12:01:36",,
81,1618,1,"2 Pita Wraps","y",44,"2022-01-21 12:06:20",,
82,1618,1,"1 Large Salad","y",44,"2022-01-21 12:07:30",,
83,1618,1,"1 Gyro Wrap","n",44,"2022-01-21 12:11:32",44,"2022-01-21 12:12:49"
84,1618,1,"1 Gyro Wrap","y",44,"2022-01-21 12:12:18",,
85,1621,1,"Large Pizza 3 Toppings","y",44,"2022-01-28 14:37:33",,
86,1621,1,"15 Wings","y",44,"2022-01-28 14:39:33",,
87,1621,1,"Large Chef Salad or Fries","y",44,"2022-01-28 14:40:32",,
88,1621,1,"2 Large Pizzas 3 Toppings","y",44,"2022-01-28 15:49:29",,
89,1621,1,"20 Wings","y",44,"2022-01-28 15:50:21",,
90,1622,1,"Pizza 1 a 8 choix Petite","y",44,"2022-02-02 14:09:44",,
91,1622,1,"Pizza 1 a 8 choix Moyenne","y",44,"2022-02-02 15:14:02",,
92,1622,1,"Pizza 1 a 8 choix Grande","y",44,"2022-02-02 15:15:07",,
93,1622,1,"Ailes","y",44,"2022-02-02 15:17:01",,
94,1632,1,"1 Topping 2 for 1 pizza","y",44,"2022-03-25 14:30:07",,
95,1632,1,"2 for 1 Special 2 Toppings","y",44,"2022-03-25 14:34:38",,
96,1632,1,"2 for 1 Special 3 Toppings","y",44,"2022-03-25 14:41:32",,
97,1452,1,"Large Pizza 3 Toppings","y",40,"2022-09-19 06:15:02",,
98,1452,1,"Wings Sauces","y",40,"2022-09-19 06:18:19",,
99,1452,1,"1st Dip Free","y",40,"2022-09-19 06:20:08",,
100,1452,1,"Chef Salad Dressing","y",40,"2022-09-19 06:28:16",,
101,1452,1,"Large Pizza 4 Toppings","y",40,"2022-09-19 07:55:26",,
102,1452,1,"Small Pizza 3 Toppings","y",40,"2022-09-19 08:08:21",,
103,1452,1,"Medium Pizza 3 Toppings","y",40,"2022-09-19 08:16:29",,
104,1452,1,"2 Dips Free","y",40,"2022-09-19 08:21:52",,
105,1452,1,"2 Pizza Deal 1 Topping","y",40,"2022-09-19 09:21:29",,
106,1452,1,"Dips","y",40,"2022-09-19 09:23:08",,
107,1452,1,"2 Pizza Deal 2 Toppings","y",40,"2022-09-19 09:29:40",,
108,1452,1,"2 Pizza Deal 3 Toppings","y",40,"2022-09-19 09:35:12",,
109,1634,1,"Combo 1","y",40,"2022-10-12 10:43:45",,
110,1637,1,"2 Pizzas 1 Topping","y",40,"2023-08-04 06:22:09",,
111,1637,1,"2 Pizzas 2 Toppings","y",40,"2023-08-09 12:15:25",,
112,1637,1,"2 Pizzas 3 Toppings","y",40,"2023-08-09 12:25:55",,
113,1637,1,"2 Dips Free","y",40,"2023-08-09 12:28:28",,
114,1637,1,"Small Pizza 3 Toppings","y",40,"2023-08-09 13:01:27",,
115,1637,1,"Medium Pizza 3 Toppings","y",40,"2023-08-09 13:10:25",,
116,1637,1,"Large Pizza 3 Toppings","y",40,"2023-08-09 13:18:33",,
117,1637,1,"2 Small Pizzas 3 Toppings","y",40,"2023-08-09 13:23:52",,
118,1637,1,"Wings Sauces","y",40,"2023-08-09 13:27:11",,
119,1637,1,"Dips","y",40,"2023-08-09 13:27:57",,
120,1637,1,"2 Medium Pizzas 3 Toppings","y",40,"2023-08-09 13:32:38",,
121,1637,1,"2 Large Pizzas 3 Toppings","y",40,"2023-08-09 13:35:59",,
122,1637,1,"2 Large Pizzas 4 Toppings","y",40,"2023-08-09 13:41:02",,
123,1637,1,"6 Dips Free","y",40,"2023-08-09 13:42:21",,
124,1637,1,"2 Subs Free","y",40,"2023-08-09 13:47:03",,
125,1637,1,"2 Wraps with Drink","y",40,"2023-08-09 13:56:57",,
126,1595,1,"111","y",1,"2023-08-14 08:45:37",,
127,1595,1,"111","y",1,"2023-08-14 08:45:42",,
128,1595,1,"111","y",1,"2023-08-14 08:45:48",,
129,1637,1,"Test","n",40,"2023-08-14 10:14:38",40,"2023-08-14 10:14:51"
130,1595,1,"Add DISHES TEST","y",40,"2023-08-14 11:04:41",,
131,1638,1,"Medium Pizza 3 Toppings","y",40,"2023-09-07 02:47:51",,
132,1638,1,"Large Pizza 3 Toppings","y",40,"2023-09-07 02:50:12",,
133,1638,1,"Large Pizza 1 Topping","y",40,"2023-09-07 03:02:47",,
134,1639,1,"Large Pizza 3 Toppings","y",40,"2023-11-15 01:54:33",,
135,1639,1,"Twins 1 Topping","y",40,"2023-11-15 02:05:40",,
136,1639,1,"Twins 2 Toppings","y",40,"2023-11-15 02:07:48",,
137,1639,1,"Twins 3 Toppings","y",40,"2023-11-15 02:09:18",,
138,1639,1,"Dipping Sauces","y",40,"2024-01-04 11:32:10",,
139,1643,1,"2 Small Pizzas 3 Toppings","y",40,"2024-01-11 04:28:19",,
140,1643,1,"2 Medium Pizzas 3 Toppings","y",40,"2024-01-11 04:31:49",,
