"id","restaurant_id","language_id","global_course_id","name","description","display_order","available_for","time_period","enabled","added_by","added_at","disabled_by","disabled_at"
29,1078,1,0,"ijjghgfh","",,,,"y",1,"2017-02-16 17:59:49",,
30,1078,1,17,"Appetizers","",,,,"y",1,"2017-02-16 17:59:49",,
31,1078,1,15,"Chicken","",,,,"y",1,"2017-02-16 17:59:49",,
32,1078,1,8,"Subs","Lettuce, tomato, onion, green pepper, pickles, green olives, hot peppers, mushrooms. Please use the comment box to remove any ingredients.",,,,"y",1,"2017-02-16 17:59:49",,
43,1529,1,17,"Appetizers","",,,,"y",24,"2017-02-16 18:10:54",,
44,1529,1,15,"Chicken","",,,,"y",24,"2017-02-16 18:10:54",,
45,1529,1,23,"Desserts","Our delicious cakes sold by the slice.",,,,"y",24,"2017-02-16 18:10:54",,
51,1025,1,17,"Appetizers","",,,,"y",1,"2017-02-22 15:05:19",,
52,1025,1,15,"Chicken","",,,,"y",1,"2017-02-22 15:05:19",,
54,1076,1,17,"Appetizers","",,,,"y",1,"2017-02-23 06:07:14",,
55,1076,1,15,"Chicken","",,,,"y",1,"2017-02-23 06:07:14",,
70,1284,1,17,"Appetizers","",,,,"y",1,"2017-03-07 19:06:53",,
71,1284,1,15,"Chicken","",,,,"y",1,"2017-03-07 19:06:53",,
76,1284,1,10,"Wraps","",,,,"y",24,"2017-03-14 11:07:48",,
81,1156,1,0,"564654","",,,,"y",1,"2017-03-14 14:04:23",,
82,1156,1,21,"Pizza","",,,,"y",1,"2017-03-14 14:04:23",,
86,1155,1,17,"Appetizers","ljkhg",2,,,"y",24,"2017-03-14 14:04:26",,
87,1155,1,15,"Chicken","",1,,,"y",24,"2017-03-14 14:04:26",,
88,1155,1,23,"Desserts","Our delicious cakes sold by the slice.",3,,,"y",24,"2017-03-14 14:04:26",,
89,1155,1,9,"Donairs","",4,,,"y",24,"2017-03-14 14:04:26",,
96,1316,1,17,"Appetizers","",,,,"y",1,"2017-03-14 18:14:57",,
97,1316,1,21,"Pizza","",,,,"y",1,"2017-03-14 18:14:57",,
101,1,1,21,"Pizza","",4,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",1,"2017-03-16 13:41:58",,
102,1,1,8,"Subs","Lettuce, tomato, onion, green pepper, pickles, green olives, hot peppers, mushrooms. Please use the comment box to remove any ingredients.",1,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",1,"2017-03-16 13:41:58",,
103,1595,1,1,"Appetizers","",6,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
104,1595,1,8,"Cold Subs","All subs served with cheese, lettuce, tomatoes, pickles and mayo.",11,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
105,1595,1,16,"Desserts","",14,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
106,1595,1,9,"Donairs","All Donairs served with lettuce, tomatoes and your choice of sauce: garlic, hot or sweet & sour.",12,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
107,1595,1,17,"Drinks","",15,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
108,1595,1,12,"Gourmet Pizza and 591ml Beverage","Gluten Free Crust available at no extra cost! Now offering double the cheese at half the price.",16,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
109,1595,1,7,"Hot Subs","All subs served with cheese, lettuce, tomatoes, pickles and mayo.",10,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
110,1595,1,13,"Pasta","",17,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
111,1595,1,11,"Pizza and Free 591ml Beverage","Gluten Free Crust available at no extra cost! Now offering double the cheese at half the price.",5,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
112,1595,1,14,"Platters","All platters include fries and gravy.",18,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
113,1595,1,10,"Poutine","Now offering double the cheese at half the price. We\'re serving up FREE Smoked Meat on your Poutine, upon request.",13,"{\""1\"": \""y\"", \""2\"": \""y\""}",,"y",24,"2017-03-17 12:27:46",,
