id,restaurant_id,language_id,group_name,group_type,items,enabled,added_by,added_at,disabled_by,disabled_at
57,1,1,c1,crust,,y,1,2017-03-16 13:59:26,,
58,1,1,c2,crust,,y,1,2017-03-16 14:00:20,,
59,1,1,c3,crust,,y,1,2017-03-16 14:00:27,,
60,1,1,ci 1,custom_ingredient,,y,1,2017-03-16 14:03:20,,
61,1,1,ci 2,custom_ingredient,,y,1,2017-03-16 14:03:34,,
62,1,1,ci 4,custom_ingredient,,y,1,2017-03-16 14:03:49,,
63,1,1,ci 3,custom_ingredient,,y,1,2017-03-16 14:03:55,,
64,1,1,e1,extra,,y,1,2017-03-16 14:04:05,,
65,1,1,e2,extra,,y,1,2017-03-16 14:04:13,,
66,1,1,32,crust,,y,1,2017-03-16 17:22:30,,
67,1,1,32,crust,,y,1,2017-03-16 17:22:56,,
68,1,1,1233,crust,,y,1,2017-03-17 04:24:16,,
69,1595,1,Pizza Toppings,custom_ingredient,,y,24,2017-03-17 12:31:30,,
70,1595,1,Burgers Extras,extra,,y,24,2017-03-17 13:24:24,,
72,1595,1,Burger Toppings,custom_ingredient,,y,24,2017-03-17 13:40:12,,
73,1595,1,Crust type,crust,,y,24,2017-03-17 13:50:38,,
74,1595,1,Wings Sauces,sauce,,y,24,2017-03-17 14:09:55,,
75,1595,1,Salad Dressings,dressing,,y,24,2017-03-17 14:14:04,,
76,1595,1,Sandwiches Garnishes,custom_ingredient,,y,24,2017-03-17 14:20:39,,
77,1595,1,Sandwiches Sauces,sauce,,y,24,2017-03-17 15:48:46,,
78,1595,1,More Cheese for Subs,extra,,y,24,2017-03-17 15:55:06,,
79,1595,1,Donair Sub Sauces,sauce,,y,24,2017-03-17 15:59:23,,
80,1595,1,Poutine Toppings,custom_ingredient,,y,24,2017-03-17 16:18:07,,
81,1595,1,Dips,sauce,,y,24,2017-03-17 16:39:32,,
82,1595,1,Drinks 591ml with Prices,drink,,y,24,2017-03-17 16:40:10,,
83,1,1,pt,premium_toppings,,y,1,2017-03-21 15:07:17,,
84,1595,1,Premium Toppings,premium_toppings,,y,24,2017-03-21 15:23:45,,
85,1,1,dip group 1,dip,,y,1,2017-03-21 15:51:45,,
86,1,1,d1,drink,,y,1,2017-03-29 15:42:30,,
87,1,1,d2,drink,,y,1,2017-03-29 17:35:04,,
88,1,1,d3,drink,,y,1,2017-03-29 17:35:14,,
89,1595,1,tttt,crust,,y,1,2018-03-02 07:19:39,,
90,1595,1,tttt1,crust,,y,1,2018-03-02 07:19:52,,
91,1595,1,tttt1,crust,,y,1,2018-03-02 07:20:59,,
92,1595,1,Pizza toppings,custom_ingredient,,y,1,2018-03-08 12:49:02,,
93,1596,1,Dips,sauce,,y,24,2018-06-13 12:21:33,,
94,1596,1,Extras for PASTA,extra,,y,24,2018-06-13 12:44:34,,
95,1596,1,Crust Type,crust,,y,24,2018-06-13 12:49:52,,
96,1596,1,Crust Type without Gluten free,crust,,y,24,2018-06-13 12:50:04,,
97,1596,1,Pizza Toppings,custom_ingredient,,y,24,2018-06-13 12:54:52,,
98,1596,1,Pizza toppings without Premium Toppings,custom_ingredient,,y,24,2018-06-13 12:55:47,,
99,1596,1,Premium Toppings,custom_ingredient,,y,24,2018-06-13 12:56:07,,
100,1282,1,123,crust,,y,36,2019-04-29 03:10:42,,
101,1597,1,Pizza Toppings,custom_ingredient,,y,24,2019-05-01 07:36:14,,
102,1597,1,Pizza Toppings without Premium,custom_ingredient,,y,24,2019-05-01 07:36:36,,
103,1597,1,Premium Pizza Toppings,custom_ingredient,,y,24,2019-05-01 07:36:56,,
104,1597,1,Crust Type,crust,,y,24,2019-05-01 07:37:48,,
105,1597,1,Crust Type without Gluten Free,crust,,y,24,2019-05-01 07:38:18,,
106,1597,1,Wings Sauces,sauce,,y,24,2019-05-01 07:54:47,,
107,1597,1,Salad Dressings,dressing,,y,24,2019-05-01 08:03:16,,
108,1597,1,Custom Ingredients for POUTINE,custom_ingredient,,y,24,2019-05-01 08:13:54,,
109,1597,1,Extra Cheese for POUTINE,extra,,y,24,2019-05-01 08:15:30,,
110,1597,1,Free Smoked Meat for POUTINE,side_dish,,y,24,2019-05-01 08:15:56,,
111,1597,1,Premium Toppings,premium_toppings,,y,24,2019-05-01 09:07:16,,
112,1597,1,Drinks with Prices,drink,,y,24,2019-05-01 09:09:27,,
113,1597,1,Large Toppings,custom_ingredient,,y,24,2019-05-01 09:22:07,,
114,1597,1,Premium Toppings Large,premium_toppings,,y,24,2019-05-01 09:22:29,,
115,1597,1,Dips,dip,,y,24,2019-05-01 09:26:30,,
120,1597,1,123,crust,,y,1,2019-05-09 14:39:56,,
121,1603,1,Crust Type,crust,,y,24,2020-01-13 15:19:29,,
122,1603,1,Crust Type without Gluten Free,crust,,y,24,2020-01-13 15:19:41,,
123,1603,1,Pizza Toppings,custom_ingredient,,y,24,2020-01-13 15:26:31,,
124,1603,1,Pizza Toppings without Premium,custom_ingredient,,y,24,2020-01-13 15:28:49,,
125,1603,1,Salad Dressings,dressing,,y,24,2020-01-13 15:44:32,,
126,1603,1,Wings Sauces,sauce,,y,24,2020-01-13 15:48:21,,
127,1603,1,Donair Sub Sauces,sauce,,y,24,2020-01-13 16:00:17,,
128,1603,1,Donair Wraps Sauces,sauce,,y,24,2020-01-13 16:06:07,,
129,1603,1,Extras for Pasta,extra,,y,24,2020-01-13 16:18:50,,
130,1603,1,Dips,dip,,y,24,2020-01-13 16:48:13,,
131,1603,1,Drinks with Prices,drink,,y,24,2020-01-28 12:19:52,,
132,1604,1,Crust Type,crust,,y,24,2020-03-15 05:56:57,,
133,1604,1,Crust Type without Gluten Free,crust,,y,24,2020-03-15 05:57:13,,
134,1604,1,Pizza Toppings,custom_ingredient,,y,24,2020-03-15 05:58:28,,
135,1604,1,Pizza Toppings without Premium Toppings,custom_ingredient,,y,24,2020-03-15 05:58:48,,
136,1604,1,Pizza Premium Toppings,custom_ingredient,,y,24,2020-03-15 05:59:06,,
137,1604,1,Dips,dip,,y,24,2020-03-16 05:34:38,,
138,1604,1,Drinks 591ml,drink,,y,24,2020-03-16 05:36:05,,
139,1604,1,Salad Dressings,dressing,,y,24,2020-03-16 06:06:18,,
140,1604,1,Wings Sauces,sauce,,y,24,2020-03-16 06:10:33,,
141,1605,1,Crust Type,crust,,y,24,2020-08-26 05:19:24,,
142,1605,1,Pizza Toppings,custom_ingredient,,y,24,2020-09-04 06:17:15,,
143,1605,1,Dipping Sauces,dip,,n,24,2020-09-04 06:19:50,,
144,1605,1,Dipping Sauces,dip,,y,24,2020-09-04 06:19:53,,
145,1605,1,Dipping Sauces,dip,,n,24,2020-09-04 06:19:57,,
146,1605,1,Drinks,drink,,y,24,2020-09-04 07:42:01,,
147,1605,1,Premium Toppings,premium_toppings,,y,24,2020-09-04 07:57:14,,
148,1605,1,Wings Sauces,sauce,,y,24,2020-09-04 08:00:21,,
149,1608,1,Shawarma & Donair Sauces,sauce,,y,40,2020-12-07 17:07:57,,
150,1608,1,Burgers Extras,extra,,y,40,2020-12-07 17:15:45,,
151,1608,1,Pasta Extras,extra,,y,40,2020-12-07 17:19:21,,
152,1608,1,Salad Dressings,dressing,,y,40,2020-12-07 17:38:26,,
153,1608,1,Wings Sauces,sauce,,y,40,2020-12-07 17:43:53,,
154,1608,1,Donair Sub Sauces,sauce,,y,40,2020-12-07 17:54:59,,
155,1608,1,Pizza Toppings,custom_ingredient,,y,40,2020-12-07 18:00:37,,
156,1608,1,Crust Type,crust,,y,40,2020-12-07 18:01:57,,
157,1608,1,Crust Type without GF,crust,,y,40,2020-12-07 18:02:17,,
158,1608,1,Pre,premium_toppings,,n,40,2020-12-07 18:11:52,,
159,1608,1,Premium Toppings,premium_toppings,,y,40,2020-12-07 18:12:20,,
160,1608,1,Pizza Dips,dip,,y,40,2020-12-07 18:12:55,,
161,1608,1,Drinks with Prices,drink,,y,40,2020-12-07 18:13:26,,
162,1611,1,Add Chicken SALADS,custom_ingredient,,y,24,2021-05-26 11:49:59,,
163,1611,1,Wings Sauces,sauce,,y,24,2021-05-26 12:01:07,,
164,1611,1,Drinks Can,drink,,y,24,2021-05-26 12:04:34,,
165,1611,1,Side Dishes for COMBOS,side_dish,,y,24,2021-05-26 12:05:19,,
166,1611,1,Extras for BURGERS,extra,,y,24,2021-05-26 12:11:31,,
167,1612,1,Crust Type,crust,,y,24,2021-12-08 13:22:56,,
168,1612,1,Crust Type without GF and Keto,crust,,y,24,2021-12-08 13:23:14,,
169,1612,1,Pizza Toppings,custom_ingredient,,y,24,2021-12-08 13:25:04,,
170,1612,1,Premium Toppings,premium_toppings,,y,24,2021-12-08 13:27:17,,
171,1612,1,Dipping Sauces,dip,,y,24,2021-12-08 13:29:07,,
172,1612,1,Vegan Nondairy Lactose Free Cheese,dressing,,y,24,2021-12-09 14:54:12,,
173,1612,1,Drinks + Aquafina with PRICES,drink,,y,24,2021-12-09 14:56:37,,
174,1614,1,Crust Type,crust,,y,24,2022-01-05 18:00:46,,
175,1613,1,Crust Type,crust,,y,24,2022-01-05 18:00:54,,
176,1615,1,Extra Skewer for Souvlaki and Brochette,extra,,y,44,2022-01-10 18:11:40,,
177,1615,1,Taco Dinner Tortillas,crust,,y,44,2022-01-10 18:31:50,,
178,1615,1,Meat for Taco Dinner,custom_ingredient,,y,44,2022-01-10 18:32:31,,
179,1615,1,Sides for Taco Dinner,side_dish,,y,44,2022-01-10 18:32:51,,
180,1615,1,Fajita Meat Options,custom_ingredient,,n,44,2022-01-10 18:39:58,,
181,1615,1,Fajita Meat Options,custom_ingredient,,y,44,2022-01-10 18:40:15,,
182,1615,1,Wing Sauces,sauce,,y,44,2022-01-10 19:08:15,,
183,1615,1,Chicken Sauces,sauce,,y,44,2022-01-10 19:09:08,,
184,1615,1,Meat or Cheese for Subs,extra,,y,44,2022-01-10 19:27:30,,
185,1615,1,Sauce for Side Orders,sauce,,y,40,2022-01-10 19:54:12,,
186,1615,1,Cheese Sticks Sauces,sauce,,y,40,2022-01-10 19:55:57,,
187,1615,1,Dips for Pizza,dip,,y,44,2022-01-10 20:08:17,,
188,1615,1,Pizza Toppings,custom_ingredient,,y,44,2022-01-10 20:10:14,,
189,1615,1,Premium Pizza Toppings,premium_toppings,,y,44,2022-01-10 20:11:01,,
190,1616,1,Poutine Toppings,custom_ingredient,,y,44,2022-01-11 17:48:08,,
191,1616,1,Poutine Substitution for Platters,side_dish,,y,44,2022-01-11 18:05:46,,
192,1616,1,Salad Dressings,dressing,,y,44,2022-01-11 18:19:41,,
