id,hash,restaurant_id,global_ingredient_id,name,type,language_id,enabled,added_by,added_at,disabled_by,disabled_at,unavailable_until,unavailabled_by
1254,445534fb,1,8261,crust 1,crust,1,y,1,2017-03-16 13:51:30,,,,
1255,59b6f4e9,1,8262,crust 2,crust,1,y,1,2017-03-16 13:51:30,,,,
1256,3f1cf41b,1,8263,crust 3,crust,1,y,1,2017-03-16 13:51:30,,,,
1257,7565fb16,1,8202,gluten free,crust,1,y,1,2017-03-16 13:51:30,,,,
1258,4c3224bb,1,8203,regular crust,crust,1,y,1,2017-03-16 13:51:30,,,,
1259,07d72f38,1,8226,All dressed,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1260,19eaf125,1,8248,Anchovies,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1261,5115d5fa,1,8246,Bacon Crumble,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1262,99035fe1,1,8245,Bacon Strips,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1263,de5a9ed0,1,8236,Black Olives,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1264,37b99512,1,8253,Chicken,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1265,1c969483,1,8242,Donair Meat,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1266,b13e9a13,1,8252,Double Cheese,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1267,3194e688,1,8254,Extra Sauce,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1268,61d58543,1,8251,Feta,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1269,e97cd248,1,8235,Green Olives,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1270,f4bab030,1,8232,Green Peppers,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1271,523ff74b,1,8250,Ground Beef,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1272,86ed6654,1,8240,Ham,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1273,fb8b3860,1,8234,Hot Peppers,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1274,79cc174d,1,8244,Italian Sausage,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1275,454f944b,1,8227,Lettuce,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1276,eba756ff,1,8241,Meatball,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1277,31c95874,1,8230,Mushrooms,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1278,bc8e215a,1,8231,Onions,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1279,5bdcbaf7,1,8243,Pepperoni,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1280,d813d01c,1,8228,Pickles,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1281,0e7d1db3,1,8237,Pineapple,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1282,bedb89e9,1,8225,Plain,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1283,f19e07ad,1,8233,Red Peppers,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1284,98e1b402,1,8247,Salami,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1285,13cb613f,1,8249,Steak,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1286,a003fdfa,1,8239,Sundried Tomatoes,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1287,641e29b8,1,8238,Tomatoes,custom_ingredient,1,y,1,2017-03-16 13:51:30,,,,
1288,8368adae,1,8255,Cheese,extra,1,y,1,2017-03-16 13:51:30,,,,
1289,54c08829,1,8258,Chicken,extra,1,y,1,2017-03-16 13:51:30,,,,
1290,9f1e87aa,1,8257,Double Cheese,extra,1,y,1,2017-03-16 13:51:30,,,,
1291,9258d752,1,8260,Extra Sauce,extra,1,y,1,2017-03-16 13:51:30,,,,
1292,94062b5a,1,8256,Feta,extra,1,y,1,2017-03-16 13:51:30,,,,
1293,f64a6355,1,8259,No bacon please,extra,1,y,1,2017-03-16 13:51:30,,,,
1295,b78ab497,1,8265,e 1,extra,1,y,1,2017-03-17 05:21:35,,,,
1296,7d4cf5bf,1595,8248,Anchovies,custom_ingredient,1,y,24,2017-03-17 12:29:17,,,,1
1297,73e6ed11,1595,8246,Bacon Crumble,custom_ingredient,1,y,24,2017-03-17 12:29:17,,,2019-08-31 11:00:00,1
1298,4a8f7ad7,1595,8245,Bacon Strips,custom_ingredient,1,y,24,2017-03-17 12:29:17,,,2019-08-31 11:00:00,1
