id;course;restaurant;sku;name;ingredients;price;order;quantity;hasCustomisation;ciHeader;minci;maxci;freeci;displayOrderCI;hasSideDish;sideDishHeader;minsd;maxsd;freeSD;displayOrderSD;hasDrinks;drinksHeader;mindrink;maxdrink;freeDrink;displayOrderDrink;hasExtras;extraHeader;minextras;maxextras;freeExtra;displayOrderExtras;isSideDish;showSDInMenu;isDrink;hasBread;breadHeader;displayOrderBread;hasDressing;dressingHeader;mindressing;maxdressing;freeDressing;displayOrderDressing;hasSauce;sauceHeader;minsauce;maxsauce;freeSauce;displayOrderSauce;hasCookMethod;cmHeader;mincm;maxcm;freecm;displayOrderCM;isCombo;useSteps;mincombo;maxcombo;displayOrderCombo;menuType;image;lang;showInMenu;showPizzaIcons;checkoutItems;upsell
4150;693;79;NULL;"Combination For 2";"2 Spring Rolls,choice of soup for two, 2 main dishes and 1 Fried Rice for two.";43.00;0;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;N;0;0;8;;NULL;en;Y;N;N;n
4151;693;79;NULL;"Combination For 3";"3 Spring Rolls, 1 choice of soup for three, 3 main dishes and 1 Fried Rice for three.";63.00;0;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;N;0;0;8;;NULL;en;Y;N;N;n
4152;693;79;NULL;"Combination For 4";"4 Spring Rolls, 1 Soup for four, 4 main dishes, 1 Fried rice for four.";83.00;0;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;N;0;0;8;;NULL;en;Y;N;N;n
4153;693;79;NULL;"Combination For 5";"5 Spring Rolls, 1 soup for five, 5 main dishes and 1 Fried rice for five.";103.00;0;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;N;0;0;8;;NULL;en;Y;N;N;n
4154;693;79;NULL;"Combination For 6";"6 Spring Rolls, 1 soup for six, 6 main dishes and 1 Fried Rice for six.";123.00;0;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;N;0;0;8;;NULL;en;Y;N;N;n
4934;806;99;NULL;"3 Toppings";;18.00,26.00,34.00;0;"2 x Small (9"),2 x Medium (12"),2 x Large (15")";N;;0;0;0;2;N;;0;0;0;5;N;Drinks;0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
5005;821;100;NULL;"1 Topping";;16.00,22.00,30.00;0;"2 x Small (9"),2 x Medium (12"),2 x Large (15")";N;;0;0;0;2;N;;0;0;0;5;N;Drinks;0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
5006;821;100;NULL;"2 Toppings";;17.00,24.00,32.00;0;"2 x Small (9"),2 x Medium (12"),2 x Large (15")";N;;0;0;0;2;N;;0;0;0;5;N;Drinks;0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
5007;821;100;NULL;"3 Toppings";;18.00,26.00,34.00;0;"2 x Small (9"),2 x Medium (12"),2 x Large (15")";N;;0;0;0;2;N;;0;0;0;5;N;Drinks;0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
5255;847;102;NULL;"1 Topping";;16.00,22.00,30.00;0;"2 x Small (9"),2 x Medium (12"),2 x Large (15")";N;;0;0;0;2;N;;0;0;0;5;N;Drinks;0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
