id,course,restaurant,sku,name
4150,693,79,,Combination For 2
4151,693,79,,Combination For 3
4152,693,79,,Combination For 4
4153,693,79,,Combination For 5
4154,693,79,,Combination For 6
4934,806,99,,3 Toppings
5005,821,100,,1 Topping
5006,821,100,,2 Toppings
5007,821,100,,3 Toppings
5255,847,102,,1 Topping
5256,847,102,,2 Toppings
5257,847,102,,3 Toppings
5328,862,103,,1 Topping
5329,862,103,,2 Toppings
5330,862,103,,3 Toppings
5401,877,104,,1 Topping
5402,877,104,,2 Toppings
5403,877,104,,3 Toppings
5404,884,95,,2 Subs Deal with 2 Drinks HIDE
5405,885,104,,2 Subs Deal
5406,886,102,,2 Subs Deal
5407,887,103,,2 Subs Deal
5478,896,105,,1 Topping
5479,896,105,,2 Toppings
5480,896,105,,3 Toppings
5481,897,105,,2 Subs Deal
5730,884,95,,Medium Pizza & Cheesy Bread HIDE
6279,994,114,,6 Toppings Combined
6281,993,114,,Large Pizza Special
6282,993,114,,2 Pasta Special
6684,1079,120,,Deal No.3
6687,1079,120,,Deal No.6 HIDE
7057,1099,123,,Family BBQ Special No.1
7061,735,94,,One Item Pizza
7464,1158,122,,Combo Box
8448,1275,135,,Preston Pizza’s Special
8449,1275,135,, Steak
8450,1275,135,, Steak and Pepperoni
8451,1275,135,, Club
8454,1275,135,, Ham and Cheese
8455,1275,135,,Pepperoni and Cheese
9038,1291,125,,1 Large Pizza Everyday Special
10369,1556,127,,Medium 3 Toppings
10370,1556,127,,Large 3 Toppings
11287,1695,172,,2 Pizza Deal 1 Topping
11288,1695,172,,2 Pizza Deal 2 Toppings
11289,1695,172,,2 Pizza Deal 3 Toppings
11290,1694,172,,Medium Pizza 3 Toppings
11291,1694,172,,Large Pizza 3 Toppings
11296,1403,146,,Large Pizza 3 Toppings
11297,1403,146,,Medium Pizza 3 Toppings
11298,1403,146,,Small Pizza 3 Toppings
11299,1403,146,,2 Large Pizza 3 Toppings
11300,1403,146,,2 Medium Pizza 3 Toppings
11306,1402,146,,2 Medium Pizza 2 Toppings
13294,1961,132,,2 Moyennes Pizza
13714,2030,192,,One Topping Pizza
15193,2233,206,,1 Ingrédient
15194,2233,206,,2 Ingrédients
15244,2242,205,,1 Topping
15245,2242,205,,2 Toppings
15246,2242,205,,3 Toppings
15935,2328,153,,2 Large Pizzas + Garlic sauce
15936,2328,153,,2 XLarge Pizzas + Garlic sauce
15937,2328,153,,1 Small Pizza & 10 Wings
15938,2328,153,,1 Medium Pizza & 15 Wings
15940,2328,153,,1 XLarge Pizza & 30 Wings
15944,2330,153,,Donair Combo
15946,2330,153,,Sub Combo + Fries & Pop
15947,2330,153,,2 Italian Platters
17581,2557,231,,L’Hawaïenne
17668,2564,231,,1 Moyenne et Ailes
17782,2585,228,,1 Topping
18265,2646,245,,1 Topping Pizza Deal
18267,2646,245,,2 Toppings Pizza Deal
18268,2646,245,,3 Toppings Pizza Deal
18523,2678,236,,Small and 10 Wings
18524,2678,236,,Medium and 15 Wings
18525,2678,236,,Large and 20 Wings
18546,2680,236,,Petite et 10 Ailes
18547,2680,236,,Moyenne et 15 Ailes
18548,2680,236,,Grande et 20 Ailes
18623,2522,237,,Online Only Special #1
18639,2692,247,,One Topping
21513,2972,274,,Souvlaki and Pizza Special
23383,3260,275,,Small Pizza with Wings
23385,3260,275,,Medium Pizza with Wings
23386,3260,275,,Large Pizza with Wings
23387,3260,275,,X-Large Pizza with Wings
23389,3261,275,,2 Small Pizza and Wings
23390,3261,275,,2 Medium Pizza and Wings
23391,3261,275,,2 Large Pizza with Wings
23396,3263,284,,One Topping Double Pizza Special
23397,3264,275,,Two Medium Pizza with 5 Toppings HIDE
23398,3264,275,,Two Large Pizza with 5 Toppings HIDE
23399,3264,275,,Two X-Large Pizza with 5 Toppings HIDE
23401,3263,284,,Two Toppings Double Pizza Special
23402,3263,284,,Three Toppings Double Pizza Special
23403,3263,284,,Four Toppings Double Pizza Special
24248,3376,303,,10 Wings
24249,3376,303,,20 Wings
24250,3376,303,,30 Wings
24251,3376,303,,40 Wings
24306,3382,303,,Large Pizza 3 Toppings Special
24307,3382,303,,Medium Pizza 3 Toppings Special
24309,3381,295,,Stir Fried Broccoli
24310,3381,295,,Broccoli with Straw Mushroom
24311,3381,295,,Kong Pao Chicken
24312,3381,295,,General Tao’s Chicken
24313,3381,295,,Sweet and Sour Pork
24315,3381,295,,Sichuan Beef
24317,3381,295,,Orange Peel Beef
24318,3381,295,,Sichuan Shrimp
24319,3381,295,,Shrimps a la Ding
25830,3583,320,,"2 Pizzas 12"";Avec 10 ailes, 1 frite familiale, 1 sauce BBQ, 1 salade de chou et 4 canettes."""
25831,3583,320,,"2 Pizzas 14"";Avec 1 poutine familiale et 4 canettes."""
25832,3583,320,,"2 Pizzas 16"";Avec 1 frite familiale et 4 canettes."""
25954,3601,236,,Deal No1
25955,3601,236,,Deal No2
25956,3601,236,,Deal No3
25957,3601,236,,Deal No4
25968,3601,236,,Deal No5 - With 2 Sandwiches
25969,3601,236,,Deal No5 - With 2 Wraps
25982,3606,236,,Spécial No1
26005,3606,236,,Spécial No2
26006,3606,236,,Spécial No3
26007,3606,236,,Spécial No4
26008,3606,236,,Spécial No5- Avec 2 Sandwiches
26009,3606,236,,Spécial No5- Avec 2 Wraps
26137,3535,292,,Tapas
26179,3631,257,,Small Pizza and Wings HIDE
26180,3631,257,,Medium Pizza and Poutine HIDE
26181,3631,257,,Medium Pizza and Wings Special HIDE
26182,3631,257,,Large Pizza Special HIDE
26350,3643,332,,Tapas HIDE
26368,3642,325,,Design your own Pizza
26465,3665,330,,Nature
26466,3665,330,,Pepperoni
26467,3665,330,,Hawaïenne
26468,3665,330,,Toute Garnie
26469,3665,330,,Pizza Poussin
26470,3665,330,,Québécoise
26471,3665,330,,Spéciale Dorval Pizza
26472,3665,330,,Mexicaine
26473,3665,330,,Végétarienne
26474,3665,330,,Deluxe
26475,3665,330,,Fou De La Viande
26476,3665,330,,Pizza du Chef
26477,3665,330,,Poulet
26478,3665,330,,1 Ingrédient
26479,3665,330,,2 Ingrédients
26480,3665,330,,3 Ingrédients
26579,3678,330,,2 Pizzas Moyennes
26581,3678,330,,2 Pizzas Grande
26582,3678,330,,2 Pizzas X-Grande
26591,3683,330,,2 Petites Pizzas et 2 Boissons Gazeuses
26598,3683,330,,2 Moyennes Pizzas et 2 Boissons Gazeuses
26599,3683,330,,2 Grandes Pizzas et 3 Boissons Gazeuses
26600,3683,330,,2 Extra Grande Pizzas et 4 Boissons Gazeuses
26604,3683,330,,1 Petite Pizza avec Sous-Marin
26605,3683,330,,1 Moyenne Pizza avec Sous-Marin
26606,3685,330,,Numéro 1
26608,3685,330,,Numéro 2 
26609,3685,330,, Numéro 3 
26611,3685,330,, Numéro 4 
26612,3685,330,, Numéro 5 
26614,3685,330,,Numéro 6
26615,3685,330,,Numéro 7 
26616,3685,330,,Numéro 8
26618,3687,330,,Plain Pizza
26619,3687,330,,Pepperoni Pizza
26620,3687,330,,Hawaiian Pizza 
26621,3687,330,,All Dressed Pizza
26622,3687,330,,Chick Pizza 
26623,3687,330,,Quebecoise Pizza
26624,3687,330,,Dorval Special Pizza
26625,3687,330,,Mexican Pizza
26626,3687,330,,Vegetarian Pizza
26627,3687,330,,Deluxe Pizza
26628,3687,330,,Meat Lovers Pizza
26629,3687,330,,Chefs Pizza
26630,3687,330,,Chicken Pizza
26631,3687,330,,1 Topping Pizza 
26632,3687,330,,2 Toppings Pizza
