"id";"restaurant";"domain"
"1";"82";"cedarvalley.menu.ca"
"2";"216";"constantine.menu.ca"
"3";"315";"restaurantjwaya.com"
"4";"486";"newyorkpizzeria.ca"
"5";"486";"newyorkpizzeria.menu.ca"
"6";"539";"reecespizza.ca"
"7";"539";"reecespizza.menu.ca"
"8";"623";"chezvilla.menu.ca"
"9";"623";"order.chezvilla.com"
"10";"469";"bigslicepizza.ca"
"11";"469";"bigslicepizza.menu.ca"
"12";"300";"totopizza.ca"
"13";"300";"totopizza.menu.ca"
"14";"464";"yumyumrestaurant.ca"
"15";"258";"order.sawasushi.ca"
"16";"258";"sawasushi.menu.ca"
"17";"92";"salitogourmetpizza.menu.ca"
"18";"92";"salitogourmetpizza.ca"
"19";"247";"romapizzeria.ca"
"20";"247";"romapizzeria.menu.ca"
"21";"505";"ricardospizzaottawa.ca"
"22";"525";"restomiramar.ca"
"23";"525";"restomiramar.menu.ca"
"24";"601";"restodelice.menu.ca"
"25";"601";"restodelice.ca"
"26";"630";"etoiledechambly.ca"
"27";"630";"etoiledechambly.menu.ca"
"28";"578";"order.restaurantbravi.com"
"29";"578";"restaurantbravi.menu.ca"
"30";"609";"order.realthai-cuisine.com"
"31";"609";"realthaicuisine.menu.ca"
"32";"581";"order.platorestaurant.com"
"33";"581";"platorestaurant.menu.ca"
"34";"182";"riverview.menu.ca"
"35";"564";"pizzalandstluc.ca"
"36";"564";"pizzalandstluc.menu.ca"
"37";"356";"pizza-welat.com"
"38";"356";"pizzawelat.menu.ca"
"39";"81";"pizzashark.menu.ca"
"40";"81";"pizzashark.ca"
"41";"125";"pizzapalaceottawa.menu.ca"
"42";"125";"pizzapalaceottawa.com"
"43";"330";"pizzadorvalexpress.menu.ca"
"44";"330";"pizzadorvalexpress.com"
"45";"349";"pizz-ami.com"
"46";"349";"pizza-ami.com"
"47";"349";"pizzaami.menu.ca"
"48";"118";"pitapit.menu.ca"
"49";"277";"phoviet24.ca"
"50";"277";"phoviet24.menu.ca"
"51";"310";"phocom.ca"
"52";"310";"phocom.menu.ca"
"53";"310";"phocomvietnam.ca"
"54";"631";"papaspizzalandporthope.menu.ca"
"55";"631";"papaspizzalandporthope.ca"
"56";"639";"papaspizzalandpeterborough.ca"
"57";"639";"papaspizzalandpeterborough.menu.ca"
"58";"515";"papaceotoronto.ca"
"59";"366";"oldmanspizzeria.ca"
"60";"366";"oldmanspizzeria.menu.ca"
"61";"599";"order.nikospizza.ca"
"62";"599";"nikospizza.menu.ca"
"63";"290";"nhulan.ca"
"64";"290";"nhulan.menu.ca"
"65";"431";"brossard.mysore.ca"
"66";"426";"order.mrchopsticks.ca"
"67";"426";"mrchopsticks.menu.ca"
"68";"396";"alexandria.milanopizzeria.ca"
"69";"396";"milanoalexandria.menu.ca"
"70";"284";"mikispizzeria.com"
"71";"284";"mikispizzeria.menu.ca"
"72";"421";"michellebbq.com"
"73";"421";"michellebbq.menu.ca"
"74";"583";"order.mazaya.ca"
"75";"583";"mazaya.menu.ca"
"76";"345";"maximospizza.com"
"77";"345";"maximospizza.menu.ca"
"78";"586";"massagrill.ca"
"79";"586";"massagrill.menu.ca"
"80";"468";"madinapizza.ca"
"81";"197";"order.lunasole.ca"
"82";"490";"louissteakhouse.menu.ca"
"83";"602";"leroyaumedangkorasianfusion.ca"
"84";"602";"leroyaumedangkor.menu.ca"
"85";"602";"leroyaumedangkor.ca"
"86";"144";"koiasiarestaurant.com"
"87";"144";"koiasiarestaurant.menu.ca"
"88";"531";"iciexpress.com"
"89";"122";"hungrysammys.menu.ca"
"90";"122";"hungrysammys.com"
"91";"594";"hardstonesgrillnepean.menu.ca"
"92";"288";"habaybna.ca"
"93";"288";"habaybna.menu.ca"
"94";"595";"order.greenchili.ca"
"95";"595";"greenchili.menu.ca"
"96";"401";"greekexpress.ca"
"97";"401";"greekexpress.menu.ca"
"98";"596";"order.greatcanadianpizza.com"
"99";"596";"greatcanadianpizza.menu.ca"
"100";"638";"17avegreatcanadianpizza.menu.ca"
"101";"399";"grandtandooristhubert.ca"
"102";"399";"grandtandooristhubert.menu.ca"
"103";"592";"order.fiazza.ca"
"104";"592";"fiazza.menu.ca"
"105";"201";"festivaljapan.menu.ca"
"106";"201";"order.festivaljapan.ca"
"107";"477";"fatalbertstrim.menu.ca"
"108";"477";"trim.fatalberts.ca"
"109";"373";"everaftersottawa.ca"
"110";"373";"everaftersottawa.menu.ca"
"111";"339";"elindio.menu.ca"
"112";"339";"elindio.ca"
"113";"322";"easterncity.ca"
"114";"322";"easterncity.menu.ca"
"115";"484";"order.corrados.ca"
"116";"484";" corrados.menu.ca"
"117";"580";"coinmechoui.ca"
"118";"580";"coinmechoui.menu.ca"
"119";"342";"chezraffino.ca"
"120";"342";"chezraffino.menu.ca"
"121";"242";"chezgastonshawarma.com"
"122";"242";"chezgastonshawarma.menu.ca"
"123";"333";"chezantonio.menu.ca"
"124";"333";"chezantonio.ca"
"125";"408";"casalunapizza.ca"
"126";"408";"casalunapizza.menu.ca"
"127";"360";"carlsbadpizza.ca"
"128";"360";"carlsbadpizza.menu.ca"
"129";"528";"cafeohayo.menu.ca"
"130";"597";"order.butterchickenhut.com"
"131";"597";"butterchickenhut.menu.ca"
"132";"347";"buffalobillqueenmary.ca"
"133";"347";"buffalobillqueenmary.menu.ca"
"134";"423";"bashadeslaurentides.com"
"135";"423";"bashadeslaurentides.menu.ca"
"136";"293";"arianakababhouse.ca"
"137";"293";"arianakababhouse.menu.ca"
"138";"476";"amatorestaurant.ca"
"139";"476";"amatorestaurant.menu.ca"
"140";"319";"al-amine.ca"
"141";"319";"al-amine.menu.ca"
"142";"380";"tassotcreole.menu.ca"
"143";"380";"tassotcreole.ca"
"144";"427";"order.eatloco.ca"
"145";"427";"order.eatloco.menu.ca"
"146";"73";"sushihelp.menu.ca"
"147";"73";"sushihelp.ca"
"148";"498";"sushixtratoronto.ca"
"149";"223";"spicexpress.menu.ca"
"150";"135";"prestonpizza.menu.ca"
"151";"135";"prestonpizza.com"
"152";"241";"shawarmarosanaottawa.ca"
"153";"241";"shawarmarosanaottawa.menu.ca"
"154";"320";"metropizzarestaurant.com"
"155";"320";"metropizzarestaurant.menu.ca"
"156";"305";"urbanturbanrestaurant.com"
"157";"305";"urbanturbanrestaurant.menu.ca"
"158";"696";"hometownsportsbar.menu.ca"
"159";"180";"elegantpizzaorleans.menu.ca"
"160";"180";"elegantpizzaorleans.com"
"161";"321";"fornospizzeria.com"
"162";"321";"fornospizzeria.menu.ca"
"163";"171";"greekostapiola.menu.ca"
"164";"171";"greekostapiola.menuottawa.com"
"165";"577";"catalinapizza.menu.ca"
"166";"577";"catalinapizza.ca"
"167";"178";"willieschinesetakeout.menu.ca"
"168";"178";"willieschinesetakeout.com"
"169";"361";"expressasianfood.ca"
"170";"281";"lorenzoottawa.com"
"171";"281";"lorenzoottawa.menu.ca"
"172";"212";"phothudo.menu.ca"
"173";"212";"phothudo.com"
"174";"188";"nakedfishsushi.menu.ca"
"175";"188";"order.nakedfishsushi.ca"
"176";"488";"order.mekong.ca"
"177";"488";"mekong.menu.ca"
"178";"488";"mekongottawa.ca"
"179";"471";"dolmadesgreek.ca"
"180";"485";"mackiesburgerottawa.ca"
"181";"548";"capitalcitysmokehouse.menu.ca"
"182";"202";"popeyethechef.ca"
"183";"202";"popeyethechef.menu.ca"
"184";"673";"chezvillabuckingham.menu.ca"
"185";"673";"chezvilla.com"
"186";"336";"wingwah.menu.ca"
"187";"262";"northyork.phodaubo.net"
"188";"544";"westernstylechickenandpizza.ca"
"189";"544";"westernstylechickenandpizza.menu.ca"
"190";"730";"kouzzina.menu.ca"
"191";"553";"pizzaloversl.menu.ca"
"192";"483";"fatalbertscanotek.menu.ca"
"193";"483";"canotek.fatalberts.ca"
"194";"665";"mackenzieinuvik.menu.ca"
"195";"121";"mandarincourtottawa.com"
"196";"121";"mandarincourtottawa.menu.ca"
"197";"698";"order.falafoulgourmet.com"
"198";"698";"falafoulgourmet.menu.ca"
"199";"405";"3for1pizza.com"
"200";"292";"carling.silkroadkabobhouse.com"
"201";"329";"jardin-thai.com"
"202";"329";"jardinthai.menu.ca"
"203";"350";"erman-pizza.com"
"204";"350";"ermanpizza.menu.ca"
"205";"649";"ogilvieprincegourmet.menu.ca"
"206";"757";"mtlprincegourmet.menu.ca"
"207";"573";"goodtastefusion.menu.ca"
"208";"573";"goodtastefusion.com"
"209";"372";"rideau.barburritoottawa.ca"
"210";"343";"dubarry.menu.ca"
"211";"343";"order.dubarry.ca"
"212";"713";"fusionhousebank.menu.ca"
"213";"386";"wontonmamaottawa.ca"
"214";"386";"wontonmamaottawa.menu.ca"
"215";"375";"pitapizzaplus.ca"
"216";"375";"pittapizzaplus.menu.ca"
"217";"394";"larumeur.ca"
"218";"462";"plateau.mysore.ca"
"219";"462";"mysore.ca"
"220";"462";"mysore.menu.ca"
"221";"463";"sababagrill.ca"
"222";"470";"labellamanagua.ca"
"223";"470";"labellamanagua.menu.ca"
"224";"470";"order.labellamanagua.com"
"225";"475";"restaurantlittlesaigon.ca"
"226";"475";"restaurantlittlesaigon.menu.ca"
"227";"497";"sushi930toronto.ca"
"228";"510";"restaurantanne.ca"
"229";"510";"restaurantanne.menu.ca"
"230";"516";"newsushiisland.ca"
"231";"516";"newsushiisland.menu.ca"
"232";"543";"minatomontreal.ca"
"233";"543";"minatomontreal.menu.ca"
"234";"546";"restaurantmazaj.ca"
"235";"546";"restaurantmazaj.menu.ca"
"236";"557";"chateauvenus.ca"
"237";"557";"chateauvenus.menu.ca"
"238";"558";"restaurantmacks.com"
"239";"558";"macksrestaurant.menu.ca"
"240";"606";"newdlebar.com"
"241";"606";"newdlebar.menu.ca"
"242";"618";"Cobourgoriginalspaghettihouse.menu.ca"
"243";"618";"cobourg.originalspaghettihouse.com"
"244";"626";"lakefield.originalspaghettihouse.com"
"245";"627";"peterborough.originalspaghettihouse.com"
"246";"636";"spiceindiannepalesecuisine.menu.ca"
"247";"636";"spiceindiannepalesecuisine.ca"
"248";"636";"spiceforme.com"
"249";"398";"pappassouvlaki.com"
"250";"398";"pappassouvlaki.menu.ca"
"251";"400";"bashalaprairie.com"
"252";"400";"bashalaprairie.menu.ca"
"253";"417";"sushipresselasalle.ca"
"254";"417";"sushipresselasalle.menu.ca"
"255";"767";"pizzaboyzshawarma.com"
"256";"767";"order.pizzaboyzshawarma.com"
"257";"752";"donald.palermopizzeria.ca"
"258";"759";"jumbochinesefoods.menu.ca"
"259";"613";"walkley.papajoesfriedchicken.ca"
"260";"643";"galopiripiri.menu.ca"
"261";"643";"order.galopiripiri.com"
"262";"418";"bashasthilaire.ca"
"263";"418";"bashasthilaire.menu.ca"
"264";"518";"order.sushiya.ca"
"265";"474";"chicken-licious.ca"
"266";"474";"chicken-licious.menu.ca"
"267";"545";"cassecroutequebec.ca"
"268";"545";"cassecroutequebec.menu.ca"
"269";"495";"portuguesechickenguys.ca"
"270";"495";"portuguesechickenguys.menu.ca"
"271";"304";"orderkanata.hockeysushi.com"
"272";"304";"hockeysushi.menu.ca"
"273";"461";"graziepizza.ca"
"274";"461";"graziekitchen.com"
"275";"459";"indirascaribbeanspot.ca"
"276";"533";"order.bajagrill.ca"
"277";"533";"bajagrill.menu.ca"
"278";"798";"mltdwn.menu.ca"
"279";"799";"corianderthai.menu.ca"
"280";"797";"clocktowerwestboro.menu.ca"
"281";"796";"elginstreetdiner.menu.ca"
"282";"439";"misorestaurant.ca"
"283";"439";"misorestaurant.menu.ca"
"284";"72";"wokbistro.menu.ca"
"285";"72";"wokbistro.ca"
"286";"72";"lou.servehttp.com"
"287";"737";"papazpizza.net"
"288";"358";"grecoonbank.ca"
"289";"835";"restaurantbambou.menu.ca"
"290";"829";"annathai.menu.ca"
"291";"454";"ramigab.ca"
"292";"454";"ramigab.menu.ca"
"293";"520";"taptapexpress.com"
"294";"520";"taptapexpress.menu.ca"
"295";"766";"possimplicity.menu.ca"
"296";"848";"prodelapizza.ca"
"297";"501";"baidusushi.ca"
"298";"501";"baidusushi.menu.ca"
"299";"650";"blairprincegourmet.menu.ca"
"300";"565";"zoneshishtaouk.ca"
"301";"813";"phosaigonexpress.ca"
"302";"812";"tastyburgergrill.menu.ca"
"303";"794";"lenewyorkais.ca"
"304";"786";"hull.petitperu.ca"
"305";"692";"sopranospizzaottawa.ca"
"306";"692";"sopranospizzaottawa.menu.ca"
"307";"692";"sopranospizzaottawa.com"
"308";"352";"poukhamthai.com"
"309";"614";"poutinerie.ca"
"310";"614";"poutinerie.menu.ca"
"311";"866";"andalos.menu.ca"
"312";"746";"pitabell.menu.ca"
"313";"746";"pitabell.ca"
"314";"237";"shawarmasking.menu.ca"
"315";"774";"ottawa.petitperu.ca"
"316";"774";"petitperu.ca"
"317";"828";"!phovanvan.menu.ca"
"318";"732";"mpizza2go.com"
"319";"732";"mpizza2go.menu.ca"
"320";"875";"papayevertecc.menu.ca"
"321";"802";"andaloselgin.menu.ca"
"322";"793";"goldenfries.menu.ca"
"323";"820";"karunacafeottawa.ca"
"324";"910";"ottawabeerman2.menu.ca"
"325";"287";"cafedelishottawa.ca"
"326";"920";"twistedpita.ca"
"327";"615";"order.ladolcevitapreston.com"
"328";"880";"pilos.menu.ca"
"329";"769";"originalburger.ca"
"330";"878";"pizzarun.run"
"331";"612";"bronson.papajoesfriedchicken.ca"
"332";"761";"prestongreenpapaya.menu.ca"
"333";"915";"order.lulushawarmaandgrill.com"
"334";"729";"palermopizzeria.ca"
"335";"888";"order.johnjuan.ca"
"336";"888";"johnjuancc.menu.ca"
"337";"448";"phoebepizza.ca"
"338";"951";"ogilviepizzaottawa.com"
"339";"930";"pizzamaisonneuve.com"
"340";"930";"pizzamaisonneuve.menu.ca"
"341";"175";"vanierpizza.menu.ca"
"342";"175";"vanierpizza.ca"
"343";"912";"thepizzacorner.ca"
"344";"808";"wylie.milanopizzeria.ca"
"345";"838";"desflandres.pizzamarina.ca"
"346";"758";"desflandres.papagrecque.com"
"347";"973";"amiccipizza.menu.ca"
