"id";"added_by";"added_on";"name";"active";"pending";"suspend_operation";"suspended_at"
72;0;"";"Wok Bistro Noodles Bar and Grill (TEST)";"Y";"n";0;0
73;0;"";"Sushi Help (TEST)";"N";"n";0;0
79;0;"";"Oriental Chu Shing Restaurant";"N";"n";0;0
81;0;"";"Pizza Shark";"N";"n";0;0
82;0;"";"Cedar Valley";"N";"n";0;0
87;0;"";"Kanata Noodle House dropped";"N";"n";0;0
89;0;"";"Imilio's Pizzeria";"Y";"n";0;0
90;0;"";"Lucky Star Chinese Food";"Y";"n";0;0
91;0;"";"Ho Ho Restaurant";"N";"n";0;0
92;0;"";"Salito Gourmet Specialty Pizza (DROPPED)";"N";"n";0;0
93;0;"";"Hello Sushi Man";"N";"n";0;0
94;0;"";"Mama Rosa";"Y";"n";1;1757638565
95;18;"";"Papa Joe's Pizza - Downtown";"Y";"n";0;0
96;18;"";"Kal's Place Restaurant";"N";"n";0;0
101;18;"";"New Mee Fung Restaurant";"Y";"n";0;0
109;18;"";"Papa Joe's Pizza - Greely & Findlay Creek";"Y";"n";0;0
110;18;"";"Papa Joe's Pizza ( now house of pizza only)";"N";"n";0;0
111;18;"";"Papa Joe's Pizza";"N";"n";0;0
112;18;"";"Milano INACTIVE Baxter - Iris - Cobden 3";"Y";"n";0;0
113;18;"";"Gladstone Golden Grill (Dropped)";"N";"n";0;0
114;18;"";"Pizza Lime";"Y";"n";0;0
117;11;"";"House of Lasagna";"Y";"n";0;0
118;18;"";"Pita Pit";"N";"n";0;0
120;21;"";"Villa Pizzeria N The Greek Place";"N";"n";0;0
121;21;"";"Mandarin Court ( closed sold)";"N";"n";0;0
122;21;"";"Hungry Sammys(sold)";"N";"n";0;0
123;21;"";"New Shawarma King";"N";"n";0;0
124;21;"";"Eastview Pizza";"Y";"n";0;0
125;21;"";"Pizza Palace And Cafe (dropped)";"N";"n";0;0
126;21;"";"Vanier Grill";"N";"n";0;0
127;21;"";"Milano";"Y";"n";0;0
128;21;"";"NY Pizza";"N";"n";1;1670550626
130;21;"";"Bien Pho Vietnamese and Thai Cuisine";"Y";"n";1;1717200590
131;21;"";"Pizza Express Extra";"N";"n";0;0
132;21;"";"Mozza Pizza Gatineau";"Y";"n";0;0
133;21;"";"Taj Indian Cuisine";"N";"n";0;0
134;21;"";"House of Pizza";"Y";"n";0;0
135;21;"";"Preston Pizza (CHANGED TO XTREME PIZZA)";"N";"n";0;0
136;21;"";"Lemon Grass Thai Food";"N";"n";0;0
137;21;"";"Yang Sheng Restaurant";"N";"n";0;1664759575
138;21;"";"East India Co";"N";"n";0;0
140;21;"";"Cypress Garden";"Y";"n";0;1738778869
141;21;"";"Liu's Cuisine (DROPPED)";"N";"n";0;0
142;21;"";"Kiki Lebanese Pineview Pizza";"Y";"n";0;0
143;21;"";"Bobbie's Pizza & Subs";"Y";"n";0;0
144;18;"";"Koi Asia (CLOSED)";"N";"n";0;0
145;21;"";"Mr Mozzarella - Nepean";"Y";"n";0;1736701488
146;21;"";"Merivale Pizza & Wings";"Y";"n";0;0
150;21;"";"Mom's Chicken";"N";"n";0;0
151;21;"";"Shawarma House";"N";"n";0;0
153;21;"";"Dino's & Donald's Pizza";"N";"n";0;0
154;18;"";"Wing Hing Chinese Food";"N";"n";0;0
155;21;"";"Greekos";"N";"n";0;0
157;21;"";"House of Pizza";"Y";"n";0;0
161;21;"";"Milano";"Y";"n";0;0
162;21;"";"House of Pizza";"N";"n";0;0
164;21;"";"Milano";"Y";"n";0;0
171;21;"";"Greekos Souvlaki & Pizza (closed)";"N";"n";0;0
172;21;"";"Milano";"Y";"n";0;0
173;21;"";"Roulas Grecque et Pizza";"Y";"n";0;0
174;21;"";"Joe's Pizza and Subs";"N";"n";0;0
