"id";"v1_id";"added_by";"added_at";"suspend_operation";"suspended_at";"name";"active";"pending";"updated_at";"updated_by"
1;0;1;"2016-02-13 08:38:34";"";0;"RDFYjolff";"y";"y";"";0
1025;72;1;"2016-02-25 08:08:34";"0";0;"Wok Bistro Noodles Bar and Grill (TEST)";"n";"n";"";0
1026;73;1;"2016-02-25 08:08:34";"0";0;"Sushi Help (TEST)";"n";"n";"";0
1027;79;0;"2016-02-25 08:08:34";"0";0;"Oriental Chu Shing Restaurant";"n";"n";"";0
1028;81;0;"2016-02-25 08:08:34";"0";0;"Pizza Shark";"n";"n";"";0
1029;82;0;"2016-02-25 08:08:34";"0";0;"Cedar Valley";"n";"n";"";0
1030;87;0;"2016-02-25 08:08:34";"0";0;"Kanata Noodle House";"n";"n";"";0
1031;0;0;"2016-02-25 08:08:34";"0";0;"Imilio's Pizzeria";"n";"n";"";0
1032;90;0;"2016-02-25 08:08:34";"0";0;"Lucky Star Chinese Food";"n";"y";"";0
1033;91;0;"2016-02-25 08:08:34";"0";0;"Ho Ho Restaurant";"n";"n";"";0
1034;92;0;"2016-02-25 08:08:34";"0";0;"Salito Gourmet Specialty Pizza (DROPPED)";"n";"n";"";0
1035;93;0;"2016-02-25 08:08:34";"0";0;"Hello Sushi Man";"n";"n";"";0
1036;94;0;"2016-02-25 08:08:34";"0";0;"Mama Rosa";"n";"n";"";0
1037;95;0;"2016-02-25 08:08:34";"0";0;"Papa Joe's Pizza - Downtown";"n";"n";"";0
1038;96;0;"2016-02-25 08:08:34";"0";0;"Kal's Place Restaurant";"n";"n";"";0
1039;101;0;"2016-02-25 08:08:34";"0";0;"New Mee Fung Restaurant";"n";"n";"";0
1040;109;0;"2016-02-25 08:08:34";"0";0;"Papa Joe's Pizza - Greely & Findlay Creek";"n";"n";"";0
1041;0;0;"2016-02-25 08:08:34";"0";0;"Papa Joe's Pizza - Alta Vista";"n";"n";"";0
1042;111;0;"2016-02-25 08:08:34";"0";0;"Papa Joe's Pizza";"n";"n";"";0
1043;0;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1044;113;0;"2016-02-25 08:08:34";"0";0;"Gladstone Golden Grill (Dropped)";"n";"n";"";0
1045;0;0;"2016-02-25 08:08:34";"0";0;"Pizza Lime";"n";"n";"";0
1046;117;0;"2016-02-25 08:08:34";"0";0;"House of Lasagna";"n";"n";"";0
1047;118;0;"2016-02-25 08:08:34";"0";0;"Pita Pit";"n";"n";"";0
1048;120;0;"2016-02-25 08:08:34";"0";0;"Villa Pizzeria N The Greek Place";"n";"n";"";0
1049;121;0;"2016-02-25 08:08:34";"0";0;"Mandarin Court ( closed sold)";"n";"n";"";0
1050;122;0;"2016-02-25 08:08:34";"0";0;"Hungry Sammys(sold)";"n";"n";"";0
1051;123;0;"2016-02-25 08:08:34";"0";0;"New Shawarma King";"n";"n";"";0
1052;124;0;"2016-02-25 08:08:34";"0";0;"Eastview Pizza";"n";"n";"";0
1053;125;0;"2016-02-25 08:08:34";"0";0;"Pizza Palace And Cafe (dropped)";"n";"n";"";0
1054;126;0;"2016-02-25 08:08:34";"0";0;"Vanier Grill";"n";"n";"";0
1055;127;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1056;128;0;"2016-02-25 08:08:34";"0";0;"Golden Crust Pizzeria";"n";"n";"";0
1057;130;0;"2016-02-25 08:08:34";"0";0;"Bien Pho Vietnamese and Thai Cuisine";"n";"n";"";0
1058;131;0;"2016-02-25 08:08:34";"0";0;"Pizza Express Extra";"n";"n";"";0
1059;132;0;"2016-02-25 08:08:34";"0";0;"Mozza Pizza";"n";"n";"";0
1060;133;0;"2016-02-25 08:08:34";"0";0;"Taj Indian Cuisine";"n";"n";"";0
1061;134;0;"2016-02-25 08:08:34";"0";0;"House of Pizza";"n";"n";"";0
1062;135;0;"2016-02-25 08:08:34";"0";0;"Preston Pizza (CHANGED TO XTREME PIZZA)";"n";"n";"";0
1063;136;0;"2016-02-25 08:08:34";"0";0;"Lemon Grass Thai Food";"n";"n";"";0
1064;137;0;"2016-02-25 08:08:34";"0";0;"Yang Sheng Restaurant";"n";"y";"";0
1065;138;0;"2016-02-25 08:08:34";"0";0;"East India Co";"n";"n";"";0
1066;140;0;"2016-02-25 08:08:34";"0";0;"Cypress Garden";"n";"y";"";0
1067;0;0;"2016-02-25 08:08:34";"0";0;"Liu's Cuisine";"n";"n";"";0
1068;142;0;"2016-02-25 08:08:34";"0";0;"Kiki Lebanese Pineview Pizza";"n";"n";"";0
1069;143;0;"2016-02-25 08:08:34";"0";0;"Bobbie's Pizza & Subs";"n";"n";"";0
1070;144;0;"2016-02-25 08:08:34";"0";0;"Koi Asia (CLOSED)";"n";"n";"";0
1071;145;0;"2016-02-25 08:08:34";"0";0;"Mr Mozzarella - Nepean";"n";"n";"";0
1072;146;0;"2016-02-25 08:08:34";"0";0;"Merivale Pizza & Wings";"n";"n";"";0
1073;0;0;"2016-02-25 08:08:34";"0";0;"Mom's Chicken ( closed)";"n";"n";"";0
1074;151;0;"2016-02-25 08:08:34";"0";0;"Shawarma House";"n";"n";"";0
1075;153;0;"2016-02-25 08:08:34";"0";0;"Dino's & Donald's Pizza";"n";"n";"";0
1076;154;0;"2016-02-25 08:08:34";"0";0;"Wing Hing Chinese Food";"n";"n";"";0
1077;155;0;"2016-02-25 08:08:34";"0";0;"Greekos";"n";"n";"";0
1078;157;0;"2016-02-25 08:08:34";"0";0;"House of Pizza";"n";"n";"";0
1079;161;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
