"id";"v1_id";"address";"zip";"city_id";"province_id";"phone";"email";"lat";"lng";"active";"updated_at"
"1";"0";"3137 Laguna Street";"A1A 2A3";"9";"3";"(555) 666-0605";"testing@example.com";"999.9999999";"1.0";"y";""
"1025";"72";"1615 Orleans Blvd. ";"";"10";"3";"";"";"45.4609985";"-75.5239029";"n";""
"1026";"73";"600 Terry Fox Drive";"K2L 4B6";"9";"3";"(123) 456-7890";"stefan@menu.ca";"45.2997054";"-75.9048498";"n";""
"1027";"79";"691 Somerset St W";"";"9";"3";"";"";"45.4110985";"-75.7069016";"n";""
"1028";"81";"569 Gladstone";"";"9";"3";"";"";"45.4094009";"-75.7003021";"n";""
"1029";"82";"1615 Orleans Blvd.";"";"10";"3";"";"";"45.4609985";"-75.5239029";"n";""
"1030";"87";"500 Hazeldean Rd";"";"4";"3";"";"";"45.2938995";"-75.8946991";"n";""
"1031";"0";"110 Bearbrook Road";"K1B 5R2";"22";"3";"(072) 045-6789";"";"45.4319";"-75.5654984";"n";""
"1032";"90";"1615 Orleans Blvd.";"K1C 7E2";"9";"3";"(613) 830-1808";"noemail@noemail.com";"45.4609985";"-75.5239029";"n";""
"1033";"91";"875 Richmond Rd";"";"9";"3";"";"";"45.3792992";"-75.7733994";"n";""
"1034";"92";"223 Laurier Avenue East";"";"9";"3";"";"";"45.4259987";"-75.6817017";"n";""
"1035";"93";"3885 Innes Road";"";"10";"3";"";"";"45.4530983";"-75.5112";"n";""
"1036";"94";"375 Des Epinettes Ave";"";"10";"3";"";"";"45.4656982";"-75.4953995";"n";""
"1037";"95";"527 Bronson Ave";"";"9";"3";"";"";"45.4059982";"-75.7025986";"n";""
"1038";"96";"5517 Hazeldean Rd";"";"15";"3";"";"";"45.2863998";"-75.9068985";"n";""
"1039";"101";"350 Booth St";"K1R 7K1";"9";"3";"(613) 567-8228";"noemail@noemail.ca";"45.4073982";"-75.7098007";"n";""
"1040";"109";"5669 Bank St";"";"9";"3";"";"";"45.2771988";"-75.5682983";"n";""
"1041";"0";"1574 Walkley Rd";"";"9";"3";"";"";"45.3768997";"-75.6471024";"n";""
"1042";"111";"127 Bridge St";"";"14";"3";"";"";"45.2230988";"-76.1949005";"n";""
"1043";"0";"1143 Baxter Rd";"";"9";"3";"";"";"45.350399";"-75.7819977";"n";""
"1044";"113";"523 Gladstone Ave";"";"9";"3";"";"";"45.410099";"-75.6987991";"n";""
"1045";"0";"277  Bank St. Ottawa";"";"9";"3";"";"";"45.350399";"-75.7819977";"n";""
"1046";"117";"984 Merivale Rd";"";"9";"3";"";"";"45.3810005";"-75.7332001";"n";""
"1047";"118";"373 Dalhousie St";"";"9";"3";"";"";"45.4276009";"-75.6899033";"n";""
"1048";"120";"1009 Merivale Rd";"";"9";"3";"";"";"45.3793983";"-75.7331009";"n";""
"1049";"121";"1374 Baseline Rd";"";"9";"3";"";"";"45.3624992";"-75.7369995";"n";""
"1050";"122";"4000 Bridle Path Dr";"";"9";"3";"";"";"45.3487015";"-75.645401";"n";""
"1051";"123";"530 Rideau St";"";"9";"3";"";"";"45.4320984";"-75.677803";"n";""
"1052";"124";"251 Montreal Rd";"";"9";"3";"";"";"45.4362984";"-75.6613007";"n";""
"1053";"125";"411 McArthur Ave";"";"9";"3";"";"";"45.4322014";"-75.6483002";"n";""
"1054";"126";"159 Montreal Rd";"";"18";"3";"";"";"45.4347992";"-75.6651001";"n";""
"1055";"127";"876 Montreal Rd.";"";"9";"3";"";"";"45.4462013";"-75.6308975";"n";""
"1056";"128";"353 St Laurent Blvd";"";"9";"3";"";"";"45.4491005";"-75.6511993";"n";""
"1057";"130";"5929 Jeanne D'Arc Blvd S";"";"9";"3";"";"";"45.464901";"-75.5409012";"n";""
"1058";"131";"175, boul Maloney E";"";"21";"4";"";"";"45.4840012";"-75.649498";"n";""
"1059";"132";"425, boul La V�rendrye E";"";"21";"4";"";"";"45.5009003";"-75.6425018";"n";""
"1060";"133";"3009 Carling Ave";"";"9";"3";"";"";"45.3552017";"-75.8052979";"n";""
"1061";"134";"6505 Jeanne D'Arc Blvd. N.";"";"10";"3";"";"";"45.4793015";"-75.5361023";"n";""
"1062";"135";"125 Preston Street ";"";"9";"3";"";"";"45.4081001";"-75.7138977";"n";""
"1063";"136";"1055 Somerset St W";"";"9";"3";"";"";"45.4067993";"-75.719902";"n";""
"1064";"137";"662 Somerset St W";"K1R 5K4";"9";"3";"(613) 216-1220";"no@no.ca";"45.411499";"-75.7054977";"n";""
"1065";"138";"210 Somerset St W";"";"9";"3";"";"";"45.4171982";"-75.6913986";"n";""
"1066";"140";"937 Carling Ave";"K1Y 4E4";"9";"3";"(613) 728-3749";"noemail@noemail.com";"45.3953018";"-75.7132034";"n";""
"1067";"0";"3570 Strandherd Dr";"";"9";"3";"";"";"45.2747993";"-75.7368011";"n";""
"1068";"142";"2045 Meadowbrook Rd";"";"9";"3";"";"";"45.4269981";"-75.6009979";"n";""
"1069";"143";"1443 Ogilvie Rd";"";"9";"3";"";"";"45.4317017";"-75.6183014";"n";""
"1070";"144";"2006 Robertson Rd";"";"17";"3";"";"";"45.3246002";"-75.8271027";"n";""
"1071";"145";"1433 Woodroffe Ave";"";"17";"3";"";"";"45.3418999";"-75.7559967";"n";""
"1072";"146";"1610 Merivale Rd";"";"17";"3";"";"";"45.3483009";"-75.7322998";"n";""
"1073";"0";"2795 St. Joseph Blvd";"";"10";"3";"";"";"45.4734001";"-75.5205994";"n";""
"1074";"151";"3059 Carling Ave";"K2L 4B6";"9";"3";"(072) 045-6789";"";"45.3544006";"-75.8071976";"n";""
