"id","v1_id","restaurant_owner_id","francize_id","added_by","added_at","vendor_id","printer_id","suspend_operation","suspended_at","name","address","zip","city_id","province_id","phone","email","lat","lng","disabled_by","disabled_at","active","pending","coming_soon","vacation","vacation_start","vacation_stop","suspend_ordering","suspend_ordering_start","suspend_ordering_stop","restaurant_type_id","slug","price_range","app_or_printer","contract_fee","updated_at","updated_by"
1,,0,0,1,"2016-02-13 13:38:34",,,"",,"RDFYjolff","3137 Laguna Street","a1a2a3",9,3,"(555) 666-0605","testing@example.com",999.9999999,1.0000000,1,"2019-04-25 11:22:55","y","y","y","n","0000-00-00","0000-00-00","n","0000-00-00 00:00:00","0000-00-00 00:00:00",1,"rdfyjolff",1,"app",,,
1025,72,0,0,1,"2016-02-25 13:08:34",,,"0",,"Wok Bistro Noodles Bar and Grill (TEST)","1615 Orleans Blvd. ",,10,3,,,45.4609985,-75.5239029,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1026,73,0,0,1,"2016-02-25 13:08:34",,,"0",,"Sushi Help (TEST)","600 Terry Fox Drive","k2l-4b6",9,3,"(123) 456-7890","stefan@menu.ca",45.2997054,-75.9048498,1,"2017-12-20 16:41:40","n","n","n","n","0000-00-00","0000-00-00","n","0000-00-00 00:00:00","0000-00-00 00:00:00",1,"sushi-help-test",4,"app",,,
1027,79,0,0,0,"2016-02-25 13:08:34",,,"0",,"Oriental Chu Shing Restaurant","691 Somerset St W",,9,3,,,45.4110985,-75.7069016,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1028,81,0,0,0,"2016-02-25 13:08:34",,,"0",,"Pizza Shark","569 Gladstone",,9,3,,,45.4094009,-75.7003021,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1029,82,0,0,0,"2016-02-25 13:08:34",,,"0",,"Cedar Valley","1615 Orleans Blvd.",,10,3,,,45.4609985,-75.5239029,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1030,87,0,0,0,"2016-02-25 13:08:34",,,"0",,"Kanata Noodle House","500 Hazeldean Rd",,4,3,,,45.2938995,-75.8946991,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1031,,0,0,0,"2016-02-25 13:08:34",,,"0",,"Imilio's Pizzeria","110 Bearbrook Road","K1B-5R2",22,3,"(072) 045-6789","",45.4319000,-75.5654984,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1032,90,0,0,0,"2016-02-25 13:08:34",,,"0",,"Lucky Star Chinese Food","1615 Orleans Blvd.","K1C-7E2",9,3,"(613) 830-1808","noemail@noemail.com",45.4609985,-75.5239029,44,"2022-03-02 19:26:12","n","y","y","n",,,"n",,,3,"lucky-star-chinese-food",0,"app",,,
1033,91,0,0,0,"2016-02-25 13:08:34",,,"0",,"Ho Ho Restaurant","875 Richmond Rd",,9,3,,,45.3792992,-75.7733994,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1034,92,0,0,0,"2016-02-25 13:08:34",,,"0",,"Salito Gourmet Specialty Pizza (DROPPED)","223 Laurier Avenue East",,9,3,,,45.4259987,-75.6817017,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1035,93,0,0,0,"2016-02-25 13:08:34",,,"0",,"Hello Sushi Man","3885 Innes Road",,10,3,,,45.4530983,-75.5112000,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1036,94,0,0,0,"2016-02-25 13:08:34",,,"0",,"Mama Rosa","375 Des Epinettes Ave",,10,3,,,45.4656982,-75.4953995,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1037,95,0,0,0,"2016-02-25 13:08:34",,,"0",,"Papa Joe's Pizza - Downtown","527 Bronson Ave",,9,3,,,45.4059982,-75.7025986,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1038,96,0,0,0,"2016-02-25 13:08:34",,,"0",,"Kal's Place Restaurant","5517 Hazeldean Rd",,15,3,,,45.2863998,-75.9068985,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1039,101,0,0,0,"2016-02-25 13:08:34",,,"0",,"New Mee Fung Restaurant","350 Booth St","K1R-7K1",9,3,"(613) 567-8228","noemail@noemail.ca",45.4073982,-75.7098007,1,"2023-03-29 19:01:10","n","n","n","n",,,"n",,,,"new-mee-fung",0,"app",,,
1040,109,0,0,0,"2016-02-25 13:08:34",,,"0",,"Papa Joe's Pizza - Greely & Findlay Creek","5669 Bank St",,9,3,,,45.2771988,-75.5682983,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1041,,0,0,0,"2016-02-25 13:08:34",,,"0",,"Papa Joe's Pizza - Alta Vista","1574 Walkley Rd",,9,3,,,45.3768997,-75.6471024,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1042,111,0,0,0,"2016-02-25 13:08:34",,,"0",,"Papa Joe's Pizza","127 Bridge St",,14,3,,,45.2230988,-76.1949005,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1043,,0,0,0,"2016-02-25 13:08:34",,,"0",,"Milano","1143 Baxter Rd",,9,3,,,45.3503990,-75.7819977,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1044,113,0,0,0,"2016-02-25 13:08:34",,,"0",,"Gladstone Golden Grill (Dropped)","523 Gladstone Ave",,9,3,,,45.4100990,-75.6987991,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1045,,0,0,0,"2016-02-25 13:08:34",,,"0",,"Pizza Lime","277  Bank St. Ottawa",,9,3,,,45.3503990,-75.7819977,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1046,117,0,0,0,"2016-02-25 13:08:34",,,"0",,"House of Lasagna","984 Merivale Rd",,9,3,,,45.3810005,-75.7332001,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1047,118,0,0,0,"2016-02-25 13:08:34",,,"0",,"Pita Pit","373 Dalhousie St",,9,3,,,45.4276009,-75.6899033,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1048,120,0,0,0,"2016-02-25 13:08:34",,,"0",,"Villa Pizzeria N The Greek Place","1009 Merivale Rd",,9,3,,,45.3793983,-75.7331009,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1049,121,0,0,0,"2016-02-25 13:08:34",,,"0",,"Mandarin Court ( closed sold)","1374 Baseline Rd",,9,3,,,45.3624992,-75.7369995,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1050,122,0,0,0,"2016-02-25 13:08:34",,,"0",,"Hungry Sammys(sold)","4000 Bridle Path Dr",,9,3,,,45.3487015,-75.6454010,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1051,123,0,0,0,"2016-02-25 13:08:34",,,"0",,"New Shawarma King","530 Rideau St",,9,3,,,45.4320984,-75.6778030,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1052,124,0,0,0,"2016-02-25 13:08:34",,,"0",,"Eastview Pizza","251 Montreal Rd",,9,3,,,45.4362984,-75.6613007,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1053,125,0,0,0,"2016-02-25 13:08:34",,,"0",,"Pizza Palace And Cafe (dropped)","411 McArthur Ave",,9,3,,,45.4322014,-75.6483002,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1054,126,0,0,0,"2016-02-25 13:08:34",,,"0",,"Vanier Grill","159 Montreal Rd",,18,3,,,45.4347992,-75.6651001,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1055,127,0,0,0,"2016-02-25 13:08:34",,,"0",,"Milano","876 Montreal Rd.",,9,3,,,45.4462013,-75.6308975,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1056,128,0,0,0,"2016-02-25 13:08:34",,,"0",,"Golden Crust Pizzeria","353 St Laurent Blvd",,9,3,,,45.4491005,-75.6511993,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1057,130,0,0,0,"2016-02-25 13:08:34",,,"0",,"Bien Pho Vietnamese and Thai Cuisine","5929 Jeanne D'Arc Blvd S",,9,3,,,45.4649010,-75.5409012,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1058,131,0,0,0,"2016-02-25 13:08:34",,,"0",,"Pizza Express Extra","175, boul Maloney E",,21,4,,,45.4840012,-75.6494980,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1059,132,0,0,0,"2016-02-25 13:08:34",,,"0",,"Mozza Pizza","425, boul La Vérendrye E",,21,4,,,45.5009003,-75.6425018,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1060,133,0,0,0,"2016-02-25 13:08:34",,,"0",,"Taj Indian Cuisine","3009 Carling Ave",,9,3,,,45.3552017,-75.8052979,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1061,134,0,0,0,"2016-02-25 13:08:34",,,"0",,"House of Pizza","6505 Jeanne D'Arc Blvd. N.",,10,3,,,45.4793015,-75.5361023,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1062,135,0,0,0,"2016-02-25 13:08:34",,,"0",,"Preston Pizza (CHANGED TO XTREME PIZZA)","125 Preston Street ",,9,3,,,45.4081001,-75.7138977,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1063,136,0,0,0,"2016-02-25 13:08:34",,,"0",,"Lemon Grass Thai Food","1055 Somerset St W",,9,3,,,45.4067993,-75.7199020,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1064,137,0,0,0,"2016-02-25 13:08:34",,,"0",,"Yang Sheng Restaurant","662 Somerset St W","K1R 5K4",9,3,"(613) 216-1220","no@no.ca",45.4114990,-75.7054977,44,"2022-03-16 16:52:39","n","y","y","n",,,"n",,,3,"yang-sheng-restaurant",0,"app",,,
1065,138,0,0,0,"2016-02-25 13:08:34",,,"0",,"East India Co","210 Somerset St W",,9,3,,,45.4171982,-75.6913986,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1066,140,0,0,0,"2016-02-25 13:08:34",,,"0",,"Cypress Garden","937 Carling Ave","K1Y-4E4",9,3,"(613) 728-3749","noemail@noemail.com",45.3953018,-75.7132034,44,"2022-02-13 22:31:23","n","y","y","n",,,"n",,,3,"cypress-garden",0,"app",,,
1067,,0,0,0,"2016-02-25 13:08:34",,,"0",,"Liu's Cuisine","3570 Strandherd Dr",,9,3,,,45.2747993,-75.7368011,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1068,142,0,0,0,"2016-02-25 13:08:34",,,"0",,"Kiki Lebanese Pineview Pizza","2045 Meadowbrook Rd",,9,3,,,45.4269981,-75.6009979,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1069,143,0,0,0,"2016-02-25 13:08:34",,,"0",,"Bobbie's Pizza & Subs","1443 Ogilvie Rd",,9,3,,,45.4317017,-75.6183014,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1070,144,0,0,0,"2016-02-25 13:08:34",,,"0",,"Koi Asia (CLOSED)","2006 Robertson Rd",,17,3,,,45.3246002,-75.8271027,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1071,145,0,0,0,"2016-02-25 13:08:34",,,"0",,"Mr Mozzarella - Nepean","1433 Woodroffe Ave",,17,3,,,45.3418999,-75.7559967,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1072,146,0,0,0,"2016-02-25 13:08:34",,,"0",,"Merivale Pizza & Wings","1610 Merivale Rd",,17,3,,,45.3483009,-75.7322998,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1073,,0,0,0,"2016-02-25 13:08:34",,,"0",,"Mom's Chicken ( closed)","2795 St. Joseph Blvd",,10,3,,,45.4734001,-75.5205994,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1074,151,0,0,0,"2016-02-25 13:08:34",,,"0",,"Shawarma House","3059 Carling Ave","k2l4b6",9,3,"(072) 045-6789","",45.3544006,-75.8071976,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1075,153,0,0,0,"2016-02-25 13:08:34",,,"0",,"Dino's & Donald's Pizza","425 Donald St",,9,3,,,45.4285011,-75.6493988,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1076,154,0,0,0,"2016-02-25 13:08:34",,,"0",,"Wing Hing Chinese Food","2 Woodfield Dr",,17,3,,,45.3380013,-75.7260971,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1077,155,0,0,0,"2016-02-25 13:08:34",,,"0",,"Greekos","1224 Shillington Ave",,9,3,,,45.3805008,-75.7283020,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1078,157,0,0,0,"2016-02-25 13:08:34",,,"0",,"House of Pizza","1574 Walkley Rd",,9,3,,,45.3768997,-75.6471024,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1079,161,0,0,0,"2016-02-25 13:08:34",,,"0",,"Milano","1078 Merivale Rd",,9,3,,,45.3773003,-75.7332993,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1080,162,0,0,0,"2016-02-25 13:08:34",,,"0",,"House of Pizza","747 Richmond Rd",,9,3,,,45.3828011,-75.7698975,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1081,164,0,0,0,"2016-02-25 13:08:34",,,"0",,"Milano","3848 Innes Rd",,10,3,,,45.4514008,-75.5152969,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1082,171,0,0,0,"2016-02-25 13:08:34",,,"0",,"Greekos Souvlaki & Pizza (closed)","25 Tapiola Cres",,9,3,,,45.3637009,-75.6471024,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1083,172,0,0,0,"2016-02-25 13:08:34",,,"0",,"Milano","385 Tompkins Ave",,10,3,,,45.4771996,-75.4981995,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1084,173,0,0,0,"2016-02-25 13:08:34",,,"0",,"Opa's","245, rue de Cannes",,21,4,,,45.4902992,-75.7238998,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1085,174,0,0,0,"2016-02-25 13:08:34",,,"0",,"Joe's Pizza and Subs","68 Wylie Ave",,9,3,,,45.3545990,-75.8066025,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1086,175,0,0,0,"2016-02-25 13:08:34",,,"0",,"Vanier Pizza & Subs","201 Marier Ave",,18,3,,,45.4392014,-75.6632996,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1087,177,0,0,0,"2016-02-25 13:08:34",,,"0",,"Mr Mozzarella York","169 York St",,9,3,,,45.4299011,-75.6891022,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1088,178,0,0,0,"2016-02-25 13:08:34",,,"0",,"Willie's Chinese Food","2908 St. Joseph Blvd",,10,3,,,45.4746017,-75.5179977,,,"n","n","n","n",,,"n",,,,"",,"app",,,
1089,179,0,0,0,"2016-02-25 13:08:34",,,"0",,"Number One Chinese Take Out","988 Wellington St","K1Y 2X8",9,3,"(613) 722-5995","n@n.ca",45.4056015,-75.7227020,44,"2022-03-03 20:24:54","n","y","y","n",,,"n",,,3,"number-one-chinese",0,"app",,,
1090,180,0,0,0,"2016-02-25 13:08:34",,,"0",,"Elegant Pizza (Dropped)","250 Centrum Blvd",,10,3,,,45.4804001,-75.5104980,,,"n","n","n","n",,,"n",,,,"",,"app",,,
