id,restaurant_id,date_start,date_stop,schedule_type,reason,apply_to,enabled,added_by,added_at,updated_by,updated_at
9,1595,2019-07-09 05:50:05,2019-07-11 00:00:00,c,,t,n,1,2019-07-09 04:50:05,1,2024-01-03 15:18:34
10,1595,2020-02-28 15:46:50,2020-02-29 06:00:00,c,,d,n,1,2020-02-28 12:46:50,1,2024-01-03 15:18:19
11,1595,2020-02-28 15:47:31,2020-02-29 06:00:00,c,,d,n,1,2020-02-28 12:47:31,1,2024-01-03 15:18:19
12,1595,2020-02-28 15:47:51,2020-02-29 06:00:00,c,,t,n,1,2020-02-28 12:47:51,1,2024-01-03 15:18:34
13,1595,2020-02-28 15:48:05,2020-02-29 06:00:00,c,bad_weather,t,n,1,2020-02-28 12:48:05,1,2020-03-11 10:43:20
14,1595,2020-02-28 15:48:18,2020-02-29 06:00:00,c,vacation,t,n,1,2020-02-28 12:48:18,1,2020-03-11 10:45:12
15,1595,2020-03-02 12:30:00,2020-03-04 21:30:00,c,,t,n,1,2020-03-02 11:26:10,,
16,1595,2020-03-11 12:43:21,2020-03-12 01:00:00,c,bad_weather,t,n,1,2020-03-11 10:43:21,1,2020-03-11 10:44:41
17,1595,2020-03-11 12:44:43,2020-03-12 01:00:00,c,vacation,t,n,1,2020-03-11 10:44:43,1,2020-03-11 10:45:12
18,1595,2020-03-11 12:45:13,2020-03-12 01:00:00,c,bad_weather,t,n,1,2020-03-11 10:45:13,1,2020-03-11 10:47:38
19,1,2020-10-06 13:36:51,2020-10-07 03:00:00,c,,d,y,1,2020-10-06 09:36:51,,
20,1605,2020-10-06 13:37:06,2020-10-07 23:00:00,c,,d,y,1,2020-10-06 09:37:06,,
21,1605,2020-10-06 13:37:38,2020-10-07 23:00:00,c,,t,n,1,2020-10-06 09:37:38,1,2020-10-06 09:37:48
22,1605,2020-10-07 15:00:00,2020-10-08 03:00:00,c,,t,y,1,2020-10-06 09:37:40,,
23,1595,2021-11-29 14:30:00,2021-11-29 16:30:00,c,bad_weather,t,n,1,2021-11-29 08:18:50,1,2021-11-29 09:27:55
24,1595,2021-11-29 14:27:58,2021-11-30 08:00:00,c,bad_weather,t,n,1,2021-11-29 09:27:58,1,2021-11-29 10:00:10
25,1595,2021-11-29 15:00:17,2021-11-30 08:00:00,c,vacation,t,n,1,2021-11-29 10:00:17,1,2021-11-29 13:54:25
26,1638,2023-12-25 16:00:00,2024-01-01 13:00:00,c,,t,n,45,2023-12-24 10:04:03,,
27,1638,2023-12-25 16:00:00,2024-01-02 01:00:00,c,,t,y,45,2023-12-24 10:04:31,,
28,1595,2024-01-03 20:18:09,2024-01-04 04:00:00,c,,d,n,1,2024-01-03 15:18:09,1,2024-01-03 15:18:19
29,1595,2024-01-03 20:18:22,2024-01-04 04:00:00,c,,t,n,1,2024-01-03 15:18:22,1,2024-01-03 15:18:34
30,1595,2024-01-03 20:18:49,2024-01-04 04:00:00,c,,t,n,24,2024-01-03 15:18:49,24,2024-01-03 15:20:43
31,1595,2024-01-04 16:00:00,2024-01-05 04:00:00,c,,t,n,24,2024-01-03 15:21:45,24,2024-01-03 15:21:57
32,1639,2024-01-04 16:00:00,2024-01-05 03:00:00,c,,t,n,52,2024-01-03 19:06:50,24,2024-01-04 11:01:10
33,1639,2024-01-04 00:08:09,2024-01-04 02:00:00,c,,t,n,52,2024-01-03 19:08:09,24,2024-01-04 11:01:10
34,1595,2024-01-04 14:49:24,2024-01-05 04:00:00,c,bad_weather,t,n,1,2024-01-04 09:49:24,1,2024-01-04 09:49:47
35,1595,2024-01-04 14:49:51,2024-01-05 04:00:00,c,vacation,t,n,1,2024-01-04 09:49:51,1,2024-01-04 09:50:13
36,1595,2024-01-04 14:50:52,2024-01-05 04:00:00,c,,t,n,1,2024-01-04 09:50:52,1,2024-01-04 09:52:13
37,1595,2024-01-04 14:50:56,2024-01-05 04:00:00,c,,t,n,24,2024-01-04 09:50:56,1,2024-01-04 09:52:13
38,1595,2024-01-04 14:53:20,2024-01-05 04:00:00,c,,t,y,1,2024-01-04 09:53:20,,
39,1639,2024-01-04 16:01:23,2024-01-05 03:00:00,c,,t,n,24,2024-01-04 11:01:23,1,2024-01-04 11:11:04
40,1639,2024-01-04 16:15:11,2024-01-05 03:00:00,c,,t,n,52,2024-01-04 11:15:11,52,2024-01-04 11:15:32
41,1639,2024-01-05 02:40:52,2024-01-05 03:00:00,c,,t,y,52,2024-01-04 21:40:52,,
42,1595,2024-01-05 07:30:52,2024-01-06 08:00:00,c,bad_weather,t,n,1,2024-01-05 02:30:52,1,2024-01-05 02:31:44
