id,suspend_operation,suspended_at,coming_soon,vacation,vacation_start,vacation_stop,suspend_ordering,suspend_ordering_start,suspend_ordering_stop,active,pending
1,0,,1,2,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,0000-00-00 00:00:00,1,1
1025,2,,2,2,,,2,,,2,2
1026,2,,2,2,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,0000-00-00 00:00:00,2,2
1027,2,,2,2,,,2,,,2,2
1028,2,,2,2,,,2,,,2,2
1029,2,,2,2,,,2,,,2,2
1030,2,,2,2,,,2,,,2,2
1031,2,,2,2,,,2,,,2,2
1032,2,,1,2,,,2,,,2,1
1033,2,,2,2,,,2,,,2,2
1034,2,,2,2,,,2,,,2,2
1035,2,,2,2,,,2,,,2,2
1036,2,,2,2,,,2,,,2,2
1037,2,,2,2,,,2,,,2,2
1038,2,,2,2,,,2,,,2,2
1039,2,,2,2,,,2,,,2,2
1040,2,,2,2,,,2,,,2,2
1041,2,,2,2,,,2,,,2,2
1042,2,,2,2,,,2,,,2,2
1043,2,,2,2,,,2,,,2,2
1044,2,,2,2,,,2,,,2,2
1045,2,,2,2,,,2,,,2,2
1046,2,,2,2,,,2,,,2,2
1047,2,,2,2,,,2,,,2,2
1048,2,,2,2,,,2,,,2,2
1049,2,,2,2,,,2,,,2,2
1050,2,,2,2,,,2,,,2,2
1051,2,,2,2,,,2,,,2,2
1052,2,,2,2,,,2,,,2,2
1053,2,,2,2,,,2,,,2,2
1054,2,,2,2,,,2,,,2,2
1055,2,,2,2,,,2,,,2,2
1056,2,,2,2,,,2,,,2,2
1057,2,,2,2,,,2,,,2,2
1058,2,,2,2,,,2,,,2,2
1059,2,,2,2,,,2,,,2,2
1060,2,,2,2,,,2,,,2,2
1061,2,,2,2,,,2,,,2,2
1062,2,,2,2,,,2,,,2,2
1063,2,,2,2,,,2,,,2,2
1064,2,,1,2,,,2,,,2,1
1065,2,,2,2,,,2,,,2,2
1066,2,,1,2,,,2,,,2,1
1067,2,,2,2,,,2,,,2,2
1068,2,,2,2,,,2,,,2,2
1069,2,,2,2,,,2,,,2,2
1070,2,,2,2,,,2,,,2,2
1071,2,,2,2,,,2,,,2,2
1072,2,,2,2,,,2,,,2,2
1073,2,,2,2,,,2,,,2,2
1074,2,,2,2,,,2,,,2,2
1075,2,,2,2,,,2,,,2,2
1076,2,,2,2,,,2,,,2,2
1077,2,,2,2,,,2,,,2,2
1078,2,,2,2,,,2,,,2,2
1079,2,,2,2,,,2,,,2,2
1080,2,,2,2,,,2,,,2,2
1081,2,,2,2,,,2,,,2,2
1082,2,,2,2,,,2,,,2,2
1083,2,,2,2,,,2,,,2,2
1084,2,,2,2,,,2,,,2,2
1085,2,,2,2,,,2,,,2,2
1086,2,,2,2,,,2,,,2,2
1087,2,,2,2,,,2,,,2,2
1088,2,,2,2,,,2,,,2,2
1089,2,,1,2,,,2,,,2,1
1090,2,,2,2,,,2,,,2,2
1091,2,,2,2,,,2,,,2,2
1092,2,,2,2,,,2,,,2,2
1093,2,,2,2,,,2,,,2,2
1094,2,,2,2,,,2,,,2,2
1095,2,,2,2,,,2,,,2,2
1096,2,,1,2,,,2,,,2,1
1097,2,,2,2,,,2,,,2,2
1098,2,,2,2,,,2,,,2,2
1099,2,,2,2,,,2,,,2,2
1100,2,,2,2,,,2,,,2,2
1101,2,,2,2,,,2,,,2,2
1102,2,,2,2,,,2,,,2,2
1103,2,,2,2,,,2,,,2,2
1104,2,,2,2,,,2,,,2,2
1105,2,,2,2,,,2,,,2,2
1106,2,,2,2,,,2,,,2,2
1107,2,,2,2,,,2,,,2,2
1108,2,,2,2,,,2,,,2,2
1109,2,,2,2,,,2,,,2,2
1110,2,,2,2,,,2,,,2,2
1111,2,,2,2,,,2,,,2,2
1112,2,,2,2,,,2,,,2,2
1113,2,,2,2,,,2,,,2,2
1114,2,,2,2,,,2,,,2,2
