v2_id,v1_id,name,address
1,,RDFYjolff,3137 Laguna Street
1025,72,Wok Bistro Noodles Bar and Grill (TEST),1615 Orleans Blvd. 
1026,73,Sushi Help (TEST),600 Terry Fox Drive
1027,79,Oriental Chu Shing Restaurant,691 Somerset St W
1028,81,Pizza Shark,569 Gladstone
1029,82,Cedar Valley,1615 Orleans Blvd.
1030,87,Kanata Noodle House,500 Hazeldean Rd
1031,,Imilio\'s Pizzeria,110 Bearbrook Road
1032,90,Lucky Star Chinese Food,1615 Orleans Blvd.
1033,91,Ho Ho Restaurant,875 Richmond Rd
1034,92,Salito Gourmet Specialty Pizza (DROPPED),223 Laurier Avenue East
1035,93,Hello Sushi Man,3885 Innes Road
1036,94,Mama Rosa,375 Des Epinettes Ave
1037,95,Papa Joe\'s Pizza - Downtown,527 Bronson Ave
1038,96,Kal\'s Place Restaurant,5517 Hazeldean Rd
1039,101,New Mee Fung Restaurant,350 Booth St
1040,109,Papa Joe\'s Pizza - Greely & Findlay Creek,5669 Bank St
1041,,Papa Joe\'s Pizza - Alta Vista,1574 Walkley Rd
1042,111,Papa Joe\'s Pizza,127 Bridge St
1043,,Milano,1143 Baxter Rd
1044,113,Gladstone Golden Grill (Dropped),523 Gladstone Ave
1045,,Pizza Lime,277  Bank St. Ottawa
1046,117,House of Lasagna,984 Merivale Rd
1047,118,Pita Pit,373 Dalhousie St
1048,120,Villa Pizzeria N The Greek Place,1009 Merivale Rd
1049,121,Mandarin Court ( closed sold),1374 Baseline Rd
1050,122,Hungry Sammys(sold),4000 Bridle Path Dr
1051,123,New Shawarma King,530 Rideau St
1052,124,Eastview Pizza,251 Montreal Rd
1053,125,Pizza Palace And Cafe (dropped),411 McArthur Ave
1054,126,Vanier Grill,159 Montreal Rd
1055,127,Milano,876 Montreal Rd.
1056,128,Golden Crust Pizzeria,353 St Laurent Blvd
1057,130,Bien Pho Vietnamese and Thai Cuisine,5929 Jeanne D\'Arc Blvd S
1058,131,Pizza Express Extra,"175, boul Maloney E"
1059,132,Mozza Pizza,"425, boul La Vérendrye E"
1060,133,Taj Indian Cuisine,3009 Carling Ave
1061,134,House of Pizza,6505 Jeanne D\'Arc Blvd. N.
1062,135,Preston Pizza (CHANGED TO XTREME PIZZA),125 Preston Street 
1063,136,Lemon Grass Thai Food,1055 Somerset St W
1064,137,Yang Sheng Restaurant,662 Somerset St W
1065,138,East India Co,210 Somerset St W
1066,140,Cypress Garden,937 Carling Ave
1067,,Liu\'s Cuisine,3570 Strandherd Dr
1068,142,Kiki Lebanese Pineview Pizza,2045 Meadowbrook Rd
1069,143,Bobbie\'s Pizza & Subs,1443 Ogilvie Rd
1070,144,Koi Asia (CLOSED),2006 Robertson Rd
1071,145,Mr Mozzarella - Nepean,1433 Woodroffe Ave
1072,146,Merivale Pizza & Wings,1610 Merivale Rd
1073,,Mom\'s Chicken ( closed),2795 St. Joseph Blvd
1074,151,Shawarma House,3059 Carling Ave
1075,153,Dino\'s & Donald\'s Pizza,425 Donald St
1076,154,Wing Hing Chinese Food,2 Woodfield Dr
1077,155,Greekos,1224 Shillington Ave
1078,157,House of Pizza,1574 Walkley Rd
1079,161,Milano,1078 Merivale Rd
1080,162,House of Pizza,747 Richmond Rd
1081,164,Milano,3848 Innes Rd
1082,171,Greekos Souvlaki & Pizza (closed),25 Tapiola Cres
1083,172,Milano,385 Tompkins Ave
1084,173,Opa\'s,"245, rue de Cannes"
1085,174,Joe\'s Pizza and Subs,68 Wylie Ave
1086,175,Vanier Pizza & Subs,201 Marier Ave
1087,177,Mr Mozzarella York,169 York St
1088,178,Willie\'s Chinese Food,2908 St. Joseph Blvd
1089,179,Number One Chinese Take Out,988 Wellington St
1090,180,Elegant Pizza (Dropped),250 Centrum Blvd
1091,,Milano,2 Woodfield Dr
1092,182,Pizzeria Riverview,117 Rue Front
1093,183,Aylmer BBQ,"134, rue Principale"
