v1_id,has_delivery_area,status
132,UNKNOWN,not_in_dump
161,UNKNOWN,not_in_dump
173,UNKNOWN,not_in_dump
225,UNKNOWN,not_in_dump
228,UNKNOWN,not_in_dump
231,UNKNOWN,not_in_dump
238,UNKNOWN,not_in_dump
246,UNKNOWN,not_in_dump
323,UNKNOWN,not_in_dump
334,UNKNOWN,not_in_dump
346,UNKNOWN,not_in_dump
364,UNKNOWN,not_in_dump
411,UNKNOWN,not_in_dump
511,UNKNOWN,not_in_dump
669,UNKNOWN,not_in_dump
694,UNKNOWN,not_in_dump
695,UNKNOWN,not_in_dump
727,UNKNOWN,not_in_dump
758,UNKNOWN,not_in_dump
781,UNKNOWN,not_in_dump
782,UNKNOWN,not_in_dump
785,UNKNOWN,not_in_dump
789,UNKNOWN,not_in_dump
805,UNKNOWN,not_in_dump
807,UNKNOWN,not_in_dump
815,UNKNOWN,not_in_dump
817,UNKNOWN,not_in_dump
818,UNKNOWN,not_in_dump
824,UNKNOWN,not_in_dump
825,UNKNOWN,not_in_dump
830,UNKNOWN,not_in_dump
838,UNKNOWN,not_in_dump
840,UNKNOWN,not_in_dump
850,UNKNOWN,not_in_dump
856,UNKNOWN,not_in_dump
863,UNKNOWN,not_in_dump
865,UNKNOWN,not_in_dump
869,UNKNOWN,not_in_dump
872,UNKNOWN,not_in_dump
874,UNKNOWN,not_in_dump
879,UNKNOWN,not_in_dump
889,UNKNOWN,not_in_dump
913,UNKNOWN,not_in_dump
914,UNKNOWN,not_in_dump
937,UNKNOWN,not_in_dump
947,UNKNOWN,not_in_dump
948,UNKNOWN,not_in_dump
951,UNKNOWN,not_in_dump
952,UNKNOWN,not_in_dump
953,UNKNOWN,not_in_dump
959,UNKNOWN,not_in_dump
964,UNKNOWN,not_in_dump
965,UNKNOWN,not_in_dump
968,UNKNOWN,not_in_dump
973,UNKNOWN,not_in_dump
974,UNKNOWN,not_in_dump
983,UNKNOWN,not_in_dump
987,UNKNOWN,not_in_dump
989,UNKNOWN,not_in_dump
998,UNKNOWN,not_in_dump
1025,UNKNOWN,not_in_dump
1027,UNKNOWN,not_in_dump
1028,UNKNOWN,not_in_dump
1032,UNKNOWN,not_in_dump
1033,UNKNOWN,not_in_dump
1035,UNKNOWN,not_in_dump
1038,UNKNOWN,not_in_dump
1039,UNKNOWN,not_in_dump
1041,UNKNOWN,not_in_dump
1042,UNKNOWN,not_in_dump
1045,UNKNOWN,not_in_dump
1046,UNKNOWN,not_in_dump
1050,UNKNOWN,not_in_dump
1051,UNKNOWN,not_in_dump
1054,UNKNOWN,not_in_dump
1059,UNKNOWN,not_in_dump
1060,UNKNOWN,not_in_dump
1062,UNKNOWN,not_in_dump
1063,UNKNOWN,not_in_dump
1064,UNKNOWN,not_in_dump
1065,UNKNOWN,not_in_dump
1066,UNKNOWN,not_in_dump
1069,UNKNOWN,not_in_dump
1070,UNKNOWN,not_in_dump
1071,UNKNOWN,not_in_dump
1074,UNKNOWN,not_in_dump
1080,UNKNOWN,not_in_dump
1082,UNKNOWN,not_in_dump
1083,UNKNOWN,not_in_dump
1084,UNKNOWN,not_in_dump
1087,UNKNOWN,not_in_dump
1088,UNKNOWN,not_in_dump
1089,UNKNOWN,not_in_dump
1092,UNKNOWN,not_in_dump
1093,UNKNOWN,not_in_dump
1094,UNKNOWN,not_in_dump
1095,UNKNOWN,not_in_dump
