v1_id,v3_id,restaurant_name,delivery_enabled,min_order,delivery_time,multipleDeliveryArea,use_delivery_areas,deliveryArea_blob_length,delivery_schedule_blob_length,fee_blob_length
89,7,Imilio's Pizzeria,1,12,45,N,,1055,1207,1
90,8,Lucky Star Chinese Food,1,10,60,N,NULL,1507,1207,141
94,12,Mama Rosa,1,18,35,N,,1444,1207,141
95,13,Papa Joe's Pizza - Downtown,1,15,50,N,,3025,1237,141
101,15,New Mee Fung Restaurant,0,8,65,N,NULL,116,1198,1
117,22,House of Lasagna,1,15,45,N,NULL,2220,1198,141
124,28,Eastview Pizza,1,15,45,N,NULL,1675,1267,1
127,31,Milano,1,15,60,N,NULL,1597,1227,141
132,1011,Mozza Pizza Gatineau,1,17,45,N,NULL,2241,1207,141
142,44,Kiki Lebanese Pineview Pizza,1,15,45,Y,NULL,5655,1198,145
143,45,Bobbie's Pizza & Subs,1,15,40,N,NULL,1638,1217,141
145,47,Mr Mozzarella - Nepean,1,15,50,N,NULL,2038,1277,138
146,48,Merivale Pizza & Wings,1,10,45,N,NULL,2082,1237,141
161,55,Milano,1,15,45,N,NULL,1312,1277,141
164,57,Milano,1,15,55,N,NULL,1455,1207,141
172,59,Milano,1,15,55,N,,1148,1277,141
173,1016,Roulas Grecque et Pizza,1,9.99,50,N,,1720,1207,141
175,62,Vanier Pizza & Subs,1,10,45,N,NULL,1414,1267,1
179,65,Number One Chinese Take Out,1,15,60,N,,1757,1198,141
183,69,Aylmer BBQ,1,8,50,N,,1376,1207,141
184,70,Papa Pizza - Hull,1,10,45,N,NULL,650,1237,141
187,72,Cathay Restaurants,1,20,45,N,,965,1198,141
190,75,Milano,1,15,50,N,,2111,1207,141
192,77,Lorenzo's Pizzeria - Vanier,1,15,45,N,NULL,1600,1227,141
199,83,Season's Pizza,1,10,45,N,NULL,965,1277,1
200,84,The Original Georgie's,1,10,60,Y,NULL,5337,1207,154
203,87,Champa Thai Cuisine,1,30,55,N,,472,1267,141
204,88,Milano,1,15,45,Y,,3960,1207,141
205,89,Milano,1,15,55,Y,,4533,1207,147
206,90,Milano,1,15,60,N,,831,1207,141
207,91,Milano,1,15,50,N,NULL,1472,1277,141
208,92,Milano,1,15,58,N,NULL,1065,1207,141
209,93,Milano,1,15,50,N,,1807,1207,141
211,95,Milano,1,20,55,N,NULL,902,1227,141
213,97,Milano,1,15,60,Y,,1821,1207,145
219,1010,Lemongrass Thai Cuisine,0,25,65,N,,562,1207,138
224,105,Ginkgo Garden,1,17,60,N,,518,1198,141
225,106,Restaurant Le Choix,1,10,45,Y,NULL,1078,1207,139
228,109,Restaurant Chez Gerry,1,15,40,N,NULL,562,1207,137
231,1012,Papa Pizza Des Flandres,1,15,50,N,NULL,472,1207,138
238,118,Mano City Pizza,1,16,45,N,,712,1207,137
239,119,Hung Mein,1,20,55,N,,652,1227,141
245,123,Milano,1,15,50,N,,1147,1207,141
246,124,Carlo's Pizza,1,18,45,N,NULL,921,1207,1
