v3_id,name,v1_id
1011,Mozza Pizza Gatineau,132
55,Milano,161
1016,Roulas Grecque et Pizza,173
106,Restaurant Le Choix,225
109,Restaurant Chez Gerry,228
1012,Papa Pizza Des Flandres,231
118,Mano City Pizza,238
124,Carlo's Pizza,246
943,Charm Thai Cuisine,323
196,Colonnade Pizza,334
1013,Papa Pizza Maloney,346
984,La Famiglia on the Danforth,364
265,Milano,411
1017,Sushi Express Chambly,511
479,iCook Pho You,669
941,Ting's Kitchen,694
491,Light of India,695
519,HaNoi Pho,727
540,Papa Grecque des Flandres,758
561,Aahar The Taste of India,781
562,Pizza des Hautes Plaines,782
565,Milano,785
569,Milano,789
584,Crispy's,805
586,Milano,807
593,Milano,815
595,Supreme Pizzeria,817
596,Sushi Fleury,818
601,Milano,824
602,Papa Pizza Cantley,825
607,Aroy Thai,830
614,Marina Pizza des Flandres ,838
616,Papa Grecque Maloney ,840
624,Milano,850
630,Asia Garden Ottawa,856
636,Joes Family Pizzeria,863
638,Digby's Restaurant,865
641,China Moon,869
644,Mozza Pizza Hull,872
646,JC Royal Thai Cuisine,874
651,Milano,879
660,Milano,889
680,Milano,913
681,Oka's Hull,914
701,Milano,937
711,Supreme Pizzeria,947
712,Patate Lou Lou,948
714,Ogilvie Pizza,951
715,La Poutinerie Ogilvie,952
716,PizzaRama,953
721,La Maison Pho,959
726,Pizza Joanna,964
727,La Maison du Burger,965
735,Amicci Pizza,973
736,Greber Pizza et Shawarma,974
745,Sala Thai,983
749,Milano,987
751,Milano,989
756,Little Gyros Greek Grill,998
783,Colonnade Pizza,1025
784,Colonnade Pizza,1027
785,Colonnade Pizza,1028
789,Poutinerie Quï¿½becurds Hull,1032
790,Nachos Loco Hull,1033
792,Dumpling Bowl,1035
948,All Out Burger Gladstone,1038
795,Papa Pizza Chem. de Masson,1039
797,Papa Burger,1041
798,Kabylie Pizza,1042
801,Nachos Loco Gatineau,1045
1015,Poutinerie Québecurds Gatineau,1046
806,Crispy's Bank Street,1050
807,Oh My Grill,1051
810,Papa Grecque Cantley,1054
815,Golden Center Pizza,1059
816,Dï¿½panneur Gï¿½nï¿½reux,1060
819,Milano,1063
820,Vieux Hull Pizza,1064
821,Milano,1065
822,Papa Burger Maloney,1066
824,Prima Pizza,1069
825,La Nawab V2,1070
949,All Out Burger Montreal Rd,1071
829,Pizzalicious,1074
833,All Out Burger,1080
835,Milano,1082
836,Souvlaki Souvlaki,1083
837,Milano,1084
840,Milano,1087
841,All Out Burger,1088
842,Milano,1089
845,Mykonos Greek Grill,1092
846,Mykonos Greek Grill,1093
847,Sushiyana,1094
1009,Econo Pizza,1095
(95 rows)
