v3_id,restaurant_name,street_address,legacy_v1_id
561,Aahar The Taste of India,1573 Alta Vista Drive,781
841,All Out Burger,3091 Strandherd Dr.7,1088
924,All Out Burger Bank St.,2560 Bank Street,1013
948,All Out Burger Gladstone,714 Gladstone Avenue,1038
949,All Out Burger Montreal Rd,585 Montréal Road,1071
735,Amicci Pizza,2 Boulevard Louise-Campagna,973
607,Aroy Thai,1 Rideaucrest Drive,830
630,Asia Garden Ottawa,886 Dynes Road,856
69,Aylmer BBQ,134 rue Principale,183
241,Beneci Pizza,4 Lorry Greenberg Dr,383
45,Bobbie's Pizza & Subs,1443 Ogilvie Rd,143
124,Carlo's Pizza,60 Harmer Ave,246
72,Cathay Restaurants,1423 Woodroffe Ave,187
131,Centertown Donair & Pizza,422 Bronson Ave,255
87,Champa Thai Cuisine,193 King Edward Ave,203
943,Charm Thai Cuisine,121 Preston Street,323
641,China Moon,273 boul. St-René Ouest,869
783,Colonnade Pizza,1500 Bank St,1025
784,Colonnade Pizza,2140 Carling Ave,1027
785,Colonnade Pizza,896 Greenbank Rd,1028
196,Colonnade Pizza,280 Metcalfe,334
584,Crispy's,1433 Woodrofe,805
806,Crispy's Bank Street,2446 Bank Street,1050
816,Dépanneur Généreux,428 Rue Généreux,1060
638,Digby's Restaurant,300 Earl Grey Dr,865
792,Dumpling Bowl,730 Somerset,1035
28,Eastview Pizza,251 Montreal Rd,124
511,Egg Roll Factory,261 Centrepointe drive,716
211,Erman Pizza,3628 av des Églises,350
730,Friendly Restaurant and Pizzeria,1756 Laurier St,968
105,Ginkgo Garden,2225 St Laurent Blvd,224
815,Golden Center Pizza,600 Rideau Street,1059
736,Greber Pizza et Shawarma,761 Boulevard Saint-Joseph,974
519,HaNoi Pho,4312 Innes Road,727
160,Hong Kong Chinese Food Takeout,800 Hunt Club Rd,294
22,House of Lasagna,984 Merivale Rd,117
119,Hung Mein,2567 Baseline Rd,239
479,iCook Pho You,2006 Robertson Rd,669
7,Imilio's Pizzeria,110 Bearbrook Rd,89
