v2_id,v1_id,name,address,delivery_fee,is_complex,coords,min_order_value
1036,94,Mama Rosa,375 Des Epinettes Ave,0,n,"45.4929533044,-75.5049133301|45.4964428854,-75.4961585999|45.4999322501,-75.4887771606|45.5017370091,-75.4841423035|45.5055869683,-75.4777908325|45.4864548877,-75.4678344727|45.4822014276,-75.4576206207|45.4744172969,-75.4420852661|45.4611746332,-75.4383087158|45.4463030272,-75.4395961761|45.4406724687,-75.4485654831|45.4220002865,-75.465130806|45.4213978552,-75.4658174515|45.4240786252,-75.485086441|45.4273616419,-75.5033683777|45.4217593148,-75.5123806|45.4231750091,-75.5255556107|45.4340475627,-75.5320358276|45.4450986769,-75.5450820923|45.4620776413,-75.5601024628|45.4756415841,-75.5659389496|45.4853306247,-75.5477428436|45.4920096755,-75.5334091187|45.4937545223,-75.5194187164",\N
1037,95,Papa Joe's Pizza - Downtown,527 Bronson Ave,0,n,"45.3975158156,-75.7077312469|45.3961898836,-75.7069158554|45.3948940564,-75.6992769241|45.3938694277,-75.6971740723|45.3898912817,-75.6939125061|45.3865458058,-75.6912088394|45.3838331124,-75.6891489029|45.3878418244,-75.6849002838|45.3884144744,-75.6805229187|45.3895597569,-75.6784200668|45.3910968101,-75.6804800034|45.3925434102,-75.6821966171|45.3942611997,-75.6833553314|45.3965213695,-75.6846427917|45.3992033204,-75.6861877441|45.3970637968,-75.6800508499|45.401041438,-75.6783771515|45.4029096274,-75.6745147705|45.406344524,-75.6764030457|45.4099298512,-75.6784629822|45.4114060962,-75.6723690033|45.4160755969,-75.6696224213|45.4177625474,-75.6688928604|45.4224917648,-75.6687641144|45.429057792,-75.6733560562|45.432370635,-75.6761884689|45.4320694755,-75.677947998|45.4307443546,-75.6810808182|45.4296300242,-75.6839132309|45.428726497,-75.6858873367|45.4275217715,-75.6887626648|45.4264676156,-75.6911230087|45.4255640377,-75.693397522|45.4246002054,-75.6956720352|45.4255640377,-75.6996202469|45.4207748336,-75.7087182999|45.4175516813,-75.7161426544|45.4156538514,-75.7205200195|45.4127015448,-75.7234811783|45.4115266043,-75.7285881042|45.4123099007,-75.7335233688|45.4116471122,-75.7356262207|45.4096888279,-75.7419776917|45.4062240048,-75.7509899139|45.4026685741,-75.752491951|45.4018851441,-75.7501316071|45.401342763,-75.748500824|45.4004990489,-75.7479429245|45.3993539881,-75.747127533|45.3987513152,-75.7460546494|45.3980582334,-75.744638443|45.3974254122,-75.7428359985|45.3962802891,-75.7415914536|45.3945625609,-75.7404756546|45.392513273,-75.739274025|45.3910968101,-75.7383298874|45.3897707274,-75.7370853424|45.3896200343,-75.7357978821|45.3879322432,-75.7336521149|45.3866663669,-75.7325363159|45.388474753,-75.7285022736|45.3904337726,-75.7239532471|45.3920310769,-75.7201766968|45.3940502459,-75.7156705856|45.3960392075,-75.7111644745",\N
1046,117,House of Lasagna,984 Merivale Rd,0,n,"45.4100614103,-75.7524490356|45.4024084374,-75.762834549|45.3934887041,-75.770816803|45.3749817939,-75.8032608032|45.3636455815,-75.8067798615|45.3551419321,-75.8101272583|45.3532721639,-75.8083248138|45.3506785121,-75.8066082001|45.3480244198,-75.8047199249|45.346878296,-75.8030891418|45.3447669546,-75.8013725281|45.3455511763,-75.7961368561|45.3478434544,-75.7905578613|45.3415093019,-75.7890987396|45.3355364518,-75.7855796814|45.3301663822,-75.7821464539|45.321174901,-75.7773399353|45.323226774,-75.7652378082|45.3285975017,-75.7470417023|45.3323386065,-75.7295322418|45.3384927897,-75.7145118713|45.3337263729,-75.7018089294|45.3331230004,-75.6964874268|45.3366828053,-75.6980323792|45.3413283157,-75.6977748871|45.3469989417,-75.698890686|45.3524880491,-75.7016372681|45.3565291396,-75.6984615326|45.3587606629,-75.6909942627|45.36316314,-75.6934833527|45.3679873781,-75.6964015961|45.3717861768,-75.6982898712|45.3749817939,-75.7010364532|45.3781772305,-75.7010364532|45.3817342022,-75.701379776|45.3857732038,-75.7007789612|45.3916804775,-75.7015514374|45.3941517057,-75.6954574585|45.3974063279,-75.6883335114|45.4034931738,-75.6917667389|45.4089165433,-75.6935691833|45.4148213979,-75.6982898712|45.4116882866,-75.7058429718|45.4211473428,-75.710735321|45.4162071417,-75.7252407074|45.4138573822,-75.7387161255|45.4115486994,-75.7466125488",\N
1052,124,Eastview Pizza,251 Montreal Rd,0,n,"45.4638249198,-75.6700515747|45.4679182464,-75.6231880188|45.4732150513,-75.5879974365|45.4616577442,-75.5835342407|45.4499776417,-75.5819892883|45.4391382695,-75.5799293518|45.4227548223,-75.5842208862|45.4061255808,-75.6242179871|45.4003403508,-75.6209564209|45.3975680506,-75.6597518921|45.3974475128,-75.6703948975|45.4002183103,-75.679063797|45.4047079524,-75.6810379028|45.410342099,-75.6825399399|45.4124509933,-75.6839561462|45.410552992,-75.6889772415|45.4081427397,-75.6945133209|45.4055516037,-75.7007360458|45.4051297796,-75.702624321|45.413445159,-75.7073020935|45.4175421426,-75.7112932205|45.4205845627,-75.7134819031|45.425373783,-75.7044696808|45.433565721,-75.7029676437|45.4429608918,-75.6996631622|45.4503374133,-75.6931829453|45.460171777,-75.681810379",\N
1055,127,Milano,876 Montreal Rd.,0,n,"45.4654693089,-75.6479072571|45.4652887194,-75.6317710876|45.4651683261,-75.6132316589|45.4664926386,-75.5961513519|45.4715488184,-75.5824184418|45.4710071065,-75.5653381348|45.4600513718,-75.5716896057|45.4555962335,-75.5809593201|45.4454203408,-75.5880832672|45.440301594441,-75.591387748686|45.433586300318,-75.601515769929|45.429249541561,-75.609712600695|45.425063048775,-75.618553161671|45.4227738998,-75.6216430664|45.4202436798,-75.635204315215|45.417894087282,-75.662755966229|45.421749775847,-75.667304992686|45.4251835277,-75.669107437093|45.427532815936,-75.669836998013|45.430695164828,-75.670309066754|45.431448078024,-75.670394897475|45.435483526477,-75.677433013886|45.437230123633,-75.689535140991|45.442951356412,-75.696315765363|45.457703437324,-75.683097839306",\N
1068,142,Kiki Lebanese Pineview Pizza,2045 Meadowbrook Rd,0,n,"45.417431186086,-75.66198348999|45.428696379149,-75.669107437134|45.433033180329,-75.671253204346|45.43761055339,-75.657520294189|45.441224006699,-75.646705627441|45.44405438349,-75.637693405151|45.447005050659,-75.627479553223|45.458926582878,-75.627737045288|45.4632610607,-75.615978240967|45.464886403972,-75.598726272583|45.461394868043,-75.5859375|45.450617902301,-75.58482170105|45.447366346237,-75.576410293579|45.44284998519,-75.56619644165|45.435803739957,-75.543966293335|45.413093186187,-75.552549362183|45.409477931716,-75.569801330566|45.408092022812,-75.58310508728|45.398148635834,-75.591259002686|45.392905054403,-75.607309341431|45.389167952326,-75.617523193359|45.401704350976,-75.624217987061|45.409236906524,-75.630397796631|45.413093186187,-75.642585754395|45.414780225745,-75.654859542847",\N
1068,142,Kiki Lebanese Pineview Pizza,2045 Meadowbrook Rd,0,n,"45.471086357215,-75.57186126709|45.480475279082,-75.550403594971|45.489140587755,-75.531177520752|45.491186368906,-75.504741668701|45.501895422116,-75.485858917236|45.489140587755,-75.476245880127|45.483363863406,-75.45581817627|45.460010233574,-75.441741943359|45.453026341501,-75.436935424805|45.436285562529,-75.42989730835|45.423425512487,-75.410349369049|45.416105721472,-75.411357879639|45.412731671154,-75.429639816284|45.416828706027,-75.450668334961|45.420202511561,-75.468864440918|45.422792975415,-75.481481552124|45.426106186177,-75.496673583984|45.427672363576,-75.50929069519|45.421829095773,-75.51212310791|45.421648366508,-75.522594451904|45.40501879916,-75.521650314331|45.394291335887,-75.523366928101|45.390735154249,-75.532808303833|45.389710450217,-75.550661087036|45.391759839703,-75.569286346436|45.397124066216,-75.582504272461|45.378980080609,-75.587568283081|45.374096485314,-75.596237182617|45.368669773663,-75.609283447266|45.36523258697,-75.619668960571|45.370418437609,-75.622758865356|45.375181765162,-75.625333786011|45.380095410494,-75.627522468567|45.383742687037,-75.630311965942|45.382205433874,-75.634088516235|45.39380915488,-75.649280548096|45.393718745483,-75.640439987183|45.399143053286,-75.649881362915|45.398751315167,-75.657992362976|45.398841716512,-75.662069320679|45.399203320448,-75.669665336609|45.404958538201,-75.667991638184|45.409598443927,-75.668206214905|45.416497339255,-75.673570632935|45.419569938379,-75.681080818176|45.423184546819,-75.687689781189|45.427582008368,-75.688676834106|45.429509554754,-75.684084892273|45.43170808199,-75.678634643555|45.433454796003,-75.674815177917|45.437279308592,-75.678634643555|45.440772337691,-75.68253993988|45.448359897143,-75.686402320862|45.453718748736,-75.688676834106|45.457030144047,-75.678849220276|45.459348005068,-75.667133331299|45.460943360539,-75.656361579895|45.463441656711,-75.645117759705|45.463772747895,-75.634174346924|45.463441656711,-75.621943473816|45.464374726885,-75.613210201263|45.465503420166,-75.601687431335|45.466165576372,-75.595142841339|45.466963163295,-75.587718486786|45.469205375503,-75.583426952362",\N
1069,143,Bobbie's Pizza & Subs,1443 Ogilvie Rd,0,n,"45.4653900503,-75.630569458|45.4662327949,-75.6007003784|45.4720112757,-75.5828475952|45.4742984274,-75.5699729919|45.4661124036,-75.5646514893|45.4532290472,-75.572719574|45.4452808361,-75.5728912354|45.4417880861,-75.5637931824|45.4401018536,-75.5459403992|45.438174669,-75.5371856689|45.4326336465,-75.545425415|45.4260077968,-75.5605316162|45.4237186861,-75.5813026428|45.420706557,-75.5893707275|45.4107051358,-75.6132316589|45.4074512796,-75.6140899658|45.3935901631,-75.5998420715|45.3880447662,-75.6250762939|45.3910586374,-75.6554603577|45.3919024925,-75.6705665588|45.3990144832,-75.6717681885|45.4068486931,-75.6702232361|45.4137177985,-75.6678199768|45.4145613152,-75.6703948975|45.4134767914,-75.6750297546|45.4107051358,-75.6727981567|45.4145613152,-75.6796646118|45.4208270452,-75.6863594055|45.4255258865,-75.6978607178|45.4309471404,-75.7061004639|45.4428720662,-75.7026672363|45.451422734,-75.6945991516|45.4635841266,-75.660610199|45.4655104432,-75.6465339661",\N
1071,145,Mr Mozzarella - Nepean,1433 Woodroffe Ave,0,n,"45.36929337,-75.783905983|45.3720972051,-75.7805156708|45.3775235879,-75.7756662369|45.3704993376,-75.7711172104|45.3762574785,-75.7579851151|45.3822561744,-75.7436513901|45.3844264001,-75.7397460938|45.3862047174,-75.7348537445|45.389761184,-75.7267856598|45.3867472437,-75.7160139084|45.3807791677,-75.7051563263|45.3739663513,-75.7016372681|45.367213015,-75.6964015961|45.3584686591,-75.6927967072|45.3525277573,-75.7036542892|45.3445955298,-75.6980323792|45.3389548288,-75.6984615326|45.3337660942,-75.6997919083|45.3300250836,-75.7012939453|45.3227837161,-75.700006485|45.3195247987,-75.6994915009|45.313036581,-75.7009077072|45.3089320225,-75.7006502151|45.3068192662,-75.7065296173|45.3056119415,-75.7123661041|45.3019898133,-75.7226228714|45.2996257472,-75.726442337|45.2955202176,-75.7370853424|45.2915351545,-75.747385025|45.288576366,-75.7551956177|45.2872478801,-75.7577705383|45.3008140825,-75.7663536072|45.3166293362,-75.7752799988|45.3201298263,-75.778799057|45.3162863158,-75.7896137238|45.3274509846,-75.7973384857|45.3326402977,-75.8006858826|45.3371051401,-75.8064365387|45.3407853536,-75.8083248138|45.3449479298,-75.804977417|45.3478434544,-75.8042907715|45.3571322627,-75.7957077026|45.3646707589,-75.7898712158",\N
1072,146,Merivale Pizza & Wings,1610 Merivale Rd,0,n,"45.3489704562,-75.7000923157|45.3548815748,-75.7014656067|45.3572940988,-75.6935691833|45.3621188383,-75.6903076172|45.3654959111,-75.6940841675|45.372008268,-75.6992340088|45.3763494227,-75.7026672363|45.3753847505,-75.710735321|45.3733347673,-75.7151985168|45.379725646,-75.7203483582|45.3850307325,-75.7230949402|45.389732552,-75.7260131836|45.394072346,-75.7467842102|45.3909380838,-75.7567405701|45.3835839401,-75.7696151733|45.373817123,-75.7859230042|45.3699581625,-75.7860946655|45.3645310537,-75.7896995544|45.3557259699,-75.7970809937|45.3488498147,-75.8042907715|45.344989151,-75.8044624329|45.3344916402,-75.8121871948|45.3306299973,-75.8078956604|45.3198884183,-75.804977417|45.3118007172,-75.7998275757|45.3084204405,-75.7967376709|45.2999688684,-75.7907295227|45.2952595879,-75.791759491|45.2878930058,-75.8029174805|45.2783512562,-75.8006858826|45.2732777739,-75.7900428772|45.268203838,-75.7838630676|45.2578129349,-75.769443512|45.2614378845,-75.7550239563|45.2692911482,-75.7467842102|45.2747273865,-75.7340812683|45.275452179,-75.7155418396|45.2706200545,-75.7073020935|45.2770225309,-75.7011222839|45.2923613747,-75.6983757019|45.3092655286,-75.6964874268|45.318681372,-75.6970024109|45.3301472734,-75.6980323792|45.3373876997,-75.6982040405",\N
1661,\N,Chicco Pizza Maloney,842 Boulevard Maloney Est,2,n,"45.484375,-75.554076|45.526002,-75.555621|45.535382,-75.618621|45.532255,-75.65467|45.465356,-75.651752",15.00
1081,164,Milano,3848 Innes Rd,0,n,"45.4596901584,-75.5153846741|45.4661916621,-75.5190753937|45.4746184214,-75.525598526|45.4883994762,-75.5382156372|45.4829837432,-75.5551242828|45.480696944,-75.5637073517|45.4777891641,-75.5795860291|45.4702055641,-75.5795860291|45.4572027328,-75.578212738|45.4429925071,-75.581817627|45.4290196431,-75.5775260925|45.4232367563,-75.5764961243|45.4245620535,-75.5481719971|45.4197426417,-75.5140113831|45.4117897129,-75.4674911499|45.4091384877,-75.4541015625|45.4094588516,-75.441827774|45.4109652362,-75.4325580597|45.4130741063,-75.4190826416|45.4160263935,-75.402173996|45.4373505766,-75.4141902924|45.451742857,-75.420627594|45.4740165518,-75.4353046417|45.4701042428,-75.4545307159|45.4663722488,-75.4686927795|45.4610145996,-75.4856014252|45.4555360274,-75.5043125153|45.4576432336,-75.5058574677|45.458847316,-75.5108356476|45.458486094,-75.5143547058",\N
1083,172,Milano,385 Tompkins Ave,0,n,"45.4936753026,-75.5236244202|45.5001728862,-75.502166748|45.5071509371,-75.4812240601|45.488982137,-75.4717826843|45.4777891641,-75.4484367371|45.4585272324,-75.4413986206|45.451121676095,-75.44328689573|45.447027130072,-75.459251403784|45.440222300481,-75.478305816684|45.450218493,-75.4841423035|45.4592496736,-75.4884338379|45.455878202,-75.5050849915|45.4587680472,-75.5102348328|45.4582864166,-75.5164146423|45.4626811431,-75.5187320709|45.4707061532,-75.5221652985|45.4796136901,-75.5298900604|45.4883994752,-75.5343532562",\N
1086,175,Vanier Pizza & Subs,201 Marier Ave,0,n,"45.4435535577,-75.6993198395|45.4516826459,-75.6950283051|45.460352382,-75.6805229187|45.4628808039,-75.6648159027|45.4655295053,-75.6491088867|45.4669140042,-75.5890274048|45.4538502049,-75.5860233307|45.4474677094,-75.5864524841|45.4415662691,-75.5906581879|45.4338573357,-75.6024169922|45.4309059809,-75.604133606|45.4190990182,-75.5945205688|45.4140983867,-75.608253479|45.4057831044,-75.6279087067|45.4092780827,-75.6386375427|45.4111459997,-75.6505680084|45.4109652362,-75.6558036804|45.3999978375,-75.6611251831|45.3978884783,-75.6611251831|45.3984118086,-75.6683349609|45.3992143704,-75.6727981567|45.4007210283,-75.6791496277|45.4044573664,-75.6809520721|45.4096396199,-75.6818962097|45.4139176336,-75.68318367|45.4180748295,-75.6806945801|45.4220509913,-75.6880760193|45.4262678267,-75.6976890564|45.4348812391,-75.702495575",\N
