v2_id,v2_v1_id,v2_name,v3_id,v3_name
1031,,Imilio's Pizzeria,7,Imilio's Pizzeria
1032,90,Lucky Star Chinese Food,8,Lucky Star Chinese Food
1036,94,Mama Rosa,12,Mama Rosa
1037,95,Papa Joe's Pizza - Downtown,13,Papa Joe's Pizza - Downtown
1039,101,New Mee Fung Restaurant,15,New Mee Fung Restaurant
1046,117,House of Lasagna,22,House of Lasagna
1052,124,Eastview Pizza,28,Eastview Pizza
1055,127,Milano,31,Milano
1068,142,Kiki Lebanese Pineview Pizza,44,Kiki Lebanese Pineview Pizza
1069,143,Bobbie's Pizza & Subs,45,Bobbie's Pizza & Subs
1071,145,Mr Mozzarella - Nepean,47,Mr Mozzarella - Nepean
1072,146,Merivale Pizza & Wings,48,Merivale Pizza & Wings
1079,161,Milano,55,Milano
1081,164,Milano,57,Milano
1083,172,Milano,59,Milano
1086,175,Vanier Pizza & Subs,62,Vanier Pizza & Subs
1089,179,Number One Chinese Take Out,65,Number One Chinese Take Out
1093,183,Aylmer BBQ,69,Aylmer BBQ
1094,184,Papa Pizza - Hull,70,Papa Pizza - Hull
1096,187,Cathay Restaurants,72,Cathay Restaurants
1099,190,Milano,75,Milano
1101,192,Lorenzo's Pizzeria - Vanier,77,Lorenzo's Pizzeria - Vanier
1108,200,The Original Georgie's,84,The Original Georgie's
1111,203,Champa Thai Food,87,Champa Thai Cuisine
1112,204,Milano,88,Milano
1113,205,Milano,89,Milano
1114,206,Milano,90,Milano
1115,207,Milano,91,Milano
1116,208,Milano,92,Milano
1117,209,Milano,93,Milano
1119,211,Milano,95,Milano
1121,213,Milano,97,Milano
1129,224,Ginkgo Garden,105,Ginkgo Garden
1130,225,Restaurant Le Choix,106,Restaurant Le Choix
1133,228,Restaurant Chez Gerry,109,Restaurant Chez Gerry
1143,239,Hung Mein,119,Hung Mein
1147,245,Milano,123,Milano
1148,246,Carlo's Pizza,124,Carlo's Pizza
1150,248,Milano,126,Milano
1155,255,Centertown Donair & Pizza,131,Centertown Donair & Pizza
1157,257,Riverside Pizzeria,133,Riverside Pizzeria
1163,264,Pizza Bravo,139,Pizza Bravo
1167,275,Tony's Pizza,143,Tony's Pizza
1171,280,Pho Dau Bo Restaurant - Kitchener,147,Pho Dau Bo Restaurant - Kitchener
1184,294,Hong Kong Chinese Food Takeout,160,Hong Kong Chinese Food Takeout
1199,312,Lucky King Take Out,174,Lucky King Take Out
1205,318,Indian Punjabi Clay Oven,180,Indian Punjabi Clay Oven
1215,328,Milano,190,Milano
1221,334,Colonnade Pizza,196,Colonnade Pizza
1224,337,Pho Bo Ga King - Somerset,199,Pho Bo Ga King - Somerset
1230,344,Mont Liban Bakery & Shawarma,205,Mont Liban Bakery & Shawarma
1236,350,Erman Pizza,211,Erman Pizza
1259,374,New Mukut Restaurant Indian Cuisine,234,New Mukut Restaurant Indian Cuisine
1266,383,Beneci Pizza,241,Beneci Pizza
1270,387,Orchid Sushi,245,Orchid Sushi
1290,411,Milano,265,Milano
1292,413,Lucky Fortune,267,Lucky Fortune
1294,415,Shaan Tandoori,269,Shaan Tandoori
1353,489,JN Pizza,328,JN Pizza
1374,512,Milano,349,Milano
1375,513,Milano,350,Milano
1392,532,Xtreme Pizza,367,Xtreme Pizza
1401,542,Sachi Sushi,376,Sachi Sushi
1462,612,Papa Joe's Fried Chicken - Downtown,437,Papa Joe's Fried Chicken - Downtown
1504,669,iCook Pho You,479,iCook Pho You
1516,695,Light of India,491,Light of India
1522,701,Rangoli,497,Rangoli
1527,707,New Hong Kong,502,New Hong Kong
1532,712,Pizza Lovers Hunt Club,507,Pizza Lovers Hunt Club
1536,716,Egg Roll Factory,511,Egg Roll Factory
1540,721,Napolis,515,Napolis
1544,727,HaNoi Pho,519,HaNoi Pho
1546,729,Palermo Pizzeria,521,Palermo Pizzeria
1565,,Papa Grecque des Flandres,540,Papa Grecque des Flandres
1091,,Milano,651,Milano
1509,683,Pizza Maisonneuve,696,Pizza Maisonneuve
1626,,La Maison Pho,721,La Maison Pho
1611,,All Out Burger Bank St.,924,All Out Burger Bank St.
1515,694,Thai to Go,941,Ting's Kitchen
1210,323,Vietnamese Noodle House,943,Charm Thai Cuisine
1635,,All Out Burger Gladstone,948,All Out Burger Gladstone
1636,,All Out Burger Montreal Rd,949,All Out Burger Montreal Rd
1406,547,Yorgo's - Nepean,985,Yorgo's - Nepean
1126,219,Lemon Grass Restaurant,1010,Lemongrass Thai Cuisine
1059,132,Mozza Pizza,1011,Mozza Pizza Gatineau
1136,231,Papa Pizza - Gatineau Ouest,1012,Papa Pizza Des Flandres
1232,346,Papa Pizza - Gatineau Est,1013,Papa Pizza Maloney
1523,703,Papa Pizza - Val-des-Monts,1014,Papa Pizza Val-Des-Monts
1084,173,Opa's,1016,Roulas Grecque et Pizza
1373,511,Sushi Express Fantasia,1017,Sushi Express Chambly
1660,,Chicco Pizza Shawarma Anger,963,Chicco Pizza Shawarma Anger
1663,,Chicco Pizza de l'Hopital,966,Chicco Pizza de l'Hopital
1673,,Pizza Marie,976,Pizza Marie
