 restaurant_id |           restaurant_name           | courses_count | dishes_count | prices_count | modifier_groups_count | modifiers_count |  status  
---------------+-------------------------------------+---------------+--------------+--------------+-----------------------+-----------------+----------
             7 | Imilio's Pizzeria                   |            17 |          131 |          248 |                   136 |            2440 | HAS_MENU
             8 | Lucky Star Chinese Food             |            19 |          138 |          147 |                     0 |               0 | HAS_MENU
            12 | Mama Rosa                           |            16 |          131 |          243 |                   114 |            1930 | HAS_MENU
            13 | Papa Joe's Pizza - Downtown         |            16 |          125 |          210 |                   132 |            2176 | HAS_MENU
            15 | New Mee Fung Restaurant             |            16 |          221 |          320 |                   268 |            4233 | HAS_MENU
            22 | House of Lasagna                    |            14 |           87 |          119 |                    75 |             494 | HAS_MENU
            28 | Eastview Pizza                      |            16 |          149 |          249 |                   146 |            1965 | HAS_MENU
            31 | Milano                              |            22 |          172 |          338 |                   262 |            4863 | HAS_MENU
            44 | Kiki Lebanese Pineview Pizza        |            20 |          176 |          347 |                   138 |            3100 | HAS_MENU
            45 | Bobbie's Pizza & Subs               |            16 |          137 |          246 |                   153 |            3252 | HAS_MENU
            47 | Mr Mozzarella - Nepean              |            22 |          213 |          401 |                   229 |            5229 | HAS_MENU
            48 | Merivale Pizza & Wings              |            17 |          113 |          174 |                    89 |            1094 | HAS_MENU
            55 | Milano                              |            25 |          211 |          472 |                   429 |            8641 | HAS_MENU
            57 | Milano                              |            25 |          232 |          518 |                   421 |            8137 | HAS_MENU
            59 | Milano                              |            26 |          251 |          567 |                   425 |            9609 | HAS_MENU
            62 | Vanier Pizza & Subs                 |            18 |          155 |          274 |                    93 |            1345 | HAS_MENU
            65 | Number One Chinese Take Out         |            17 |          122 |          134 |                     1 |              12 | HAS_MENU
            69 | Aylmer BBQ                          |            34 |          221 |          274 |                    76 |             694 | HAS_MENU
            70 | Papa Pizza - Hull                   |            28 |          164 |          357 |                    86 |            1490 | HAS_MENU
            72 | Cathay Restaurants                  |            17 |          150 |          165 |                     5 |              10 | HAS_MENU
            75 | Milano                              |            25 |          221 |          490 |                   443 |            8916 | HAS_MENU
            77 | Lorenzo's Pizzeria - Vanier         |            16 |          149 |          222 |                   125 |            2450 | HAS_MENU
            83 | Season's Pizza                      |            18 |          168 |          369 |                   122 |            1415 | HAS_MENU
            84 | The Original Georgie's              |            19 |          109 |          250 |                    80 |            1094 | HAS_MENU
            87 | Champa Thai Cuisine                 |            11 |           82 |          178 |                     0 |               0 | HAS_MENU
            88 | Milano                              |            33 |          326 |          652 |                   538 |           10859 | HAS_MENU
            89 | Milano                              |            31 |          197 |          493 |                   408 |            6191 | HAS_MENU
            90 | Milano                              |            22 |          163 |          207 |                   131 |            1497 | HAS_MENU
            91 | Milano                              |            25 |          241 |          488 |                   461 |           11330 | HAS_MENU
            92 | Milano                              |            23 |          145 |          291 |                   283 |            4246 | HAS_MENU
            93 | Milano                              |            28 |          250 |          544 |                   413 |            8792 | HAS_MENU
            95 | Milano                              |            29 |          237 |          509 |                   431 |            6964 | HAS_MENU
            97 | Milano                              |            28 |          225 |          498 |                   378 |            6696 | HAS_MENU
           105 | Ginkgo Garden                       |            13 |          147 |          166 |                     0 |               0 | HAS_MENU
           106 | Restaurant Le Choix                 |            16 |          103 |          169 |                    62 |             674 | HAS_MENU
           109 | Restaurant Chez Gerry               |            12 |           83 |          117 |                    35 |             289 | HAS_MENU
           118 | Mano City Pizza                     |            21 |          224 |          344 |                   173 |            2106 | HAS_MENU
           119 | Hung Mein                           |            17 |          178 |          196 |                     0 |               0 | HAS_MENU
           123 | Milano                              |            26 |          188 |          416 |                   348 |            5120 | HAS_MENU
           124 | Carlo's Pizza                       |            10 |          103 |          156 |                   123 |             974 | HAS_MENU
           126 | Milano                              |            23 |          204 |          475 |                   395 |            7755 | HAS_MENU
           131 | Centertown Donair & Pizza           |            11 |           68 |          109 |                    55 |             602 | HAS_MENU
           133 | Riverside Pizzeria                  |            16 |          119 |            0 |                     0 |               0 | HAS_MENU
           139 | Pizza Bravo                         |             7 |           65 |          133 |                    53 |             376 | HAS_MENU
           143 | Tony's Pizza                        |            19 |          215 |          410 |                   142 |            2388 | HAS_MENU
           147 | Pho Dau Bo Restaurant - Kitchener   |            11 |          225 |          348 |                     6 |              23 | HAS_MENU
           160 | Hong Kong Chinese Food Takeout      |            19 |          180 |          198 |                     0 |               0 | HAS_MENU
           174 | Lucky King Take Out                 |            15 |          144 |          161 |                    28 |             128 | HAS_MENU
           180 | Indian Punjabi Clay Oven            |            11 |          116 |          123 |                    95 |             285 | HAS_MENU
           190 | Milano                              |            24 |          165 |          354 |                   320 |            4369 | HAS_MENU
           196 | Colonnade Pizza                     |            10 |           90 |          145 |                    74 |            1287 | HAS_MENU
           199 | Pho Bo Ga King - Somerset           |            15 |          174 |          367 |                     8 |             248 | HAS_MENU
           205 | Mont Liban Bakery & Shawarma        |            14 |          123 |          177 |                    72 |             697 | HAS_MENU
           211 | Erman Pizza                         |            16 |          102 |          269 |                    75 |            1049 | HAS_MENU
           234 | New Mukut Restaurant Indian Cuisine |            13 |           95 |           86 |                     0 |               0 | HAS_MENU
           241 | Beneci Pizza                        |             9 |           64 |          132 |                    59 |             668 | HAS_MENU
           245 | Orchid Sushi                        |            18 |          140 |          178 |                     0 |               0 | HAS_MENU
           265 | Milano                              |            20 |          150 |           29 |                     3 |              41 | HAS_MENU
           267 | Lucky Fortune                       |            21 |          197 |          208 |                    13 |              13 | HAS_MENU
           269 | Shaan Tandoori                      |            13 |          117 |          119 |                     0 |               0 | HAS_MENU
           328 | JN Pizza                            |            18 |          163 |          248 |                   171 |            1894 | HAS_MENU
           349 | Milano                              |            27 |          196 |          439 |                   321 |            6095 | HAS_MENU
           350 | Milano                              |            24 |          141 |          325 |                   193 |            3161 | HAS_MENU
           367 | Xtreme Pizza                        |            19 |          112 |          216 |                    74 |            1147 | HAS_MENU
           376 | Sachi Sushi                         |            17 |          180 |          250 |                     0 |               0 | HAS_MENU
           437 | Papa Joe's Fried Chicken - Downtown |             6 |           28 |           40 |                    16 |              92 | HAS_MENU
           479 | iCook Pho You                       |            26 |          195 |          340 |                   229 |            2927 | HAS_MENU
           491 | Light of India                      |            11 |           66 |          119 |                     0 |               0 | HAS_MENU
           497 | Rangoli                             |            17 |          139 |          141 |                     4 |             204 | HAS_MENU
           502 | New Hong Kong                       |            19 |          185 |          204 |                     0 |               0 | HAS_MENU
           507 | Pizza Lovers Hunt Club              |            11 |           86 |          196 |                    93 |            1102 | HAS_MENU
           511 | Egg Roll Factory                    |            16 |          103 |          104 |                    12 |              26 | HAS_MENU
           515 | Napolis                             |            15 |           91 |          155 |                    93 |             834 | HAS_MENU
           519 | HaNoi Pho                           |            17 |           81 |          149 |                    24 |              96 | HAS_MENU
           521 | Palermo Pizzeria                    |            18 |          153 |          329 |                   136 |            2669 | HAS_MENU
           561 | Aahar The Taste of India            |            13 |          108 |          132 |                    14 |              64 | HAS_MENU
           565 | Milano                              |            23 |          228 |          496 |                   309 |            4404 | HAS_MENU
           569 | Milano                              |            30 |          299 |          629 |                   432 |            9381 | HAS_MENU
           584 | Crispy's                            |            14 |          123 |          146 |                   184 |            1781 | HAS_MENU
           586 | Milano                              |            25 |          191 |          448 |                   310 |            5480 | HAS_MENU
           593 | Milano                              |            15 |           86 |          211 |                   122 |             822 | HAS_MENU
           595 | Supreme Pizzeria                    |            17 |          112 |          203 |                    76 |            1141 | HAS_MENU
           596 | Sushi Fleury                        |            17 |          169 |          204 |                     5 |              10 | HAS_MENU
           601 | Milano                              |            23 |          183 |          380 |                   372 |            4951 | HAS_MENU
           602 | Papa Pizza Cantley                  |            20 |          134 |          295 |                    70 |            1549 | HAS_MENU
           607 | Aroy Thai                           |             9 |           39 |           12 |                     0 |               0 | HAS_MENU
           624 | Milano                              |            21 |          122 |          280 |                   166 |            1673 | HAS_MENU
           630 | Asia Garden Ottawa                  |            17 |          156 |          166 |                     7 |              28 | HAS_MENU
           636 | Joes Family Pizzeria                |            37 |          371 |          678 |                   389 |           14534 | HAS_MENU
           638 | Digby's Restaurant                  |            13 |           89 |          121 |                    68 |             728 | HAS_MENU
           641 | China Moon                          |            20 |          157 |          170 |                     1 |               1 | HAS_MENU
           646 | JC Royal Thai Cuisine               |            16 |          152 |          181 |                    40 |             244 | HAS_MENU
           651 | Milano                              |            36 |          321 |          674 |                   480 |            9149 | HAS_MENU
           660 | Milano                              |            23 |          167 |          355 |                   150 |            2192 | HAS_MENU
           680 | Milano                              |            44 |          308 |          646 |                   521 |           19792 | HAS_MENU
           701 | Milano                              |            18 |          134 |          290 |                   174 |            1947 | HAS_MENU
           711 | Supreme Pizzeria                    |             9 |           63 |          152 |                    62 |             529 | HAS_MENU
           714 | Ogilvie Pizza                       |            15 |          105 |          192 |                    53 |             580 | HAS_MENU
           715 | La Poutinerie Ogilvie               |             8 |           68 |          117 |                    15 |             360 | HAS_MENU
           721 | La Maison Pho                       |             9 |           68 |          109 |                    20 |              30 | HAS_MENU
           730 | Friendly Restaurant and Pizzeria    |            21 |          156 |          253 |                   124 |            2123 | HAS_MENU
           735 | Amicci Pizza                        |            14 |           98 |          157 |                    76 |             729 | HAS_MENU
           745 | Sala Thai                           |            14 |           94 |          132 |                     1 |               6 | HAS_MENU
           749 | Milano                              |            19 |          131 |          289 |                   173 |            1692 | HAS_MENU
           751 | Milano                              |            28 |          226 |          502 |                   273 |            4647 | HAS_MENU
           756 | Little Gyros Greek Grill            |            15 |          114 |          128 |                   137 |            2345 | HAS_MENU
           783 | Colonnade Pizza                     |            10 |           94 |          138 |                    75 |            1292 | HAS_MENU
           784 | Colonnade Pizza                     |            10 |          102 |          175 |                    93 |            1598 | HAS_MENU
           785 | Colonnade Pizza                     |            10 |           93 |          147 |                    73 |            1277 | HAS_MENU
           789 | Poutinerie Quï¿½becurds Hull        |             5 |           45 |           71 |                     7 |             126 | HAS_MENU
           790 | Nachos Loco Hull                    |             6 |           47 |           73 |                    74 |             857 | HAS_MENU
           792 | Dumpling Bowl                       |             9 |           79 |          119 |                    70 |             592 | HAS_MENU
           798 | Kabylie Pizza                       |            15 |          135 |          299 |                   130 |            2842 | HAS_MENU
           801 | Nachos Loco Gatineau                |             6 |           47 |           73 |                    74 |             857 | HAS_MENU
           806 | Crispy's Bank Street                |            14 |          123 |          146 |                   184 |            1781 | HAS_MENU
           807 | Oh My Grill                         |             8 |           81 |          110 |                    71 |             437 | HAS_MENU
           810 | Papa Grecque Cantley                |             7 |           45 |           63 |                     5 |              10 | HAS_MENU
           815 | Golden Center Pizza                 |            14 |           96 |          172 |                    82 |            1075 | HAS_MENU
           816 | Dï¿½panneur Gï¿½nï¿½reux            |            15 |          863 |          863 |                     0 |               0 | HAS_MENU
           818 | Milano                              |            15 |          141 |          329 |                   172 |            2255 | HAS_MENU
           819 | Milano                              |            16 |          128 |          261 |                   115 |            1605 | HAS_MENU
           821 | Milano                              |             9 |           85 |          203 |                    78 |             918 | HAS_MENU
           824 | Prima Pizza                         |            13 |          118 |          237 |                   231 |            3844 | HAS_MENU
           829 | Pizzalicious                        |            10 |           73 |          117 |                    79 |             790 | HAS_MENU
           833 | All Out Burger                      |            14 |          112 |          144 |                   130 |             736 | HAS_MENU
           835 | Milano                              |            14 |          103 |          247 |                    97 |            1248 | HAS_MENU
           836 | Souvlaki Souvlaki                   |             9 |           26 |           28 |                    19 |              47 | HAS_MENU
           837 | Milano                              |            15 |           91 |          180 |                    85 |             900 | HAS_MENU
           840 | Milano                              |            22 |          192 |          362 |                   269 |            4456 | HAS_MENU
           841 | All Out Burger                      |            14 |          111 |          136 |                   130 |             736 | HAS_MENU
           842 | Milano                              |            14 |           92 |          185 |                    91 |            1125 | HAS_MENU
           845 | Mykonos Greek Grill                 |             7 |           41 |           51 |                     0 |               0 | HAS_MENU
           846 | Mykonos Greek Grill                 |             7 |           42 |           52 |                     0 |               0 | HAS_MENU
           847 | Sushiyana                           |            17 |          127 |          159 |                     8 |              28 | HAS_MENU
           924 | All Out Burger Bank St.             |             1 |           57 |          112 |                    54 |             284 | HAS_MENU
           941 | Ting's Kitchen                      |            18 |          191 |          265 |                     7 |               7 | HAS_MENU
           943 | Charm Thai Cuisine                  |            11 |           79 |          240 |                     8 |              16 | HAS_MENU
           948 | All Out Burger Gladstone            |             1 |           60 |          123 |                    50 |             270 | HAS_MENU
           949 | All Out Burger Montreal Rd          |            15 |          153 |          219 |                   146 |             834 | HAS_MENU
           950 | Kirkwood Pizza                      |             1 |           94 |           94 |                    73 |             316 | HAS_MENU
           961 | Chicco Shawarma Cantley             |             2 |           28 |           56 |                    10 |              38 | HAS_MENU
           963 | Chicco Pizza Shawarma Anger         |             1 |           69 |          142 |                    66 |             364 | HAS_MENU
           964 | Chicco Pizza Maloney                |             1 |           86 |          183 |                   105 |             778 | HAS_MENU
           966 | Chicco Pizza de l�Hopital           |             1 |           48 |           77 |                    29 |             104 | HAS_MENU
           967 | Chicco Pizza St-Louis               |             1 |           69 |          144 |                    68 |             375 | HAS_MENU
           971 | Little Gyros Greek Grill            |             1 |           50 |           86 |                     6 |              21 | HAS_MENU
           973 | Capital Bites                       |             1 |           96 |          148 |                    60 |             394 | HAS_MENU
           977 | Capri Pizza                         |             1 |          122 |          185 |                   118 |            1259 | HAS_MENU
           981 | Al-s Drive In                       |             2 |           37 |           37 |                     0 |               0 | HAS_MENU
           984 | La Famiglia on the Danforth         |            15 |          124 |          214 |                   117 |            1675 | HAS_MENU
           985 | Yorgo's - Nepean                    |            21 |          136 |          264 |                    98 |            1112 | HAS_MENU
          1009 | Econo Pizza                         |             1 |            1 |            0 |                     0 |               0 | HAS_MENU
          1010 | Lemongrass Thai Cuisine             |            12 |           68 |           98 |                     2 |               2 | HAS_MENU
          1011 | Mozza Pizza Gatineau                |            17 |          105 |          199 |                    77 |             783 | HAS_MENU
          1012 | Papa Pizza Des Flandres             |            27 |          176 |          369 |                   105 |            2208 | HAS_MENU
          1013 | Papa Pizza Maloney                  |            24 |          148 |          323 |                    73 |            1401 | HAS_MENU
          1014 | Papa Pizza Val-Des-Monts            |            26 |          157 |          348 |                    74 |            1117 | HAS_MENU
          1015 | Poutinerie Québecurds Gatineau      |             5 |           45 |           71 |                     7 |             126 | HAS_MENU
          1016 | Roulas Grecque et Pizza             |            13 |          118 |          219 |                    75 |             843 | HAS_MENU
          1017 | Sushi Express Chambly               |            17 |          133 |          159 |                     1 |              14 | HAS_MENU
           540 | Papa Grecque des Flandres           |             0 |            0 |            0 |                     0 |               0 | NO_MENU
           562 | Pizza des Hautes Plaines            |             0 |            0 |            0 |                     0 |               0 | NO_MENU
           614 | Marina Pizza des Flandres           |             0 |            0 |            0 |                     0 |               0 | NO_MENU
           616 | Papa Grecque Maloney                |             0 |            0 |            0 |                     0 |               0 | NO_MENU
           644 | Mozza Pizza Hull                    |             0 |            0 |            0 |                     0 |               0 | NO_MENU
           681 | Oka's Hull                          |             0 |            0 |            0 |                     0 |               0 | NO_MENU
           696 | Pizza Maisonneuve                   |             0 |            0 |            0 |                     0 |               0 | NO_MENU
           712 | Patate Lou Lou                      |             0 |            0 |            0 |                     0 |               0 | NO_MENU
           716 | PizzaRama                           |             0 |            0 |            0 |                     0 |               0 | NO_MENU
           726 | Pizza Joanna                        |             0 |            0 |            0 |                     0 |               0 | NO_MENU
           727 | La Maison du Burger                 |             0 |            0 |            0 |                     0 |               0 | NO_MENU
           736 | Greber Pizza et Shawarma            |             0 |            0 |            0 |                     0 |               0 | NO_MENU
