 routine_schema |             routine_name             | routine_type 
----------------+--------------------------------------+--------------
 menuca_v3      | add_cuisine_to_restaurant            | FUNCTION
 menuca_v3      | add_menu_item_onboarding             | FUNCTION
 menuca_v3      | add_primary_contact_onboarding       | FUNCTION
 menuca_v3      | add_restaurant_location_onboarding   | FUNCTION
 menuca_v3      | add_restaurant_to_vendor             | FUNCTION
 menuca_v3      | add_tag_to_restaurant                | FUNCTION
 menuca_v3      | alert_ssl_expiring                   | FUNCTION
 menuca_v3      | apply_schedule_template_onboarding   | FUNCTION
 menuca_v3      | audit_restaurant_status_change       | FUNCTION
 menuca_v3      | audit_trigger_func                   | FUNCTION
 menuca_v3      | authenticate_device                  | FUNCTION
 menuca_v3      | auto_expire_unavailable_dishes       | FUNCTION
 menuca_v3      | batch_link_franchise_children        | FUNCTION
 menuca_v3      | bulk_copy_schedule_onboarding        | FUNCTION
 menuca_v3      | bulk_toggle_schedules                | FUNCTION
 menuca_v3      | bulk_update_franchise_feature        | FUNCTION
 menuca_v3      | calculate_order_total                | FUNCTION
 menuca_v3      | can_accept_orders                    | FUNCTION
 menuca_v3      | cancel_customer_order                | FUNCTION
 menuca_v3      | check_admin_restaurant_access        | FUNCTION
 menuca_v3      | check_cart_availability              | FUNCTION
 menuca_v3      | check_onboarding_completion          | FUNCTION
 menuca_v3      | check_schedule_overlap               | FUNCTION
 menuca_v3      | cleanup_old_audit_logs               | FUNCTION
 menuca_v3      | clone_schedule_to_day                | FUNCTION
 menuca_v3      | compare_franchise_locations          | FUNCTION
 menuca_v3      | complete_onboarding_and_activate     | FUNCTION
 menuca_v3      | convert_to_franchise                 | FUNCTION
 menuca_v3      | copy_franchise_menu_onboarding       | FUNCTION
 menuca_v3      | create_cuisine_type                  | FUNCTION
 menuca_v3      | create_delivery_zone                 | FUNCTION
 menuca_v3      | create_delivery_zone_onboarding      | FUNCTION
 menuca_v3      | create_franchise_parent              | FUNCTION
 menuca_v3      | create_next_month_partitions         | FUNCTION
 menuca_v3      | create_restaurant_onboarding         | FUNCTION
 menuca_v3      | create_restaurant_tag                | FUNCTION
 menuca_v3      | create_restaurant_with_cuisine       | FUNCTION
 menuca_v3      | create_vendor                        | FUNCTION
 menuca_v3      | deactivate_device                    | FUNCTION
 menuca_v3      | decrement_dish_inventory             | FUNCTION
 menuca_v3      | device_heartbeat                     | FUNCTION
 menuca_v3      | find_nearby_restaurants              | FUNCTION
 menuca_v3      | find_nearest_franchise_locations     | FUNCTION
 menuca_v3      | generate_restaurant_slug             | FUNCTION
 menuca_v3      | get_active_deals                     | FUNCTION
 menuca_v3      | get_admin_devices                    | FUNCTION
 menuca_v3      | get_all_provinces                    | FUNCTION
 menuca_v3      | get_all_vendors                      | FUNCTION
 menuca_v3      | get_cancellation_policy              | FUNCTION
 menuca_v3      | get_cities_by_province               | FUNCTION
 menuca_v3      | get_day_name                         | FUNCTION
 menuca_v3      | get_deletion_audit_trail             | FUNCTION
 menuca_v3      | get_delivery_zone_area_sq_km         | FUNCTION
 menuca_v3      | get_domain_verification_status       | FUNCTION
 menuca_v3      | get_franchise_analytics              | FUNCTION
 menuca_v3      | get_franchise_children               | FUNCTION
 menuca_v3      | get_franchise_menu_coverage          | FUNCTION
 menuca_v3      | get_franchise_parent                 | FUNCTION
 menuca_v3      | get_franchise_summary                | FUNCTION
 menuca_v3      | get_next_statement_number            | FUNCTION
 menuca_v3      | get_onboarding_status                | FUNCTION
 menuca_v3      | get_onboarding_summary               | FUNCTION
 menuca_v3      | get_restaurant_availability          | FUNCTION
 menuca_v3      | get_restaurant_by_slug               | FUNCTION
 menuca_v3      | get_restaurant_config                | FUNCTION
 menuca_v3      | get_restaurant_delivery_summary      | FUNCTION
 menuca_v3      | get_restaurant_devices               | FUNCTION
 menuca_v3      | get_restaurant_hours                 | FUNCTION
 menuca_v3      | get_restaurant_hours_i18n            | FUNCTION
 menuca_v3      | get_restaurant_menu                  | FUNCTION
 menuca_v3      | get_restaurant_menu_translated       | FUNCTION
 menuca_v3      | get_restaurant_primary_contact       | FUNCTION
 menuca_v3      | get_restaurant_schedule              | FUNCTION
 menuca_v3      | get_restaurant_status_stats          | FUNCTION
 menuca_v3      | get_restaurant_status_timeline       | FUNCTION
 menuca_v3      | get_restaurant_vendor                | FUNCTION
 menuca_v3      | get_restaurants_near_location        | FUNCTION
 menuca_v3      | get_upcoming_schedule_changes        | FUNCTION
 menuca_v3      | get_vendor_locations                 | FUNCTION
 menuca_v3      | has_schedule_conflict                | FUNCTION
 menuca_v3      | is_address_in_delivery_zone          | FUNCTION
 menuca_v3      | is_dish_available_now                | FUNCTION
 menuca_v3      | is_franchise_location                | FUNCTION
 menuca_v3      | is_restaurant_open_now               | FUNCTION
 menuca_v3      | manage_feature_timestamps            | FUNCTION
 menuca_v3      | mark_domain_verified                 | FUNCTION
 menuca_v3      | notify_location_change               | FUNCTION
 menuca_v3      | notify_menu_change                   | FUNCTION
 menuca_v3      | notify_schedule_change               | FUNCTION
 menuca_v3      | notify_vendor_change                 | FUNCTION
 menuca_v3      | prepare_commission_calculation       | FUNCTION
 menuca_v3      | refresh_menu_summary                 | FUNCTION
 menuca_v3      | register_device                      | FUNCTION
 menuca_v3      | restore_deleted_record               | FUNCTION
 menuca_v3      | restore_delivery_zone                | FUNCTION
 menuca_v3      | restore_device                       | FUNCTION
 menuca_v3      | restore_dish                         | FUNCTION
 menuca_v3      | restore_schedule                     | FUNCTION
 menuca_v3      | search_cities                        | FUNCTION
