Name,Location
Aahar The Taste of India,1573 Alta Vista Drive
Al-s Drive In,5474 Osgoode Main Street
All Out Burger,2560 Bank Street
All Out Burger,"3091 Strandherd, Dr.7"
All Out Burger,585 Montreal Road
All Out Burger,714 Gladstone Ave
All Out Burger,951 Notre-Dame St
Amicci Pizza,2 Boulevard Louise-Campagna
Aroy Thai,1 Rideaucrest Drive
Asia Garden Ottawa,886 Dynes Road
Aylmer BBQ,"134, rue Principale"
Beneci Pizza,4 Lorry Greenberg Dr
Bobbie's Pizza & Subs,1443 Ogilvie Rd
Capital Bites,34 Grenfell Crescent
Capri Pizza,4000 Bridle Path Drive
Carlo's Pizza,60 Harmer Ave
Cathay Restaurants,1423 Woodroffe Ave
Centertown Donair & Pizza,422 Bronson Ave
Champa Thai Cuisine,193 King Edward Ave
Chances R’ West,1365 Woodroffe Avenue
Charm Thai Cuisine,121 Preston St
Chicco Pizza & Shawarma Buckingham,1009 Chemin de Masson
Chicco Pizza Maloney,842 Boulevard Maloney Est
Chicco Pizza Shawarma Anger,1096 Chemin de Montréal Ouest
Chicco Pizza St-Louis,1783 Rue Saint-Louis
Chicco Pizza de l’Hopital,405 Boulevard de l'Hôpital
Chicco Shawarma Cantley,435 Montée de la Source
Chicco Shawarma Maloney,922 Boulevard Maloney Est
China Moon,273 boul. St-RenÃ© Ouest
Colonnade Pizza,1500 Bank St
Colonnade Pizza,2140 Carling Ave
Colonnade Pizza,280 Metcalfe
Colonnade Pizza,896 Greenbank Rd
Cosenza,6505 Jeanne d'Arc Boulevard North
Crispy's,1433 Woodrofe
Crispy's Bank Street,2446 Bank Street
Cuisine Bombay Indienne,120 Rue Richelieu
Digby's Restaurant,300 Earl Grey Dr
Dumpling Bowl,730 Somerset
DÃ©panneur GÃ©nÃ©reux,428 Rue GÃ©nÃ©reux
Eastview Pizza,251 Montreal Rd
Econo Pizza,"425, boul La VÃ©rendrye E"
Egg Roll Factory,261 Centrepointe drive
Erman Pizza,"3628, av des Ã‰glises"
Friendly Restaurant and Pizzeria,1756 Laurier St
Ginkgo Garden,2225 St Laurent Blvd
Golden Center Pizza,600 Rideau Street
