restaurant_id,menu_data_scraped
7,YES
8,YES
31,YES
35,YES
47,YES
57,YES
59,YES
65,YES
69,YES
72,YES
83,YES
87,YES
89,YES
90,YES
91,YES
93,YES
95,YES
118,YES
119,YES
124,YES
126,YES
131,YES
147,YES
174,YES
180,YES
190,YES
205,YES
241,YES
245,YES
260,YES
269,YES
349,YES
350,YES
491,YES
502,YES
511,YES
515,YES
540,YES
561,YES
584,YES
595,YES
596,YES
601,YES
602,YES
607,YES
616,YES
624,YES
636,YES
638,YES
641,YES
644,YES
646,YES
660,YES
680,YES
681,YES
696,YES
701,NO
712,YES
714,NO
715,NO
721,NO
727,YES
730,NO
745,NO
749,NO
751,NO
756,NO
783,NO
784,NO
785,NO
789,NO
790,NO
792,NO
795,YES
797,YES
801,NO
802,NO
806,NO
807,NO
810,YES
815,NO
816,YES
818,NO
819,NO
821,NO
822,YES
825,NO
829,NO
833,NO
835,NO
836,NO
837,NO
840,NO
841,NO
842,NO
845,NO
846,NO
847,NO
929,NO
943,NO
946,NO
948,NO
949,NO
950,NO
952,NO
954,NO
957,NO
960,NO
961,NO
962,NO
963,NO
964,NO
965,NO
966,NO
967,NO
971,NO
973,NO
974,NO
976,NO
977,NO
978,NO
982,NO
983,NO
984,NO
985,NO









