restaurant_name,address,status_in_active_md
Al-s Drive In,5474 Osgoode Main Street,[x]
Capital Bites,34 Grenfell Crescent,[x]
Capri Pizza,4000 Bridle Path Drive,[x]
Chances R' West,1365 Woodroffe Avenue,[x]
Chances R' East,,[x]
Chicco Pizza & Shawarma Buckingham,1009 Chemin de Masson,[x]
Chicco Pizza Maloney,842 Boulevard Maloney Est,[x]
Chicco Pizza Shawarma Anger,1096 Chemin de Montréal Ouest,[x]
Chicco Pizza St-Louis,1783 Rue Saint-Louis,[x]
Chicco Pizza de l'Hopital,405 Boulevard de l'Hôpital,[x]
Chicco Shawarma Cantley,435 Montée de la Source,[x]
Chicco Shawarma Maloney,922 Boulevard Maloney Est,[x]
Cosenza,6505 Jeanne d'Arc Boulevard North,[x]
Cuisine Bombay Indienne,120 Rue Richelieu,[x]
Little Gyros Greek Grill,1606 Battler Road,[ ]
Pachino Pizza,3515 Albion Road South,[x]
Parea Express,540 Montréal Road,[x]
Pizza Marie,4 Rue d'Orléans,[x]
River Pizza,4042 Innes Road,[ ]

