             course             |                 dish_name                  |                                                               prices                                                                | modifier_groups_count 
--------------------------------+--------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------+-----------------------
 Specials                       | 2 Cheeseburgers with Fries and Drinks HIDE | $26.99                                                                                                                              |                     1
 Specials                       | Any 3 Burgers Special HIDE                 | $27.99                                                                                                                              |                     0
 Specials                       | Ramadan Special HIDE                       | $49.99                                                                                                                              |                     1
 Specials                       | Buy One Get One Free- Atletico Burger HIDE | $13.95                                                                                                                              |                     0
 Appetizers                     | Popcurds                                   | $11.95                                                                                                                              |                     0
 Appetizers                     | Breaded Pickles                            | $11.95                                                                                                                              |                     0
 Appetizers                     | Jalapeno Poppers (6pcs)                    | $11.95                                                                                                                              |                     0
 Appetizers                     | Fried Zucchini Sticks                      | $11.95                                                                                                                              |                     0
 Appetizers                     | Halloumi Fries                             | $12.95                                                                                                                              |                     0
 Appetizers                     | Mac & Cheese Bites                         | $11.95                                                                                                                              |                     0
 Appetizers                     | Fresh Cut Fries                            | Large: $9.99, Small: $6.75                                                                                                          |                     0
 Appetizers                     | Onion Rings                                | Large: $11.99, Small: $7.25                                                                                                         |                     0
 Appetizers                     | Kettle Chips                               | Large: $11.25, Small: $6.99                                                                                                         |                     0
 Appetizers                     | Sweet Potato Fries                         | Large: $12.99, Small: $7.99                                                                                                         |                     0
 Appetizers                     | Nachos HIDE                                | $13.95                                                                                                                              |                     0
 Appetizers                     | Pop-Off Popcurds HIDE                      | $12.95                                                                                                                              |                     0
 Appetizers                     | Mac & Cheese HIDE                          | $8.99                                                                                                                               |                     1
 Our New Creations SOLO         | Smash Burger                               | $12.50                                                                                                                              |                     0
 Our New Creations SOLO         | Philly Steak Sandwich                      | $12.50                                                                                                                              |                     0
 Our New Creations SOLO         | Chicken Parm Burger HIDE                   | $14.95                                                                                                                              |                     0
 Our New Creations SOLO         | Bank Street Burger HIDE                    | $14.95                                                                                                                              |                     0
 Our New Creations SOLO         | Atletico Burger                            | $13.95                                                                                                                              |                     0
 Our New Creations COMBO        | Smash Burger COMBO                         | $18.25                                                                                                                              |                     2
 Our New Creations COMBO        | Philly Steak Sandwich COMBO                | $18.25                                                                                                                              |                     2
 Our New Creations COMBO        | Chicken Parm Burger COMBO HIDE             | $20.70                                                                                                                              |                     2
 Our New Creations COMBO        | Bank Street Burger COMBO HIDE              | $20.70                                                                                                                              |                     2
 Our New Creations COMBO        | Atletico Burger COMBO                      | $19.70                                                                                                                              |                     2
 Burgers SOLO                   | Original Burger                            | $10.50                                                                                                                              |                     2
 Burgers SOLO                   | Cheese Burger                              | $11.25                                                                                                                              |                     2
 Burgers SOLO                   | Bacon Burger                               | $12.50                                                                                                                              |                     2
 Burgers SOLO                   | Fried Mozzarella Burger                    | $13.95                                                                                                                              |                     2
 Burgers SOLO                   | Heat Burger                                | $12.50                                                                                                                              |                     2
 Burgers SOLO                   | ALL OUT Burger                             | $15.95                                                                                                                              |                     2
 Burgers SOLO                   | Veggie Burger                              | $11.95                                                                                                                              |                     2
 Burgers SOLO                   | Grilled Chicken Burger                     | $12.50                                                                                                                              |                     2
 Burgers SOLO                   | Fry N Slaw Burger                          | $11.95                                                                                                                              |                     2
 Burgers SOLO                   | Halloumi Burger                            | $12.95                                                                                                                              |                     2
 Burgers SOLO                   | Texas Beast Burger                         | $13.95                                                                                                                              |                     2
 Burgers SOLO                   | Crispy Chicken Burger                      | $11.95                                                                                                                              |                     2
 Burgers SOLO                   | Spicy Chicken Burger                       | $11.95                                                                                                                              |                     2
 Burgers SOLO                   | Classic Crispy Chicken Burger              | $11.95                                                                                                                              |                     2
 Burgers SOLO                   | Deluxe Crispy Chicken Burger               | $13.95                                                                                                                              |                     2
 Burgers SOLO                   | Sweet Chili Crispy Burger                  | $11.95                                                                                                                              |                     2
 Burgers SOLO                   | Grilled Cheese Sandwich HIDE               | $11.00                                                                                                                              |                     0
 Burgers SOLO                   | Mac & Cheese Burger HIDE                   | $13.95                                                                                                                              |                     1
 Burger COMBOS                  | Original Burger COMBO                      | $16.25                                                                                                                              |                     4
 Burger COMBOS                  | Cheese Burger COMBO                        | $17.00                                                                                                                              |                     4
 Burger COMBOS                  | Bacon Burger COMBO                         | $18.25                                                                                                                              |                     4
 Burger COMBOS                  | Fried Mozzarella Burger COMBO              | $19.70                                                                                                                              |                     4
 Burger COMBOS                  | Heat Burger COMBO                          | $18.25                                                                                                                              |                     4
 Burger COMBOS                  | ALL OUT Burger COMBO                       | $21.70                                                                                                                              |                     4
 Burger COMBOS                  | Veggie Burger COMBO                        | $17.70                                                                                                                              |                     4
 Burger COMBOS                  | Grilled Chicken Burger COMBO               | $18.25                                                                                                                              |                     4
 Burger COMBOS                  | Fry N Slaw Burger COMBO                    | $17.70                                                                                                                              |                     4
 Burger COMBOS                  | Halloumi Burger COMBO                      | $18.70                                                                                                                              |                     4
 Burger COMBOS                  | Texas Beast Burger COMBO                   | $19.70                                                                                                                              |                     4
 Burger COMBOS                  | Crispy Chicken Burger COMBO                | $17.70                                                                                                                              |                     4
 Burger COMBOS                  | Spicy Chicken Burger COMBO                 | $17.00                                                                                                                              |                     4
 Burger COMBOS                  | Classic Crispy Chicken Burger COMBO        | $17.70                                                                                                                              |                     4
 Burger COMBOS                  | Deluxe Crispy Chicken Burger COMBO         | $19.70                                                                                                                              |                     4
 Burger COMBOS                  | Sweet Chili Crispy Burger COMBO            | $17.70                                                                                                                              |                     4
 Burger COMBOS                  | Grilled Cheese Sandwich COMBO HIDE         | $16.25                                                                                                                              |                     2
 Burger COMBOS                  | Mac & Cheese Burger COMBO HIDE             | $19.70                                                                                                                              |                     3
 Hot Dogs                       | Jumbo Hot Dog                              | $5.99                                                                                                                               |                     0
 Hot Dogs                       | Cheese Dog                                 | $6.99                                                                                                                               |                     0
 Hot Dogs                       | New York Style Hot Dog                     | $5.99                                                                                                                               |                     0
 Salads                         | House Salad                                | $12.75                                                                                                                              |                     0
 Salads                         | Caesar Salad                               | $11.75                                                                                                                              |                     1
 Chicken                        | Chicken Strips (4 pcs)                     | $12.75                                                                                                                              |                     0
 Chicken                        | Chicken Strips COMBO (4 pcs)               | $17.50                                                                                                                              |                     2
 Chicken                        | Spicy Chicken Strips (4 pcs)               | $12.75                                                                                                                              |                     0
 Chicken                        | Spicy Chicken Strips COMBO (4 pcs)         | $17.50                                                                                                                              |                     2
 Chicken                        | Chicken Wings (1lb)                        | $13.50                                                                                                                              |                     1
 Chicken                        | Chicken Wings COMBO (1lb)                  | $18.50                                                                                                                              |                     3
 Chicken                        | Boneless Wings (1lb)                       | $13.50                                                                                                                              |                     1
 Chicken                        | Boneless Wings COMBO (1lb)                 | $18.50                                                                                                                              |                     3
 Poutine                        | ALL OUT Poutine                            | Large: $17.95, Small: $12.95                                                                                                        |                     0
 Poutine                        | Crispy Chicken Poutine                     | Large: $16.95, Small: $11.95                                                                                                        |                     0
 Poutine                        | Classic Poutine                            | Large: $12.95, Small: $8.50                                                                                                         |                     0
 Poutine                        | Popcurd Poutine                            | Large: $16.95, Small: $11.95                                                                                                        |                     0
 Poutine                        | Meat Lovers Poutine                        | Large: $16.95, Small: $11.95                                                                                                        |                     0
 Poutine                        | Cheese Fries Poutione                      | Large: $14.95, Small: $10.95                                                                                                        |                     0
 Kids Menu                      | Mini Burger Meal                           | $9.50                                                                                                                               |                     1
 Kids Menu                      | Chicken Strips (2 pcs)                     | $9.50                                                                                                                               |                     1
 Mini Donuts Hot and Fresh Made | 6 Hot Fresh Mini Donuts                    | Cinnamon Sugar: $5.95, Icing Sugar: $5.95, Oreo: $5.95                                                                              |                     0
 Mini Donuts Hot and Fresh Made | 12 Hot Fresh Mini Donuts                   | Cinnamon Sugar: $10.30, Icing Sugar: $10.30, Oreo: $10.30                                                                           |                     0
 Mini Donuts Hot and Fresh Made | 24 Hot Fresh Mini Donuts                   | Cinnamon Sugar: $18.50, Icing Sugar: $18.50, Oreo: $18.50                                                                           |                     0
